event_family,event_date,sector,window_months,check_name,status,detail
nbim_overweight_tech,2019-02-28,Technology,1,window_built,pass,XLK vs VT from 2019-02-28 to 2019-03-28.
nbim_overweight_tech,2019-02-28,Technology,3,window_built,pass,XLK vs VT from 2019-02-28 to 2019-05-28.
nbim_overweight_tech,2019-02-28,Technology,6,window_built,pass,XLK vs VT from 2019-02-28 to 2019-08-28.
nbim_positive_industry_weight_change,2019-02-28,Consumer Discretionary,1,window_built,pass,XLY vs VT from 2019-02-28 to 2019-03-28.
nbim_positive_industry_weight_change,2019-02-28,Consumer Discretionary,3,window_built,pass,XLY vs VT from 2019-02-28 to 2019-05-28.
nbim_positive_industry_weight_change,2019-02-28,Consumer Discretionary,6,window_built,pass,XLY vs VT from 2019-02-28 to 2019-08-28.
nbim_positive_industry_weight_change,2019-02-28,Health Care,1,window_built,pass,XLV vs VT from 2019-02-28 to 2019-03-28.
nbim_positive_industry_weight_change,2019-02-28,Health Care,3,window_built,pass,XLV vs VT from 2019-02-28 to 2019-05-28.
nbim_positive_industry_weight_change,2019-02-28,Health Care,6,window_built,pass,XLV vs VT from 2019-02-28 to 2019-08-28.
nbim_positive_industry_weight_change,2019-02-28,Technology,1,window_built,pass,XLK vs VT from 2019-02-28 to 2019-03-28.
nbim_positive_industry_weight_change,2019-02-28,Technology,3,window_built,pass,XLK vs VT from 2019-02-28 to 2019-05-28.
nbim_positive_industry_weight_change,2019-02-28,Technology,6,window_built,pass,XLK vs VT from 2019-02-28 to 2019-08-28.
cross_fund_consensus_gained,2019-08-07,Technology,1,window_built,pass,XLK vs VT from 2019-08-07 to 2019-09-09.
cross_fund_consensus_gained,2019-08-07,Technology,3,window_built,pass,XLK vs VT from 2019-08-07 to 2019-11-07.
cross_fund_consensus_gained,2019-08-07,Technology,6,window_built,pass,XLK vs VT from 2019-08-07 to 2020-02-07.
pif_expanding,2019-08-07,,1,window_built,pass,SPY vs CASH from 2019-08-07 to 2019-09-09.
pif_expanding,2019-08-07,,3,window_built,pass,SPY vs CASH from 2019-08-07 to 2019-11-07.
pif_expanding,2019-08-07,,6,window_built,pass,SPY vs CASH from 2019-08-07 to 2020-02-07.
cross_fund_consensus_gained,2019-10-22,Consumer Discretionary,1,window_built,pass,XLY vs VT from 2019-10-22 to 2019-11-22.
cross_fund_consensus_gained,2019-10-22,Consumer Discretionary,3,window_built,pass,XLY vs VT from 2019-10-22 to 2020-01-22.
cross_fund_consensus_gained,2019-10-22,Consumer Discretionary,6,window_built,pass,XLY vs VT from 2019-10-22 to 2020-04-22.
cross_fund_consensus_lost,2019-10-22,Technology,1,window_built,pass,XLK vs VT from 2019-10-22 to 2019-11-22.
cross_fund_consensus_lost,2019-10-22,Technology,3,window_built,pass,XLK vs VT from 2019-10-22 to 2020-01-22.
cross_fund_consensus_lost,2019-10-22,Technology,6,window_built,pass,XLK vs VT from 2019-10-22 to 2020-04-22.
cross_fund_consensus_gained,2020-02-05,Technology,1,window_built,pass,XLK vs VT from 2020-02-05 to 2020-03-05.
cross_fund_consensus_gained,2020-02-05,Technology,3,window_built,pass,XLK vs VT from 2020-02-05 to 2020-05-05.
