event_family,event_label,event_date,analysis_start_date,target_end_date,actual_end_date,window_months,window_label,actual_horizon_days,sector,proxy_symbol,benchmark_symbol,signal_strength,signal_context,source,proxy_start_close,proxy_end_close,proxy_forward_return,benchmark_start_close,benchmark_end_close,benchmark_forward_return,excess_forward_return,unconditional_sample_count,unconditional_avg_proxy_forward_return,unconditional_avg_benchmark_forward_return,unconditional_avg_excess_forward_return,proxy_return_minus_unconditional_avg,excess_return_minus_unconditional_avg
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.42902000,0.040823466127,62.67316000,63.00189800,0.005245275649,0.035578190478,2054,0.020869478463,0.010592954069,0.010276524394,0.019953987664,0.025301666084
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.34494000,0.038124882049,62.67316000,62.31803000,-0.005666380952,0.043791263001,2012,0.059003636340,0.030260912626,0.028742723714,-0.020878754291,0.015048539287
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,34.84579000,0.118390747785,62.67316000,63.34957000,0.010792658293,0.107598089492,1951,0.117086607610,0.060370714860,0.056715892751,0.001304140175,0.050882196741
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,50.10339000,0.034671114557,62.67316000,63.00189800,0.005245275649,0.029425838907,2054,0.012452478862,0.010592954069,0.001859524793,0.022218635695,0.027566314114
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,49.84681000,0.029372552631,62.67316000,62.31803000,-0.005666380952,0.035038933583,2012,0.036137757645,0.030260912626,0.005876845019,-0.006765205014,0.029162088564
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,52.79046000,0.090161046711,62.67316000,63.34957000,0.010792658293,0.079368388418,1951,0.070629430411,0.060370714860,0.010258715552,0.019531616300,0.069109672866
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,80.43724000,-0.007133038518,62.67316000,63.00189800,0.005245275649,-0.012378314167,2054,0.008242562611,0.010592954069,-0.002350391458,-0.015375601129,-0.010027922709
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,78.32560000,-0.033197801438,62.67316000,62.31803000,-0.005666380952,-0.027531420486,2012,0.025254676609,0.030260912626,-0.005006236017,-0.058452478047,-0.022525184469
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,80.02192600,-0.012259414674,62.67316000,63.34957000,0.010792658293,-0.023052072967,1951,0.050006191973,0.060370714860,-0.010364522886,-0.062265606647,-0.012687550081
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.42902000,0.040823466127,62.67316000,63.00189800,0.005245275649,0.035578190478,2054,0.020869478463,0.010592954069,0.010276524394,0.019953987664,0.025301666084
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.34494000,0.038124882049,62.67316000,62.31803000,-0.005666380952,0.043791263001,2012,0.059003636340,0.030260912626,0.028742723714,-0.020878754291,0.015048539287
