strategy_key,window_start_date,window_end_date,check_name,status,detail
p5,2019-02-14,2019-08-07,window_dates_found,pass,2019-02-14 -> 2019-08-07
p5,2019-08-07,2020-02-05,window_dates_found,pass,2019-08-07 -> 2020-02-05
p5,2020-02-05,2020-05-18,window_dates_found,pass,2020-02-05 -> 2020-05-18
p5,2020-05-18,2020-08-17,window_dates_found,pass,2020-05-18 -> 2020-08-17
p5,2020-08-17,2020-11-17,window_dates_found,pass,2020-08-17 -> 2020-11-17
p5,2020-11-17,2021-05-18,window_dates_found,pass,2020-11-17 -> 2021-05-18
p5,2021-05-18,2022-10-12,window_dates_found,pass,2021-05-18 -> 2022-10-12
p5,2022-10-12,2022-11-15,window_dates_found,pass,2022-10-12 -> 2022-11-15
p5,2022-11-15,2022-12-23,window_dates_found,pass,2022-11-15 -> 2022-12-23
p5,2022-12-23,2023-02-15,window_dates_found,pass,2022-12-23 -> 2023-02-15
p5,2023-02-15,2023-05-16,window_dates_found,pass,2023-02-15 -> 2023-05-16
p5,2023-05-16,2023-08-15,window_dates_found,pass,2023-05-16 -> 2023-08-15
p5,2023-08-15,2023-11-15,window_dates_found,pass,2023-08-15 -> 2023-11-15
p5,2023-11-15,2024-02-15,window_dates_found,pass,2023-11-15 -> 2024-02-15
p5,2024-02-15,2024-05-16,window_dates_found,pass,2024-02-15 -> 2024-05-16
p5,2024-05-16,2024-10-01,window_dates_found,pass,2024-05-16 -> 2024-10-01
p5,2024-10-01,2024-11-15,window_dates_found,pass,2024-10-01 -> 2024-11-15
p5,2024-11-15,2025-02-18,window_dates_found,pass,2024-11-15 -> 2025-02-18
p5,2025-02-18,2025-05-16,window_dates_found,pass,2025-02-18 -> 2025-05-16
p5,2025-05-16,2025-08-15,window_dates_found,pass,2025-05-16 -> 2025-08-15
p5,2025-08-15,2025-11-17,window_dates_found,pass,2025-08-15 -> 2025-11-17
p5,2025-11-17,2026-02-18,window_dates_found,pass,2025-11-17 -> 2026-02-18
p5,2026-02-18,2026-05-18,window_dates_found,pass,2026-02-18 -> 2026-05-18
p5,TOTAL,TOTAL,contribution_reconciliation,pass,sum_delta=-1.510841003191 final_relative=-1.510841003191
n4,2018-02-28,2019-02-28,window_dates_found,pass,2018-02-28 -> 2019-02-28
n4,2019-02-28,2020-02-26,window_dates_found,pass,2019-02-28 -> 2020-02-26
n4,2020-02-26,2021-02-26,window_dates_found,pass,2020-02-26 -> 2021-02-26
n4,2021-02-26,2022-03-04,window_dates_found,pass,2021-02-26 -> 2022-03-04
n4,2022-03-04,2023-03-08,window_dates_found,pass,2022-03-04 -> 2023-03-08
n4,2023-03-08,2024-02-28,window_dates_found,pass,2023-03-08 -> 2024-02-28
n4,2024-02-28,2024-08-15,window_dates_found,pass,2024-02-28 -> 2024-08-15
n4,2024-08-15,2025-02-26,window_dates_found,pass,2024-08-15 -> 2025-02-26
n4,2025-02-26,2025-08-13,window_dates_found,pass,2025-02-26 -> 2025-08-13
n4,2025-08-13,2026-03-02,window_dates_found,pass,2025-08-13 -> 2026-03-02
n4,2026-03-02,2026-05-29,window_dates_found,pass,2026-03-02 -> 2026-05-29
n4,TOTAL,TOTAL,contribution_reconciliation,pass,sum_delta=0.712040606969 final_relative=0.712040606969
n6,2018-02-28,2019-02-28,window_dates_found,pass,2018-02-28 -> 2019-02-28
n6,2019-02-28,2020-02-26,window_dates_found,pass,2019-02-28 -> 2020-02-26
n6,2020-02-26,2021-02-26,window_dates_found,pass,2020-02-26 -> 2021-02-26
n6,2021-02-26,2022-03-04,window_dates_found,pass,2021-02-26 -> 2022-03-04
n6,2022-03-04,2023-03-08,window_dates_found,pass,2022-03-04 -> 2023-03-08
n6,2023-03-08,2024-02-28,window_dates_found,pass,2023-03-08 -> 2024-02-28
n6,2024-02-28,2024-08-15,window_dates_found,pass,2024-02-28 -> 2024-08-15
n6,2024-08-15,2025-02-26,window_dates_found,pass,2024-08-15 -> 2025-02-26
n6,2025-02-26,2025-08-13,window_dates_found,pass,2025-02-26 -> 2025-08-13
n6,2025-08-13,2026-03-02,window_dates_found,pass,2025-08-13 -> 2026-03-02
n6,2026-03-02,2026-05-29,window_dates_found,pass,2026-03-02 -> 2026-05-29
n6,TOTAL,TOTAL,contribution_reconciliation,pass,sum_delta=0.644383726332 final_relative=0.644383726332
s1,2019-02-14,2019-02-28,window_dates_found,pass,2019-02-14 -> 2019-02-28
s1,2019-02-28,2019-05-14,window_dates_found,pass,2019-02-28 -> 2019-05-14
s1,2019-05-14,2019-08-07,window_dates_found,pass,2019-05-14 -> 2019-08-07
s1,2019-08-07,2019-10-22,window_dates_found,pass,2019-08-07 -> 2019-10-22
s1,2019-10-22,2020-02-05,window_dates_found,pass,2019-10-22 -> 2020-02-05
s1,2020-02-05,2020-02-26,window_dates_found,pass,2020-02-05 -> 2020-02-26
s1,2020-02-26,2020-05-18,window_dates_found,pass,2020-02-26 -> 2020-05-18
s1,2020-05-18,2020-08-17,window_dates_found,pass,2020-05-18 -> 2020-08-17
s1,2020-08-17,2020-11-17,window_dates_found,pass,2020-08-17 -> 2020-11-17
s1,2020-11-17,2021-02-26,window_dates_found,pass,2020-11-17 -> 2021-02-26
s1,2021-02-26,2021-05-18,window_dates_found,pass,2021-02-26 -> 2021-05-18
s1,2021-05-18,2021-08-17,window_dates_found,pass,2021-05-18 -> 2021-08-17
s1,2021-08-17,2022-03-04,window_dates_found,pass,2021-08-17 -> 2022-03-04
s1,2022-03-04,2022-10-12,window_dates_found,pass,2022-03-04 -> 2022-10-12
s1,2022-10-12,2022-11-15,window_dates_found,pass,2022-10-12 -> 2022-11-15
s1,2022-11-15,2022-12-23,window_dates_found,pass,2022-11-15 -> 2022-12-23
s1,2022-12-23,2023-02-15,window_dates_found,pass,2022-12-23 -> 2023-02-15
s1,2023-02-15,2023-03-08,window_dates_found,pass,2023-02-15 -> 2023-03-08
s1,2023-03-08,2023-05-16,window_dates_found,pass,2023-03-08 -> 2023-05-16
s1,2023-05-16,2023-08-15,window_dates_found,pass,2023-05-16 -> 2023-08-15
s1,2023-08-15,2023-11-15,window_dates_found,pass,2023-08-15 -> 2023-11-15
s1,2023-11-15,2024-02-15,window_dates_found,pass,2023-11-15 -> 2024-02-15
s1,2024-02-15,2024-02-28,window_dates_found,pass,2024-02-15 -> 2024-02-28
s1,2024-02-28,2024-05-16,window_dates_found,pass,2024-02-28 -> 2024-05-16
s1,2024-05-16,2024-08-15,window_dates_found,pass,2024-05-16 -> 2024-08-15
s1,2024-08-15,2024-10-01,window_dates_found,pass,2024-08-15 -> 2024-10-01
s1,2024-10-01,2024-11-15,window_dates_found,pass,2024-10-01 -> 2024-11-15
s1,2024-11-15,2025-02-18,window_dates_found,pass,2024-11-15 -> 2025-02-18
s1,2025-02-18,2025-02-26,window_dates_found,pass,2025-02-18 -> 2025-02-26
s1,2025-02-26,2025-05-16,window_dates_found,pass,2025-02-26 -> 2025-05-16
s1,2025-05-16,2025-08-13,window_dates_found,pass,2025-05-16 -> 2025-08-13
s1,2025-08-13,2025-08-15,window_dates_found,pass,2025-08-13 -> 2025-08-15
s1,2025-08-15,2025-11-17,window_dates_found,pass,2025-08-15 -> 2025-11-17
s1,2025-11-17,2026-02-18,window_dates_found,pass,2025-11-17 -> 2026-02-18
s1,2026-02-18,2026-03-02,window_dates_found,pass,2026-02-18 -> 2026-03-02
s1,2026-03-02,2026-05-18,window_dates_found,pass,2026-03-02 -> 2026-05-18
s1,2026-05-18,2026-05-18,window_dates_found,pass,2026-05-18 -> 2026-05-18
s1,TOTAL,TOTAL,contribution_reconciliation,pass,sum_delta=0.047203779906 final_relative=0.047203779906
