check_name,status,detail
pif_raw_filing_row_counts_match_processed,pass,filings=30 canonical_periods=30
pif_canonical_accession_selection,pass,expected_rows=775 actual_rows=775 periods=30
pif_transition_presence_invariants,pass,rows=998 failures=0
pif_signal_panel_row_counts,pass,holdings_panel=775/775 transition_panel=998/998
pif_trade_calendar_next_day_rule,pass,rows=27 failures=0
pif_order_prices_match_price_layer,pass,orders=3571
p1_rebalance_matches_equal_weight_entry_basket,pass,rebalances=19
p2_rebalance_matches_equal_weight_full_sleeve,pass,rebalances=27
p3_rebalance_matches_tilt_scores,pass,rebalances=27
p4_rebalance_matches_equal_weight_filtered_sleeve,pass,rebalances=27
p5_order_replay_matches_holdings_and_cash,pass,rebalances=23
nbim_raw_snapshot_row_counts_match_processed,pass,snapshots=11
nbim_snapshot_entity_uniqueness,pass,failures=0
nbim_industry_weights_sum_to_one,pass,{}
nbim_transition_presence_invariants,pass,rows=98450 failures=0
nbim_rebalances_use_first_post_release_trading_day,pass,rebalances=11
nbim_order_prices_match_price_layer,pass,orders=554
n1_equal_weight_rebalances,pass,rebalances=11
n2_nbim_weight_targets,pass,rebalances=11
n3_industry_weight_targets_match_snapshot_summary,pass,rows=117
n4_positive_delta_filter_and_weighting,pass,rebalances=10
n5_positive_transition_score_filter_and_weighting,pass,rebalances=6
n6_top3_industry_leaders_match_snapshot,pass,rebalances=11
n7_top3_positive_delta_match_snapshot,pass,rebalances=10
n8_consensus_rotation_scores_match_snapshot,pass,rebalances=3
