rebalance_id,trade_date,strategy_id,signal_count,rationale_text,pif_exposure_state
S1ERO-R001,2019-02-14,S1 Exposure Regime Overlay,3,"exposure_state=initial; selected=Consumer Staples,Financials,Industrials",initial
S1ERO-R002,2019-02-28,S1 Exposure Regime Overlay,3,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology",initial
S1ERO-R003,2019-05-14,S1 Exposure Regime Overlay,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology",stable
S1ERO-R004,2019-08-07,S1 Exposure Regime Overlay,3,"exposure_state=expanding; selected=Consumer Discretionary,Health Care,Technology",expanding
S1ERO-R005,2019-10-22,S1 Exposure Regime Overlay,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology",stable
S1ERO-R006,2020-02-05,S1 Exposure Regime Overlay,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology",stable
S1ERO-R007,2020-02-26,S1 Exposure Regime Overlay,1,exposure_state=stable; selected=Technology,stable
S1ERO-R008,2020-05-18,S1 Exposure Regime Overlay,1,exposure_state=expanding; selected=Technology,expanding
S1ERO-R009,2020-08-17,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Technology,contracting
S1ERO-R010,2020-11-17,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Technology,contracting
S1ERO-R011,2021-02-26,S1 Exposure Regime Overlay,2,"exposure_state=contracting; selected=Consumer Discretionary,Technology",contracting
S1ERO-R012,2021-05-18,S1 Exposure Regime Overlay,2,"exposure_state=expanding; selected=Consumer Discretionary,Technology",expanding
S1ERO-R013,2021-08-17,S1 Exposure Regime Overlay,2,"exposure_state=stable; selected=Consumer Discretionary,Technology",stable
S1ERO-R014,2022-03-04,S1 Exposure Regime Overlay,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology",stable
S1ERO-R015,2022-10-12,S1 Exposure Regime Overlay,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology",stable
S1ERO-R016,2022-11-15,S1 Exposure Regime Overlay,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology",stable
S1ERO-R017,2022-12-23,S1 Exposure Regime Overlay,5,"exposure_state=expanding; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology",expanding
S1ERO-R018,2023-02-15,S1 Exposure Regime Overlay,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology",stable
S1ERO-R019,2023-03-08,S1 Exposure Regime Overlay,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care",stable
S1ERO-R020,2023-05-16,S1 Exposure Regime Overlay,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care",stable
S1ERO-R021,2023-08-15,S1 Exposure Regime Overlay,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care",stable
S1ERO-R022,2023-11-15,S1 Exposure Regime Overlay,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care",stable
S1ERO-R023,2024-02-15,S1 Exposure Regime Overlay,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care",stable
S1ERO-R024,2024-02-28,S1 Exposure Regime Overlay,2,"exposure_state=stable; selected=Consumer Discretionary,Technology",stable
S1ERO-R025,2024-05-16,S1 Exposure Regime Overlay,2,"exposure_state=contracting; selected=Consumer Discretionary,Technology",contracting
S1ERO-R026,2024-08-15,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Technology,contracting
S1ERO-R027,2024-10-01,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Technology,contracting
S1ERO-R028,2024-11-15,S1 Exposure Regime Overlay,1,exposure_state=expanding; selected=Technology,expanding
S1ERO-R029,2025-02-18,S1 Exposure Regime Overlay,1,exposure_state=stable; selected=Technology,stable
S1ERO-R030,2025-02-26,S1 Exposure Regime Overlay,2,"exposure_state=stable; selected=Consumer Discretionary,Technology",stable
S1ERO-R031,2025-05-16,S1 Exposure Regime Overlay,2,"exposure_state=stable; selected=Consumer Discretionary,Technology",stable
S1ERO-R032,2025-08-13,S1 Exposure Regime Overlay,1,exposure_state=stable; selected=Financials,stable
S1ERO-R033,2025-08-15,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Financials,contracting
S1ERO-R034,2025-11-17,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Financials,contracting
S1ERO-R035,2026-02-18,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Financials,contracting
S1ERO-R036,2026-03-02,S1 Exposure Regime Overlay,1,exposure_state=contracting; selected=Technology,contracting
S1ERO-R037,2026-05-18,S1 Exposure Regime Overlay,1,exposure_state=stable; selected=Technology,stable
