date,instrument_key,issuer_name,symbol,sector,shares_end,close_price,market_value_end,weight_end,rebalance_id
2019-02-14,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,61.50041000,1.000000000000,1.000000000000,S2CFC-R001
2019-02-15,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.17301000,1.010936512456,1.000000000000,
2019-02-19,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.32823000,1.013460398069,1.000000000000,
2019-02-20,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.56106000,1.017246226489,1.000000000000,
2019-02-21,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.32823000,1.013460398069,1.000000000000,
2019-02-22,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.72489000,1.019910111168,1.000000000000,
2019-02-25,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.88874000,1.022574321049,1.000000000000,
2019-02-26,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.95772000,1.023695939588,1.000000000000,
2019-02-27,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.88011000,1.022433996781,1.000000000000,
2019-02-28,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.67316000,1.019068978565,1.000000000000,S2CFC-R002
2019-03-01,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.99222000,1.024256911458,1.000000000000,
2019-03-04,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.80251000,1.021172216575,1.000000000000,
2019-03-05,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.88874000,1.022574321049,1.000000000000,
2019-03-06,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.50931000,1.016404768684,1.000000000000,
2019-03-07,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,61.84533000,1.005608417895,1.000000000000,
2019-03-08,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,61.68149000,1.002944370615,1.000000000000,
2019-03-11,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.50931000,1.016404768684,1.000000000000,
2019-03-12,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.66453000,1.018928654297,1.000000000000,
2019-03-13,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,63.02670300,1.024817606907,1.000000000000,
2019-03-14,benchmark_vt,Vanguard Total World Stock ETF,VT,,0.016260054201,62.94910000,1.023555777921,1.000000000000,
