rebalance_id,trade_date,signal_count,positions_bought_count,positions_sold_count,cash_after_rebalance,position_count_end,rationale_text
S3PBO-R001,2019-02-14,1,1,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.00
S3PBO-R002,2019-02-28,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25
S3PBO-R003,2019-05-14,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25
S3PBO-R004,2019-08-07,2,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25
S3PBO-R005,2019-10-22,2,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25
S3PBO-R006,2020-02-05,2,0,1,2.407166451010,1,cash_weight=0.995270; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25
S3PBO-R007,2020-02-26,2,0,0,2.407166451011,1,cash_weight=0.994987; sector_multipliers=TSLA:Consumer Discretionary:1.00|UBER:Technology:1.25
S3PBO-R008,2020-05-18,24,23,1,0.000000000000,23,cash_weight=0.000000; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|BRK.B:Financials:1.10|BAC:Financials:1.10|BA:Industrials:1.10|BKNG:Consumer Discretionary:1.00|BP:Energy:0.75|AVGO:Technology:1.25|CNQ:Energy:0.75|CCL:Consumer Discretionary:1.00|CSCO:Technology:1.25|C:Financials:1.10
S3PBO-R009,2020-08-17,13,8,19,0.000000000000,12,cash_weight=0.000000; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|BRK.B:Financials:1.10|CNQ:Energy:0.75|CCL:Consumer Discretionary:1.00|CSCO:Technology:1.25|LYV:Communication Services:1.00|SU:Energy:0.75|UNP:Industrials:1.10|BKNG:Consumer Discretionary:1.00|XLRE:Real Estate:1.00|XLRE:Real Estate:1.00
S3PBO-R010,2020-11-17,7,6,7,0.828933674730,6,cash_weight=0.287363; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|CCL:Consumer Discretionary:1.00|LYV:Communication Services:1.00|SU:Energy:0.75|XLU:Utilities:1.00|NG:Materials:0.75
S3PBO-R011,2021-02-26,7,2,4,0.840560432986,6,cash_weight=0.290916; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|LYV:Communication Services:1.00|SU:Energy:0.75|XLU:Utilities:1.00|NG:Materials:1.00
S3PBO-R012,2021-05-18,11,6,6,0.000000000000,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.00|LYV:Communication Services:1.00|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.25
S3PBO-R013,2021-08-17,11,0,0,0.000000000000,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.00|LYV:Communication Services:1.00|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.25
S3PBO-R014,2022-03-04,11,3,8,0.000000000000,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.25|LYV:Communication Services:1.25|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.25|UBER:Technology:1.25
S3PBO-R015,2022-10-12,1,1,11,0.000000000000,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00
S3PBO-R016,2022-11-15,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00
S3PBO-R017,2022-12-23,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00
S3PBO-R018,2023-02-15,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00
S3PBO-R019,2023-03-08,1,0,0,0.000000000000,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00
S3PBO-R020,2023-05-16,3,3,1,0.000000000000,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75
S3PBO-R021,2023-08-15,3,0,0,0.000000000000,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75
S3PBO-R022,2023-11-15,5,0,0,-0.000000000000,3,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ADBE:Technology:0.75|ZGN:Consumer Discretionary:0.75
S3PBO-R023,2024-02-15,5,0,0,-0.000000000000,3,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ADBE:Technology:0.75|ZGN:Consumer Discretionary:0.75
S3PBO-R024,2024-02-28,5,1,2,-0.000000000000,3,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:1.25|ADBE:Technology:1.25|ZGN:Consumer Discretionary:1.25
S3PBO-R025,2024-05-16,5,0,0,0.000000000000,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:1.25|ZGN:Consumer Discretionary:1.25|NU:Financials:0.75
S3PBO-R026,2024-08-15,5,1,2,0.000000000000,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:0.75|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ZGN:Consumer Discretionary:0.75|NU:Financials:1.10
S3PBO-R027,2024-10-01,1,1,3,2.428975032238,1,cash_weight=0.862412; sector_multipliers=AMZN:Consumer Discretionary:0.75
S3PBO-R028,2024-11-15,26,25,1,0.000000000000,26,cash_weight=0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BLDP:Industrials:0.75|BEIGF:Health Care:1.00|BE:Industrials:0.75|CMI:Industrials:0.75|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:0.75|LIN:Materials:1.00
S3PBO-R029,2025-02-18,26,25,2,-0.000000000000,26,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BLDP:Industrials:0.75|BEIGF:Health Care:1.00|BE:Industrials:0.75|CMI:Industrials:0.75|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:0.75|LIN:Materials:1.00
S3PBO-R030,2025-02-26,26,7,19,-0.000000000000,26,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:1.25|APD:Materials:1.00|BABA:Consumer Discretionary:1.25|AVY:Materials:1.00|BLDP:Industrials:1.00|BEIGF:Health Care:0.75|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:1.25|FDX:Industrials:1.00|LIN:Materials:1.00
S3PBO-R031,2025-05-16,25,6,22,-0.000000000000,25,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:1.25|APD:Materials:1.00|BABA:Consumer Discretionary:1.25|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:1.25|FDX:Industrials:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:1.25|META:Communication Services:1.00
S3PBO-R032,2025-08-13,25,18,7,-0.000000000000,25,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:0.75|META:Communication Services:1.00
S3PBO-R033,2025-08-15,14,6,20,0.218068904212,14,cash_weight=0.068278; sector_multipliers=APD:Materials:1.00|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:0.75|PDD:Consumer Discretionary:0.75|PINS:Communication Services:1.00|PLD:Real Estate:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.10
S3PBO-R034,2025-11-17,5,5,10,0.000000000000,5,cash_weight=0.000000; sector_multipliers=EA:Communication Services:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.10|MPLN:Health Care:0.75|LCID:Consumer Discretionary:0.75
S3PBO-R035,2026-02-18,4,4,1,0.133197290901,4,cash_weight=0.061903; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.10|MPLN:Health Care:0.75|LCID:Consumer Discretionary:0.75
S3PBO-R036,2026-03-02,4,2,2,0.133262272166,4,cash_weight=0.060580; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.25|MPLN:Health Care:1.00|LCID:Consumer Discretionary:1.10
S3PBO-R037,2026-05-18,4,0,4,0.133660817380,4,cash_weight=0.084582; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.25|MPLN:Health Care:1.00|LCID:Consumer Discretionary:1.10
