rebalance_id,trade_date,strategy_id,signal_count,rationale_text,pif_exposure_state
S3PBO-R001,2019-02-14,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.00,initial
S3PBO-R002,2019-02-28,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25,initial
S3PBO-R003,2019-05-14,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25,stable
S3PBO-R004,2019-08-07,S3 PIF Cash-Aware Base Plus NBIM Overlay,2,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25,expanding
S3PBO-R005,2019-10-22,S3 PIF Cash-Aware Base Plus NBIM Overlay,2,cash_weight=0.000000; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25,stable
S3PBO-R006,2020-02-05,S3 PIF Cash-Aware Base Plus NBIM Overlay,2,cash_weight=0.995270; sector_multipliers=TSLA:Consumer Discretionary:1.25|UBER:Technology:1.25,stable
S3PBO-R007,2020-02-26,S3 PIF Cash-Aware Base Plus NBIM Overlay,2,cash_weight=0.994987; sector_multipliers=TSLA:Consumer Discretionary:1.00|UBER:Technology:1.25,stable
S3PBO-R008,2020-05-18,S3 PIF Cash-Aware Base Plus NBIM Overlay,24,cash_weight=0.000000; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|BRK.B:Financials:1.10|BAC:Financials:1.10|BA:Industrials:1.10|BKNG:Consumer Discretionary:1.00|BP:Energy:0.75|AVGO:Technology:1.25|CNQ:Energy:0.75|CCL:Consumer Discretionary:1.00|CSCO:Technology:1.25|C:Financials:1.10,expanding
S3PBO-R009,2020-08-17,S3 PIF Cash-Aware Base Plus NBIM Overlay,13,cash_weight=0.000000; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|BRK.B:Financials:1.10|CNQ:Energy:0.75|CCL:Consumer Discretionary:1.00|CSCO:Technology:1.25|LYV:Communication Services:1.00|SU:Energy:0.75|UNP:Industrials:1.10|BKNG:Consumer Discretionary:1.00|XLRE:Real Estate:1.00|XLRE:Real Estate:1.00,contracting
S3PBO-R010,2020-11-17,S3 PIF Cash-Aware Base Plus NBIM Overlay,7,cash_weight=0.287363; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|CCL:Consumer Discretionary:1.00|LYV:Communication Services:1.00|SU:Energy:0.75|XLU:Utilities:1.00|NG:Materials:0.75,contracting
