rebalance_id,execution_date,side,instrument_key,issuer_name,symbol,shares,execution_price,execution_value,sector,rationale_text
S4N4F-R002,2019-02-28,BUY,sector::XLY,Consumer Services,XLY,0.003173332765,48.42446000,0.153666925552,Consumer Services,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R002,2019-02-28,BUY,sector::XLV,Health Care,XLV,0.004617158786,81.01512400,0.374059691557,Health Care,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R002,2019-02-28,BUY,sector::XLE,Oil & Gas,XLE,0.003595324826,17.49131000,0.062886941085,Oil & Gas,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R002,2019-02-28,BUY,sector::XLK,Technology,XLK,0.010366116490,31.15708000,0.322977920781,Technology,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R002,2019-02-28,BUY,sector::XLC,Telecommunications,XLC,0.000791443689,42.84143000,0.033906579385,Telecommunications,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R002,2019-02-28,BUY,sector::XLU,Utilities,XLU,0.002834908673,18.51980000,0.052501941640,Utilities,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R003,2019-05-14,SELL,sector::XLY,Consumer Services,XLY,0.000775901419,50.85100000,0.039455363037,Consumer Services,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R003,2019-05-14,SELL,sector::XLV,Health Care,XLV,0.001217493374,77.79326000,0.094712778604,Health Care,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R003,2019-05-14,SELL,sector::XLE,Oil & Gas,XLE,0.000897369494,17.34681000,0.015566498106,Oil & Gas,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R003,2019-05-14,SELL,sector::XLK,Technology,XLK,0.002443784513,32.96449000,0.080558110129,Technology,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R003,2019-05-14,SELL,sector::XLC,Telecommunications,XLC,0.000192577225,44.73036000,0.008614048618,Telecommunications,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R003,2019-05-14,SELL,sector::XLU,Utilities,XLU,0.000766158640,19.18158000,0.014696133249,Utilities,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R004,2019-08-07,BUY,sector::XLY,Consumer Services,XLY,0.000758688287,52.18025000,0.039588544469,Consumer Services,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R004,2019-08-07,BUY,sector::XLV,Health Care,XLV,0.001108586436,80.27141000,0.088987796339,Health Care,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R004,2019-08-07,BUY,sector::XLE,Oil & Gas,XLE,0.001047506027,16.10044000,0.016865307933,Oil & Gas,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R004,2019-08-07,BUY,sector::XLK,Technology,XLK,0.002506157439,34.53383000,0.086547214955,Technology,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R004,2019-08-07,BUY,sector::XLC,Telecommunications,XLC,0.000189697285,46.08293900,0.008741808424,Telecommunications,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R004,2019-08-07,BUY,sector::XLU,Utilities,XLU,0.000638755881,20.15208000,0.012872259623,Utilities,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R005,2019-10-22,SELL,sector::XLY,Consumer Services,XLY,0.000795772547,54.61947000,0.043464674783,Consumer Services,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R005,2019-10-22,SELL,sector::XLV,Health Care,XLV,0.001107387098,82.18661000,0.091012391573,Health Care,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R005,2019-10-22,SELL,sector::XLE,Oil & Gas,XLE,0.001028057324,16.59287000,0.017058421536,Oil & Gas,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R005,2019-10-22,SELL,sector::XLK,Technology,XLK,0.002661020104,36.17855000,0.096271848894,Technology,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R005,2019-10-22,SELL,sector::XLC,Telecommunications,XLC,0.000201415421,47.05436700,0.009477475142,Telecommunications,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R005,2019-10-22,SELL,sector::XLU,Utilities,XLU,0.000566083472,21.87589000,0.012383579774,Utilities,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLY,Consumer Services,XLY,0.000056646594,58.29087000,0.003301979222,Consumer Services,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLV,Health Care,XLV,0.000100121324,93.81862000,0.009393244454,Health Care,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLE,Oil & Gas,XLE,0.000099872117,16.71519000,0.001669381419,Oil & Gas,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLK,Technology,XLK,0.000351487941,44.99793000,0.015816229782,Technology,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLC,Telecommunications,XLC,0.000008932936,51.95600000,0.000464119615,Telecommunications,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,SELL,sector::XLU,Utilities,XLU,0.000014483841,23.75154000,0.000344013522,Utilities,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,SELL,sector::XLY,Consumer Services,XLY,0.002303700492,54.82934000,0.126310377541,Consumer Services,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,SELL,sector::XLV,Health Care,XLV,0.003300743425,87.81481000,0.289854156758,Health Care,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,SELL,sector::XLE,Oil & Gas,XLE,0.002617531917,14.56948000,0.038136078920,Oil & Gas,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,SELL,sector::XLC,Telecommunications,XLC,0.000578215392,49.58453000,0.028670538432,Telecommunications,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,BUY,sector::XLI,Industrials,XLI,0.002259101409,70.01987700,0.158182002801,Industrials,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,BUY,sector::XLK,Technology,XLK,0.009240407665,41.83860000,0.386605720135,Technology,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,SELL,sector::XLU,Utilities,XLU,0.002020909200,23.25779000,0.047001881792,Utilities,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R008,2020-05-18,BUY,sector::XLI,Industrials,XLI,0.000905357754,57.84544000,0.052370817624,Industrials,base_sleeve=N4; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R008,2020-05-18,BUY,sector::XLK,Technology,XLK,0.005327458856,43.66929000,0.232646345751,Technology,base_sleeve=N4; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R008,2020-05-18,BUY,sector::XLU,Utilities,XLU,0.000041086376,20.09198500,0.000825506847,Utilities,base_sleeve=N4; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R009,2020-08-17,SELL,sector::XLI,Industrials,XLI,0.001704415582,70.74290000,0.120575301046,Industrials,base_sleeve=N4; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S4N4F-R009,2020-08-17,SELL,sector::XLK,Technology,XLK,0.010827820885,52.56598000,0.569175016094,Technology,base_sleeve=N4; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S4N4F-R009,2020-08-17,SELL,sector::XLU,Utilities,XLU,0.000072744622,21.58428000,0.001570140292,Utilities,base_sleeve=N4; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S4N4F-R010,2020-11-17,SELL,sector::XLI,Industrials,XLI,0.000070153410,80.63383000,0.005656738123,Industrials,base_sleeve=N4; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R010,2020-11-17,SELL,sector::XLK,Technology,XLK,0.000374537983,56.04479100,0.020990902963,Technology,base_sleeve=N4; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R010,2020-11-17,SELL,sector::XLU,Utilities,XLU,0.000002568605,23.82692000,0.000061201941,Utilities,base_sleeve=N4; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,SELL,sector::XLU,Utilities,XLU,0.000071802550,21.60176000,0.001551061444,Utilities,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,BUY,sector::XLP,Consumer Goods,XLP,0.001067855335,55.24677000,0.058995558083,Consumer Goods,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,BUY,sector::XLY,Consumer Services,XLY,0.001272462125,74.35889000,0.094618871184,Consumer Services,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,BUY,sector::XLV,Health Care,XLV,0.000405591147,103.57500000,0.042009103012,Health Care,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,SELL,sector::XLI,Industrials,XLI,0.000817049997,83.72885000,0.068410656617,Industrials,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,SELL,sector::XLK,Technology,XLK,0.002506788769,60.46915000,0.151583386077,Technology,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
