rebalance_id,trade_date,signal_count,positions_bought_count,positions_sold_count,cash_after_rebalance,position_count_end,rationale_text
S4N4F-R001,2019-02-14,0,0,0,1.000000000000,0,N4 sleeve unavailable as of 2019-02-14; remain in cash.
S4N4F-R002,2019-02-28,6,6,0,0.000000000000,6,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R003,2019-05-14,6,0,6,0.253602931743,6,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R004,2019-08-07,6,6,0,0.000000000000,6,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R005,2019-10-22,6,0,6,0.269668391703,6,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R006,2020-02-05,6,0,6,0.300657359716,6,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R007,2020-02-26,3,2,5,0.285842670222,3,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R008,2020-05-18,3,3,0,0.000000000000,3,base_sleeve=N4; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R009,2020-08-17,3,0,3,0.691320457431,3,base_sleeve=N4; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S4N4F-R010,2020-11-17,3,0,3,0.718029300459,3,base_sleeve=N4; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R011,2021-02-26,5,3,3,0.743950872317,5,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S4N4F-R012,2021-05-18,5,5,0,0.000000000000,5,base_sleeve=N4; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R013,2021-08-17,5,0,5,0.427652586144,5,base_sleeve=N4; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R014,2022-03-04,6,5,3,0.422053819558,6,base_sleeve=N4; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S4N4F-R015,2022-10-12,6,5,1,0.375388449830,6,base_sleeve=N4; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R016,2022-11-15,6,2,4,0.400218856331,6,base_sleeve=N4; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R017,2022-12-23,6,6,0,0.000000000000,6,base_sleeve=N4; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00
S4N4F-R018,2023-02-15,6,0,6,0.423133744390,6,base_sleeve=N4; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R019,2023-03-08,6,4,6,0.407612006557,6,base_sleeve=N4; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75
S4N4F-R020,2023-05-16,6,4,2,0.402425387487,6,base_sleeve=N4; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75
