rebalance_id,trade_date,strategy_id,signal_count,rationale_text,pif_exposure_state
S4N4F-R001,2019-02-14,S4 N4 Sleeve With PIF Risk Filter,0,N4 sleeve unavailable as of 2019-02-14; remain in cash.,initial
S4N4F-R002,2019-02-28,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00,initial
S4N4F-R003,2019-05-14,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R004,2019-08-07,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00,expanding
S4N4F-R005,2019-10-22,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R006,2020-02-05,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R007,2020-02-26,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R008,2020-05-18,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00,expanding
S4N4F-R009,2020-08-17,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R010,2020-11-17,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R011,2021-02-26,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R012,2021-05-18,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00,expanding
S4N4F-R013,2021-08-17,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R014,2022-03-04,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R015,2022-10-12,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R016,2022-11-15,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R017,2022-12-23,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00,expanding
S4N4F-R018,2023-02-15,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R019,2023-03-08,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R020,2023-05-16,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R021,2023-08-15,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R022,2023-11-15,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R023,2024-02-15,S4 N4 Sleeve With PIF Risk Filter,6,base_sleeve=N4; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R024,2024-02-28,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2024-02-28; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R025,2024-05-16,S4 N4 Sleeve With PIF Risk Filter,3,base_sleeve=N4; sleeve_date=2024-04-30; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R026,2024-08-15,S4 N4 Sleeve With PIF Risk Filter,1,base_sleeve=N4; sleeve_date=2024-08-15; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R027,2024-10-01,S4 N4 Sleeve With PIF Risk Filter,1,base_sleeve=N4; sleeve_date=2024-09-30; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R028,2024-11-15,S4 N4 Sleeve With PIF Risk Filter,1,base_sleeve=N4; sleeve_date=2024-10-31; exposure_state=expanding; exposure_weight=1.00,expanding
S4N4F-R029,2025-02-18,S4 N4 Sleeve With PIF Risk Filter,1,base_sleeve=N4; sleeve_date=2025-01-31; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R030,2025-02-26,S4 N4 Sleeve With PIF Risk Filter,4,base_sleeve=N4; sleeve_date=2025-02-26; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R031,2025-05-16,S4 N4 Sleeve With PIF Risk Filter,4,base_sleeve=N4; sleeve_date=2025-04-30; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R032,2025-08-13,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2025-08-13; exposure_state=stable; exposure_weight=0.75,stable
S4N4F-R033,2025-08-15,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2025-08-13; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R034,2025-11-17,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2025-10-31; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R035,2026-02-18,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2026-01-30; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R036,2026-03-02,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2026-03-02; exposure_state=contracting; exposure_weight=0.50,contracting
S4N4F-R037,2026-05-18,S4 N4 Sleeve With PIF Risk Filter,5,base_sleeve=N4; sleeve_date=2026-04-30; exposure_state=stable; exposure_weight=0.75,stable
