rebalance_id,execution_date,side,instrument_key,issuer_name,symbol,shares,execution_price,execution_value,sector,rationale_text
S5N6F-R001,2019-02-14,BUY,sector::XLF,XLF,XLF,0.013989735832,22.56961000,0.315742881741,XLF,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00
S5N6F-R001,2019-02-14,BUY,sector::XLI,XLI,XLI,0.004965577481,66.29232000,0.329179651331,XLI,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00
S5N6F-R001,2019-02-14,BUY,sector::XLP,XLP,XLP,0.007979329885,44.49966000,0.355077466928,XLP,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00
S5N6F-R002,2019-02-28,SELL,sector::XLP,XLP,XLP,0.007979329885,44.91292000,0.358375004796,XLP,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S5N6F-R002,2019-02-28,BUY,sector::XLF,XLF,XLF,0.000687837760,23.12775000,0.015908139746,XLF,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S5N6F-R002,2019-02-28,BUY,sector::XLI,XLI,XLI,0.000044388348,67.75680000,0.003007612405,XLI,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S5N6F-R002,2019-02-28,BUY,sector::XLK,XLK,XLK,0.010895091987,31.15708000,0.339459252645,XLK,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S5N6F-R003,2019-05-14,SELL,sector::XLF,XLF,XLF,0.003722227511,23.56922000,0.087729999091,XLF,base_sleeve=N6; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R003,2019-05-14,SELL,sector::XLI,XLI,XLI,0.001270825821,66.83268000,0.084932695448,XLI,base_sleeve=N6; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R003,2019-05-14,SELL,sector::XLK,XLK,XLK,0.002648825879,32.96449000,0.087317194196,XLK,base_sleeve=N6; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R004,2019-08-07,BUY,sector::XLF,XLF,XLF,0.003798211529,23.56576000,0.089507741322,XLF,base_sleeve=N6; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S5N6F-R004,2019-08-07,BUY,sector::XLI,XLI,XLI,0.001222556139,67.05069900,0.081973243682,XLI,base_sleeve=N6; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S5N6F-R004,2019-08-07,BUY,sector::XLK,XLK,XLK,0.002562672710,34.53383000,0.088498903729,XLK,base_sleeve=N6; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S5N6F-R005,2019-10-22,SELL,sector::XLF,XLF,XLF,0.003875671700,25.16421000,0.097528216561,XLF,base_sleeve=N6; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R005,2019-10-22,SELL,sector::XLI,XLI,XLI,0.001211358371,70.30580000,0.085165519383,XLI,base_sleeve=N6; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R005,2019-10-22,SELL,sector::XLK,XLK,XLK,0.002628452692,36.17855000,0.095093607144,XLK,base_sleeve=N6; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R006,2020-02-05,SELL,sector::XLF,XLF,XLF,0.000230059499,27.65022000,0.006361195756,XLF,base_sleeve=N6; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R006,2020-02-05,SELL,sector::XLI,XLI,XLI,0.000110451582,76.06997200,0.008402048720,XLI,base_sleeve=N6; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R006,2020-02-05,SELL,sector::XLK,XLK,XLK,0.000343093354,44.99793000,0.015438490743,XLK,base_sleeve=N6; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R007,2020-02-26,BUY,sector::XLF,XLF,XLF,0.000778824158,25.40759000,0.019788044887,XLF,base_sleeve=N6; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S5N6F-R007,2020-02-26,SELL,sector::XLK,XLK,XLK,0.000898258749,41.83860000,0.037581888503,XLK,base_sleeve=N6; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S5N6F-R007,2020-02-26,BUY,sector::XLI,XLI,XLI,0.000506417188,70.01987700,0.035459269192,XLI,base_sleeve=N6; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S5N6F-R008,2020-05-18,BUY,sector::XLF,XLF,XLF,0.004860333727,19.86012000,0.096526811056,XLF,base_sleeve=N6; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R008,2020-05-18,BUY,sector::XLK,XLK,XLK,0.002228842004,43.66929000,0.097331947846,XLK,base_sleeve=N6; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R008,2020-05-18,BUY,sector::XLI,XLI,XLI,0.001667631776,57.84544000,0.096464893830,XLI,base_sleeve=N6; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R009,2020-08-17,SELL,sector::XLF,XLF,XLF,0.008291248654,22.36083000,0.185399201634,XLF,base_sleeve=N6; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S5N6F-R009,2020-08-17,SELL,sector::XLK,XLK,XLK,0.004348581732,52.56598000,0.228587460332,XLK,base_sleeve=N6; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S5N6F-R009,2020-08-17,SELL,sector::XLI,XLI,XLI,0.003035184033,70.74290000,0.214717720500,XLI,base_sleeve=N6; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S5N6F-R010,2020-11-17,SELL,sector::XLF,XLF,XLF,0.000661156003,25.05319100,0.016564067613,XLF,base_sleeve=N6; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S5N6F-R010,2020-11-17,SELL,sector::XLK,XLK,XLK,0.000127342034,56.04479100,0.007136857693,XLK,base_sleeve=N6; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S5N6F-R010,2020-11-17,SELL,sector::XLI,XLI,XLI,0.000113945666,80.63383000,0.009187875472,XLI,base_sleeve=N6; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S5N6F-R011,2021-02-26,BUY,sector::XLF,XLF,XLF,0.000490154497,29.49573000,0.014457464689,XLF,base_sleeve=N6; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S5N6F-R011,2021-02-26,SELL,sector::XLK,XLK,XLK,0.000875292055,60.46915000,0.052928166595,XLK,base_sleeve=N6; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S5N6F-R011,2021-02-26,BUY,sector::XLI,XLI,XLI,0.000091666719,83.72885000,0.007675148937,XLI,base_sleeve=N6; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S5N6F-R012,2021-05-18,BUY,sector::XLF,XLF,XLF,0.006595025537,34.31161000,0.226285944175,XLF,base_sleeve=N6; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R012,2021-05-18,BUY,sector::XLK,XLK,XLK,0.003756365213,62.21554000,0.233704290158,XLK,base_sleeve=N6; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R012,2021-05-18,BUY,sector::XLI,XLI,XLI,0.002436869335,95.36765000,0.232398501877,XLI,base_sleeve=N6; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R013,2021-08-17,SELL,sector::XLF,XLF,XLF,0.003525709101,35.17452000,0.124015125294,XLF,base_sleeve=N6; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R013,2021-08-17,SELL,sector::XLK,XLK,XLK,0.002049312620,72.00273130,0.147556105893,XLK,base_sleeve=N6; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R013,2021-08-17,SELL,sector::XLI,XLI,XLI,0.001211159799,96.90525000,0.117367743118,XLI,base_sleeve=N6; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R014,2022-03-04,SELL,sector::XLI,XLI,XLI,0.003982181713,93.99660000,0.374311541601,XLI,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S5N6F-R014,2022-03-04,SELL,sector::XLK,XLK,XLK,0.000091259973,70.34365000,0.006419559626,XLK,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S5N6F-R014,2022-03-04,BUY,sector::XLY,XLY,XLY,0.004768195459,80.14470000,0.382145594591,XLY,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S5N6F-R014,2022-03-04,BUY,sector::XLF,XLF,XLF,0.000155528232,34.58463000,0.005378886348,XLF,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S5N6F-R015,2022-10-12,BUY,sector::XLK,XLK,XLK,0.000336808020,55.51148000,0.018696711643,XLK,base_sleeve=N6; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75
