rebalance_id,trade_date,signal_count,positions_bought_count,positions_sold_count,cash_after_rebalance,position_count_end,rationale_text
S5N6F-R001,2019-02-14,3,3,0,0.000000000000,3,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00
S5N6F-R002,2019-02-28,3,3,1,0.000000000000,3,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S5N6F-R003,2019-05-14,3,0,3,0.259979888734,3,base_sleeve=N6; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R004,2019-08-07,3,3,0,0.000000000000,3,base_sleeve=N6; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00
S5N6F-R005,2019-10-22,3,0,3,0.277787343090,3,base_sleeve=N6; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R006,2020-02-05,3,0,3,0.307989078309,3,base_sleeve=N6; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75
S5N6F-R007,2020-02-26,3,2,1,0.290323652732,3,base_sleeve=N6; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75
S5N6F-R008,2020-05-18,3,3,0,0.000000000000,3,base_sleeve=N6; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R009,2020-08-17,3,0,3,0.628704382466,3,base_sleeve=N6; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50
S5N6F-R010,2020-11-17,3,0,3,0.661593183242,3,base_sleeve=N6; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50
S5N6F-R011,2021-02-26,3,2,1,0.692388736211,3,base_sleeve=N6; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50
S5N6F-R012,2021-05-18,3,3,0,0.000000000000,3,base_sleeve=N6; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00
S5N6F-R013,2021-08-17,3,0,3,0.388938974305,3,base_sleeve=N6; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75
S5N6F-R014,2022-03-04,3,2,2,0.382145594591,3,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75
S5N6F-R015,2022-10-12,3,3,0,0.328090224086,3,base_sleeve=N6; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75
