rebalance_id,trade_date,strategy_id,signal_count,rationale_text,pif_exposure_state
S5N6F-R001,2019-02-14,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2019-01-31; exposure_state=initial; exposure_weight=1.00,initial
S5N6F-R002,2019-02-28,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00,initial
S5N6F-R003,2019-05-14,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2019-04-30; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R004,2019-08-07,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2019-07-31; exposure_state=expanding; exposure_weight=1.00,expanding
S5N6F-R005,2019-10-22,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2019-09-30; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R006,2020-02-05,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2020-01-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R007,2020-02-26,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2020-02-26; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R008,2020-05-18,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2020-04-30; exposure_state=expanding; exposure_weight=1.00,expanding
S5N6F-R009,2020-08-17,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2020-07-31; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R010,2020-11-17,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2020-10-30; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R011,2021-02-26,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2021-02-26; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R012,2021-05-18,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2021-04-30; exposure_state=expanding; exposure_weight=1.00,expanding
S5N6F-R013,2021-08-17,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2021-07-30; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R014,2022-03-04,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2022-03-04; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R015,2022-10-12,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2022-09-30; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R016,2022-11-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2022-10-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R017,2022-12-23,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2022-11-30; exposure_state=expanding; exposure_weight=1.00,expanding
S5N6F-R018,2023-02-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2023-01-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R019,2023-03-08,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2023-03-08; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R020,2023-05-16,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2023-04-28; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R021,2023-08-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R022,2023-11-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R023,2024-02-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R024,2024-02-28,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-02-28; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R025,2024-05-16,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-04-30; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R026,2024-08-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-08-15; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R027,2024-10-01,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-09-30; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R028,2024-11-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2024-10-31; exposure_state=expanding; exposure_weight=1.00,expanding
S5N6F-R029,2025-02-18,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-01-31; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R030,2025-02-26,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-02-26; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R031,2025-05-16,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-04-30; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R032,2025-08-13,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-08-13; exposure_state=stable; exposure_weight=0.75,stable
S5N6F-R033,2025-08-15,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-08-13; exposure_state=contracting; exposure_weight=0.50,contracting
S5N6F-R034,2025-11-17,S5 N6 Sleeve With PIF Risk Filter,3,base_sleeve=N6; sleeve_date=2025-10-31; exposure_state=contracting; exposure_weight=0.50,contracting
