aggregation_level,event_family,sector,window_months,check_name,status,detail
family_total,cross_fund_consensus_gained,,1,bootstrap_ci_ordered,pass,"excess=(-0.009365808352,0.018856950382) excess_u=(-0.012039311167,0.015664887066) proxy_u=(-0.002645752903,0.044217552636)"
family_total,cross_fund_consensus_gained,,1,event_count_positive,pass,event_count=21
family_total,cross_fund_consensus_gained,,3,bootstrap_ci_ordered,pass,"excess=(-0.014860605181,0.039920468119) excess_u=(-0.022086699984,0.026279507606) proxy_u=(-0.016226276575,0.054658039241)"
family_total,cross_fund_consensus_gained,,3,event_count_positive,pass,event_count=21
family_total,cross_fund_consensus_gained,,6,bootstrap_ci_ordered,pass,"excess=(0.000214028618,0.096846310182) excess_u=(-0.017333578800,0.070778526585) proxy_u=(-0.011100108424,0.114986664488)"
family_total,cross_fund_consensus_gained,,6,event_count_positive,pass,event_count=21
family_total,cross_fund_consensus_lost,,1,bootstrap_ci_ordered,pass,"excess=(-0.017636593555,0.017811427121) excess_u=(-0.020895153215,0.014143137861) proxy_u=(-0.050825828657,0.005480794212)"
family_total,cross_fund_consensus_lost,,1,event_count_positive,pass,event_count=21
family_total,cross_fund_consensus_lost,,3,bootstrap_ci_ordered,pass,"excess=(-0.015185470811,0.041203990869) excess_u=(-0.025140661266,0.027566760405) proxy_u=(-0.032084349779,0.041848813719)"
family_total,cross_fund_consensus_lost,,3,event_count_positive,pass,event_count=21
family_total,cross_fund_consensus_lost,,6,bootstrap_ci_ordered,pass,"excess=(-0.007983866588,0.069468852819) excess_u=(-0.026727288197,0.044666202004) proxy_u=(-0.021697986388,0.062732198400)"
family_total,cross_fund_consensus_lost,,6,event_count_positive,pass,event_count=21
family_total,nbim_overweight_tech,,1,bootstrap_ci_ordered,pass,"excess=(-0.018965796807,0.029674542546) excess_u=(-0.028205705993,0.018569583991) proxy_u=(-0.064818039964,0.011366030717)"
family_total,nbim_overweight_tech,,1,event_count_positive,pass,event_count=8
family_total,nbim_overweight_tech,,3,bootstrap_ci_ordered,pass,"excess=(-0.013938694673,0.052978614015) excess_u=(-0.043239983732,0.024706872203) proxy_u=(-0.063964237986,-0.005632387925)"
family_total,nbim_overweight_tech,,3,event_count_positive,pass,event_count=7
family_total,nbim_overweight_tech,,6,bootstrap_ci_ordered,pass,"excess=(0.009990426270,0.135470344370) excess_u=(-0.047105200787,0.076513423519) proxy_u=(-0.085857207927,0.098978577072)"
family_total,nbim_overweight_tech,,6,event_count_positive,pass,event_count=7
family_total,nbim_positive_industry_weight_change,,1,bootstrap_ci_ordered,pass,"excess=(-0.014394452436,0.014339234647) excess_u=(-0.018691556744,0.010629112647) proxy_u=(-0.022965925773,0.022712690067)"
family_total,nbim_positive_industry_weight_change,,1,event_count_positive,pass,event_count=22
family_total,nbim_positive_industry_weight_change,,3,bootstrap_ci_ordered,pass,"excess=(-0.035841349383,0.026027368668) excess_u=(-0.046953211308,0.011944020119) proxy_u=(-0.058508489832,-0.004035735053)"
family_total,nbim_positive_industry_weight_change,,3,event_count_positive,pass,event_count=21
family_total,nbim_positive_industry_weight_change,,6,bootstrap_ci_ordered,pass,"excess=(-0.020922230637,0.054833290001) excess_u=(-0.040097387279,0.025128874275) proxy_u=(-0.078929977549,0.012166763582)"
family_total,nbim_positive_industry_weight_change,,6,event_count_positive,pass,event_count=21
family_total,pif_contracting,,1,bootstrap_ci_ordered,pass,"excess=(-0.006125915884,0.034821868611) excess_u=(-0.020943068702,0.020004715793) proxy_u=(-0.020943068702,0.020004715793)"
family_total,pif_contracting,,1,event_count_positive,pass,event_count=3
family_total,pif_contracting,,3,bootstrap_ci_ordered,pass,"excess=(0.037408938310,0.071462898296) excess_u=(-0.003431074171,0.030622885815) proxy_u=(-0.003431074171,0.030622885815)"
family_total,pif_contracting,,3,event_count_positive,pass,event_count=3
family_total,pif_contracting,,6,bootstrap_ci_ordered,pass,"excess=(0.067318256939,0.170805573632) excess_u=(-0.013460690772,0.090026625921) proxy_u=(-0.013460690772,0.090026625921)"
family_total,pif_contracting,,6,event_count_positive,pass,event_count=3
family_total,pif_expanding,,1,bootstrap_ci_ordered,pass,"excess=(0.022750343970,0.050489156197) excess_u=(0.007933191152,0.033679533783) proxy_u=(0.007933191152,0.035672003379)"
family_total,pif_expanding,,1,event_count_positive,pass,event_count=5
family_total,pif_expanding,,3,bootstrap_ci_ordered,pass,"excess=(0.042928233962,0.116286244683) excess_u=(0.002088221481,0.075446232202) proxy_u=(0.002088221481,0.075446232202)"
family_total,pif_expanding,,3,event_count_positive,pass,event_count=5
family_total,pif_expanding,,6,bootstrap_ci_ordered,pass,"excess=(0.069558883163,0.189778595447) excess_u=(-0.011220064548,0.107441503928) proxy_u=(-0.009661920740,0.108999647736)"
family_total,pif_expanding,,6,event_count_positive,pass,event_count=5
