as_of_date,top10_us_names,mirror_overlap_count,mirror_overlap_names
2017-12-31,Apple Inc|Alphabet Inc|Microsoft Corp|Amazon.com Inc|Facebook Inc|Johnson & Johnson|Berkshire Hathaway Inc|JPMorgan Chase & Co|Bank of America Corp|Exxon Mobil Corp,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Exxon Mobil Corp|Facebook Inc|JPMorgan Chase & Co|Microsoft Corp
2018-12-31,Microsoft Corp|Apple Inc|Alphabet Inc|Amazon.com Inc|Berkshire Hathaway Inc|Johnson & Johnson|Facebook Inc|JPMorgan Chase & Co|Exxon Mobil Corp|Linde PLC,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Exxon Mobil Corp|Facebook Inc|JPMorgan Chase & Co|Microsoft Corp
2019-12-31,Apple Inc|Microsoft Corp|Alphabet Inc|Amazon.com Inc|Facebook Inc|Berkshire Hathaway Inc|Johnson & Johnson|JPMorgan Chase & Co|Bank of America Corp|Procter & Gamble Co/The,7,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Facebook Inc|JPMorgan Chase & Co|Microsoft Corp
2020-12-31,Apple Inc|Microsoft Corp|Amazon.com Inc|Alphabet Inc|Facebook Inc|Tesla Inc|Johnson & Johnson|Berkshire Hathaway Inc|Procter & Gamble Co/The|JPMorgan Chase & Co,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Facebook Inc|JPMorgan Chase & Co|Microsoft Corp|Tesla Inc
2021-12-31,Apple Inc|Microsoft Corp|Alphabet Inc|Amazon.com Inc|Meta Platforms Inc|Tesla Inc|NVIDIA Corp|Berkshire Hathaway Inc|UnitedHealth Group Inc|Home Depot Inc/The,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp|Tesla Inc
2022-12-31,Apple Inc|Microsoft Corp|Alphabet Inc|Amazon.com Inc|Berkshire Hathaway Inc|UnitedHealth Group Inc|Exxon Mobil Corp|Johnson & Johnson|Meta Platforms Inc|NVIDIA Corp,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Exxon Mobil Corp|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp
2023-12-31,Microsoft Corp|Apple Inc|Alphabet Inc|Amazon.com Inc|NVIDIA Corp|Meta Platforms Inc|Tesla Inc|Berkshire Hathaway Inc|Broadcom Inc|JPMorgan Chase & Co,9,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|JPMorgan Chase & Co|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp|Tesla Inc
2024-06-30,Microsoft Corp|Apple Inc|NVIDIA Corp|Alphabet Inc|Amazon.com Inc|Meta Platforms Inc|Eli Lilly & Co|Broadcom Inc|Berkshire Hathaway Inc|JPMorgan Chase & Co,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|JPMorgan Chase & Co|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp
2024-12-31,Apple Inc|Microsoft Corp|NVIDIA Corp|Alphabet Inc|Amazon.com Inc|Meta Platforms Inc|Broadcom Inc|Tesla Inc|Berkshire Hathaway Inc|Eli Lilly & Co,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp|Tesla Inc
2025-06-30,NVIDIA Corp|Microsoft Corp|Apple Inc|Amazon.com Inc|Alphabet Inc|Meta Platforms Inc|Broadcom Inc|Tesla Inc|Berkshire Hathaway Inc|JPMorgan Chase & Co,9,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|JPMorgan Chase & Co|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp|Tesla Inc
2025-12-31,NVIDIA Corp|Apple Inc|Microsoft Corp|Alphabet Inc|Amazon.com Inc|Broadcom Inc|Meta Platforms Inc|Tesla Inc|Eli Lilly & Co|Berkshire Hathaway Inc,8,Alphabet Inc|Amazon.com Inc|Apple Inc|Berkshire Hathaway Inc|Meta Platforms Inc|Microsoft Corp|NVIDIA Corp|Tesla Inc
