rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,8072652444,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,5855268978,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,5813307895,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,4472071992,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::META,mirror::META,META,Facebook Inc,0.100000000000,3638348980,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,3269196109,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,3157074018,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,3089045340,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,961270268,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,252531626,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,7473560009,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,7245475994,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,6655876675,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,6325247763,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,3859857969,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::META,mirror::META,META,Facebook Inc,0.100000000000,3124873999,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,2877033406,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,2699645714,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,711469026,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,455658445,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,13310905191,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,11908051898,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,8857185911,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,7810259784,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::META,mirror::META,META,Facebook Inc,0.100000000000,5262303767,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,4519798094,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,3758996694,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,2955248384,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,1290890860,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,336638518,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,21646804706,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,17273340269,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,14521745443,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,11369209390,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::META,mirror::META,META,Facebook Inc,0.100000000000,7874893856,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,5349488094,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,4249290746,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,3390985954,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,3014057459,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,1598261436,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,24602466089,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::MSFT,mirror::MSFT,MSFT,Microsoft Corp,0.100000000000,23867205748,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::GOOGL,mirror::GOOGL,GOOGL,Alphabet Inc,0.100000000000,16376969945,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::AMZN,mirror::AMZN,AMZN,Amazon.com Inc,0.100000000000,13739664793,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::META,mirror::META,META,Meta Platforms Inc,0.100000000000,9414063824,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::TSLA,mirror::TSLA,TSLA,Tesla Inc,0.100000000000,7722202153,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::NVDA,mirror::NVDA,NVDA,NVIDIA Corp,0.100000000000,6129879737,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::BRK.B,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.100000000000,4773795107,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::JPM,mirror::JPM,JPM,JPMorgan Chase & Co,0.100000000000,3984847822,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::XOM,mirror::XOM,XOM,Exxon Mobil Corp,0.100000000000,3124410658,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
n1::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::AAPL,mirror::AAPL,AAPL,Apple Inc,0.100000000000,21284499711,1,Equal-weight the selected core US NBIM holdings visible at this snapshot.
