date,strategy_key,strategy_name,instrument_key,symbol,display_name,shares,market_value,portfolio_weight,entry_date,source_signal_id,source_rebalance_id
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.209240327130,0.209240327130,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.151766523443,0.151766523443,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::MSFT,MSFT,Microsoft Corp,0.001746052776,0.150678906852,0.150678906852,2018-02-28,2017-12-31::MSFT,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::AMZN,AMZN,Amazon.com Inc,0.001532804939,0.115914541478,0.115914541478,2018-02-28,2017-12-31::AMZN,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::META,META,Facebook Inc,0.000532984505,0.094304732685,0.094304732685,2018-02-28,2017-12-31::META,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.000408959553,0.084736419416,0.084736419416,2018-02-28,2017-12-31::BRK.B,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::JPM,JPM,JPMorgan Chase & Co,0.000884083192,0.081830254044,0.081830254044,2018-02-28,2017-12-31::JPM,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::XOM,XOM,Exxon Mobil Corp,0.001522232131,0.080066974510,0.080066974510,2018-02-28,2017-12-31::XOM,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::NVDA,NVDA,NVIDIA Corp,0.004162079428,0.024915789046,0.024915789046,2018-02-28,2017-12-31::NVDA,n2::2018-02-28
2018-02-28,n2,N2 Core US Mirror NBIM Weight,mirror::TSLA,TSLA,Tesla Inc,0.000286197623,0.006545531398,0.006545531398,2018-02-28,2017-12-31::TSLA,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.197093728500,0.207673373369,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.142585639394,0.150239385861,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::MSFT,MSFT,Microsoft Corp,0.001746052776,0.146661658468,0.154534198474,2018-02-28,2017-12-31::MSFT,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::AMZN,AMZN,Amazon.com Inc,0.001532804939,0.110924495000,0.116878726894,2018-02-28,2017-12-31::AMZN,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::META,META,Facebook Inc,0.000532984505,0.084505114348,0.089041200332,2018-02-28,2017-12-31::META,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.000408959553,0.081579251666,0.085958282485,2018-02-28,2017-12-31::BRK.B,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::JPM,JPM,JPMorgan Chase & Co,0.000884083192,0.077912315605,0.082094511742,2018-02-28,2017-12-31::JPM,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::XOM,XOM,Exxon Mobil Corp,0.001522232131,0.078872433290,0.083106166857,2018-02-28,2017-12-31::XOM,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::NVDA,NVDA,NVIDIA Corp,0.004162079428,0.023843970352,0.025123872764,2018-02-28,2017-12-31::NVDA,n2::2018-02-28
2018-03-29,n2,N2 Core US Mirror NBIM Weight,mirror::TSLA,TSLA,Tesla Inc,0.000286197623,0.005077718233,0.005350281221,2018-02-28,2017-12-31::TSLA,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.194133458064,0.201576468652,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.140034010242,0.145402866447,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::MSFT,MSFT,Microsoft Corp,0.001746052776,0.150277176775,0.156038752492,2018-02-28,2017-12-31::MSFT,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::AMZN,AMZN,Amazon.com Inc,0.001532804939,0.120028589933,0.124630445145,2018-02-28,2017-12-31::AMZN,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::META,META,Facebook Inc,0.000532984505,0.090962386853,0.094449853749,2018-02-28,2017-12-31::META,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.000408959553,0.079227734235,0.082265298551,2018-02-28,2017-12-31::BRK.B,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::JPM,JPM,JPMorgan Chase & Co,0.000884083192,0.077458073661,0.080427789794,2018-02-28,2017-12-31::JPM,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::XOM,XOM,Exxon Mobil Corp,0.001522232131,0.082191812674,0.085343018747,2018-02-28,2017-12-31::XOM,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::NVDA,NVDA,NVIDIA Corp,0.004162079428,0.023155187827,0.024042949833,2018-02-28,2017-12-31::NVDA,n2::2018-02-28
2018-04-30,n2,N2 Core US Mirror NBIM Weight,mirror::TSLA,TSLA,Tesla Inc,0.000286197623,0.005607564479,0.005822556589,2018-02-28,2017-12-31::TSLA,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.220362303006,0.213923002609,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.151227610136,0.146808523946,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::MSFT,MSFT,Microsoft Corp,0.001746052776,0.159511314817,0.154850166976,2018-02-28,2017-12-31::MSFT,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::AMZN,AMZN,Amazon.com Inc,0.001532804939,0.124894479211,0.121244884618,2018-02-28,2017-12-31::AMZN,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::META,META,Facebook Inc,0.000532984505,0.101423060541,0.098459334237,2018-02-28,2017-12-31::META,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.000408959553,0.078328023218,0.076039166803,2018-02-28,2017-12-31::BRK.B,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::JPM,JPM,JPMorgan Chase & Co,0.000884083192,0.076197724662,0.073971118604,2018-02-28,2017-12-31::JPM,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::XOM,XOM,Exxon Mobil Corp,0.001522232131,0.086742951854,0.084208199237,2018-02-28,2017-12-31::XOM,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::NVDA,NVDA,NVIDIA Corp,0.004162079428,0.025980948413,0.025221748091,2018-02-28,2017-12-31::NVDA,n2::2018-02-28
2018-05-31,n2,N2 Core US Mirror NBIM Weight,mirror::TSLA,TSLA,Tesla Inc,0.000286197623,0.005432603286,0.005273854879,2018-02-28,2017-12-31::TSLA,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.218286860326,0.210799420665,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.155240617313,0.149915721654,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::MSFT,MSFT,Microsoft Corp,0.001746052776,0.159140138918,0.153681486088,2018-02-28,2017-12-31::MSFT,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::AMZN,AMZN,Amazon.com Inc,0.001532804939,0.130273091741,0.125804605125,2018-02-28,2017-12-31::AMZN,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::META,META,Facebook Inc,0.000532984505,0.102766352049,0.099241371851,2018-02-28,2017-12-31::META,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,0.000408959553,0.076332296509,0.073714028678,2018-02-28,2017-12-31::BRK.B,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::JPM,JPM,JPMorgan Chase & Co,0.000884083192,0.074196823376,0.071651804234,2018-02-28,2017-12-31::JPM,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::XOM,XOM,Exxon Mobil Corp,0.001522232131,0.088333882321,0.085303949081,2018-02-28,2017-12-31::XOM,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::NVDA,NVDA,NVIDIA Corp,0.004162079428,0.024405767833,0.023568627596,2018-02-28,2017-12-31::NVDA,n2::2018-02-28
2018-06-29,n2,N2 Core US Mirror NBIM Weight,mirror::TSLA,TSLA,Tesla Inc,0.000286197623,0.006543430707,0.006318985028,2018-02-28,2017-12-31::TSLA,n2::2018-02-28
2018-07-31,n2,N2 Core US Mirror NBIM Weight,mirror::AAPL,AAPL,Apple Inc,0.005005191458,0.224395246033,0.209136387038,2018-02-28,2017-12-31::AAPL,n2::2018-02-28
2018-07-31,n2,N2 Core US Mirror NBIM Weight,mirror::GOOGL,GOOGL,Alphabet Inc,0.002773329079,0.168717748638,0.157244955066,2018-02-28,2017-12-31::GOOGL,n2::2018-02-28
