rebalance_id,trade_date,signal_date,as_of_date,instrument_key,symbol,display_name,action,price,shares_before,shares_after,delta_shares,target_weight,notional,rationale_text
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::AAPL,AAPL,Apple Inc,buy,41.8065000000,0.000000000000,0.005004971168,0.005004971168,0.209240327130,0.209240327130,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::GOOGL,GOOGL,Alphabet Inc,buy,54.7412000000,0.000000000000,0.002772436911,0.002772436911,0.151766523443,0.151766523443,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::MSFT,MSFT,Microsoft Corp,buy,86.2409000000,0.000000000000,0.001747186159,0.001747186159,0.150678906852,0.150678906852,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::AMZN,AMZN,Amazon.com Inc,buy,75.6225000000,0.000000000000,0.001532804939,0.001532804939,0.115914541478,0.115914541478,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::META,META,Facebook Inc,buy,176.9450000000,0.000000000000,0.000532960709,0.000532960709,0.094304732685,0.094304732685,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::BRK.B,BRK.B,Berkshire Hathaway Inc,buy,207.2000000000,0.000000000000,0.000408959553,0.000408959553,0.084736419416,0.084736419416,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::JPM,JPM,JPMorgan Chase & Co,buy,92.3427000000,0.000000000000,0.000886158343,0.000886158343,0.081830254044,0.081830254044,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::XOM,XOM,Exxon Mobil Corp,buy,52.3366000000,0.000000000000,0.001529846694,0.001529846694,0.080066974510,0.080066974510,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::NVDA,NVDA,NVIDIA Corp,buy,5.9864000000,0.000000000000,0.004162065523,0.004162065523,0.024915789046,0.024915789046,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
n2::2018-02-28,2018-02-28,2018-02-27,2017-12-31,mirror::TSLA,TSLA,Tesla Inc,buy,22.8707000000,0.000000000000,0.000286197248,0.000286197248,0.006545531398,0.006545531398,Preserve disclosed NBIM relative weights within the selected core US mirror sleeve.
