rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Basic Materials,sector::XLB,XLB,Basic Materials,0.059617119234,0.059617,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Consumer Goods,sector::XLP,XLP,Consumer Goods,0.134712269425,0.134712,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Consumer Services,sector::XLY,XLY,Consumer Services,0.100711201422,0.100711,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Financials,sector::XLF,XLF,Financials,0.243498486997,0.243498,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Health Care,sector::XLV,XLV,Health Care,0.097557195114,0.097557,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Industrials,sector::XLI,XLI,Industrials,0.142563285127,0.142563,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Oil & Gas,sector::XLE,XLE,Oil & Gas,0.055711111422,0.055711,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Technology,sector::XLK,XLK,Technology,0.111357222714,0.111357,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Telecommunications,sector::XLC,XLC,Telecommunications,0.028286056572,0.028286,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::Utilities,sector::XLU,XLU,Utilities,0.025986051972,0.025986,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
n3::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Basic Materials,sector::XLB,XLB,Basic Materials,0.049517000000,0.049517,1,Mirror NBIM disclosed industry weights through mapped sector ETFs.
