date,strategy_key,strategy_name,instrument_key,symbol,display_name,shares,market_value,portfolio_weight,entry_date,source_signal_id,source_rebalance_id
2019-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.153666925552,0.153666925552,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.374059691557,0.374059691557,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.062886941085,0.062886941085,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.322977920781,0.322977920781,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-03-29,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.159281056062,0.155526869516,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-03-29,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.375855476711,0.366996723456,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-03-29,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.064225108865,0.062711350446,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-03-29,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.338368345090,0.330393147536,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-04-30,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.167983047779,0.160877391602,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-04-30,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.365655490952,0.350188321901,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-04-30,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.064215493288,0.061499188146,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-04-30,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.359905593303,0.344681644007,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-05-31,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.155209812858,0.157578361615,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-05-31,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.357544196904,0.363000429649,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-05-31,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.057085810143,0.057956956897,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-05-31,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.328720732660,0.333737110610,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-06-28,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.167343357640,0.158556002471,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-06-28,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.381114396808,0.361101725783,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-06-28,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.062445425847,0.059166358525,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-06-28,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.358109443461,0.339304783907,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-07-31,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.169477347250,0.159444746438,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-07-31,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.374943955201,0.352748286633,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-07-31,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.061455555629,0.057817552868,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-07-31,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.370636736775,0.348696043894,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-08-30,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.167876929563,0.160142923964,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-08-30,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.372722208144,0.355551083724,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-08-30,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.056339267440,0.053743745762,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-08-30,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.364947468658,0.348134522571,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-09-30,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.170018371296,0.160697961428,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-09-30,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.372317960136,0.351907483532,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-09-30,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.058555657907,0.055345635792,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-09-30,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.370699042244,0.350377314745,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-10-31,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.170229713471,0.156098954105,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-10-31,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.391403086131,0.358912736987,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-10-31,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.057329137658,0.052570249022,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-10-31,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.385153910999,0.353182305547,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-11-29,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.172483533201,0.152109076268,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-11-29,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.410983473687,0.362436433112,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-11-29,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.058249027845,0.051368415608,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-11-29,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.405821803217,0.357884480165,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2019-12-31,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.177248717991,0.150973915686,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2019-12-31,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.425270753315,0.362229930815,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2019-12-31,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.061759247598,0.052604247554,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2019-12-31,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.423348136877,0.360592317098,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2020-01-31,n4,N4 Industry Weight-Change Tilt,sector::XLY,XLY,Consumer Services,0.002980848736,0.177107425761,0.151031638276,2019-02-28,2018-12-31::Consumer Services,n4::2019-02-28
2020-01-31,n4,N4 Industry Weight-Change Tilt,sector::XLV,XLV,Health Care,0.004619977244,0.413914387251,0.352973161595,2019-02-28,2018-12-31::Health Care,n4::2019-02-28
2020-01-31,n4,N4 Industry Weight-Change Tilt,sector::XLE,XLE,Oil & Gas,0.002670993573,0.054970383233,0.046877012642,2019-02-28,2018-12-31::Oil & Gas,n4::2019-02-28
2020-01-31,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.009735229495,0.440250442327,0.375431720443,2019-02-28,2018-12-31::Technology,n4::2019-02-28
2020-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLI,XLI,Industrials,0.003043498382,0.201328331002,0.184462782362,2020-02-28,2019-12-31::Industrials,n4::2020-02-28
2020-02-28,n4,N4 Industry Weight-Change Tilt,sector::XLK,XLK,Technology,0.021158080298,0.886963652553,0.812661498708,2019-02-28,2019-12-31::Technology,n4::2020-02-28
