rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Consumer Services,sector::XLY,XLY,Consumer Services,0.153666925552,0.006925000000000001,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Health Care,sector::XLV,XLV,Health Care,0.374059691557,0.016856999999999997,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Oil & Gas,sector::XLE,XLE,Oil & Gas,0.062886941085,0.002834000000000003,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Technology,sector::XLK,XLK,Technology,0.322977920781,0.014554999999999998,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Telecommunications,sector::XLC,XLC,Telecommunications,0.033906579385,0.0015280000000000016,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::Utilities,sector::XLU,XLU,Utilities,0.052501941640,0.002366,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::Industrials,sector::XLI,XLI,Industrials,0.184462782362,0.0044259999999999855,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::Technology,sector::XLK,XLK,Technology,0.812661498708,0.019499000000000016,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2020-02-28,2020-02-25,2020-02-28,2019-12-31,2019-12-31::Utilities,sector::XLU,XLU,Utilities,0.002875718930,6.899999999999962e-05,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::Consumer Goods,sector::XLP,XLP,Consumer Goods,0.079300341297,0.004647000000000012,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::Consumer Services,sector::XLY,XLY,Consumer Services,0.127184300341,0.007453000000000001,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::Health Care,sector::XLV,XLV,Health Care,0.056467576792,0.0033089999999999925,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::Industrials,sector::XLI,XLI,Industrials,0.064470989761,0.0037780000000000036,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::Technology,sector::XLK,XLK,Technology,0.672576791809,0.039412999999999976,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Consumer Discretionary,sector::XLY,XLY,Consumer Discretionary,0.436675485539,0.145247,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Consumer Staples,sector::XLP,XLP,Consumer Staples,0.179724610667,0.05978,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Energy,sector::XLE,XLE,Energy,0.112031747941,0.037264,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Real Estate,sector::XLRE,XLRE,Real Estate,0.188743911972,0.06278,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Technology,sector::XLK,XLK,Technology,0.060143707534,0.020005000000000023,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2022-03-31,2022-03-03,2022-03-31,2021-12-31,2021-12-31::Telecommunications,sector::XLC,XLC,Telecommunications,0.022680536348,0.007543999999999999,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Basic Materials,sector::XLB,XLB,Basic Materials,0.011259720062,0.0005429999999999949,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Consumer Staples,sector::XLP,XLP,Consumer Staples,0.134598237429,0.006490999999999997,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Energy,sector::XLE,XLE,Energy,0.140321410057,0.006767000000000002,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Financials,sector::XLF,XLF,Financials,0.336588906169,0.016231999999999996,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Health Care,sector::XLV,XLV,Health Care,0.306376360809,0.014774999999999983,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2023-03-31,2023-03-07,2023-03-31,2022-12-31,2022-12-31::Utilities,sector::XLU,XLU,Utilities,0.070855365474,0.003417,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::Consumer Discretionary,sector::XLY,XLY,Consumer Discretionary,0.127636959772,0.007085000000000008,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::Technology,sector::XLK,XLK,Technology,0.830027563098,0.046074000000000004,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2024-02-29,2024-02-27,2024-02-29,2023-12-31,2023-12-31::Telecommunications,sector::XLC,XLC,Telecommunications,0.042335477130,0.002349999999999998,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2024-08-30,2024-08-14,2024-08-30,2024-06-30,2024-06-30::Technology,sector::XLK,XLK,Technology,1.000000000000,0.03275700000000001,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2025-02-28,2025-02-25,2025-02-28,2024-12-31,2024-12-31::Consumer Discretionary,sector::XLY,XLY,Consumer Discretionary,0.263267955004,0.007302000000000003,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
n4::2025-02-28,2025-02-25,2025-02-28,2024-12-31,2024-12-31::Financials,sector::XLF,XLF,Financials,0.180126910874,0.0049960000000000004,1,Own only industries whose disclosed NBIM weight increased versus the prior snapshot.
