date,strategy_key,strategy_name,instrument_key,symbol,display_name,shares,market_value,portfolio_weight,entry_date,source_signal_id,source_rebalance_id
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLP,XLP,Consumer Goods,0.001627580999,0.073099415205,0.073099415205,2019-02-28,2017-12-31->2018-12-31::Consumer Goods,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLY,XLY,Consumer Services,0.002052995628,0.099415204678,0.099415204678,2019-02-28,2017-12-31->2018-12-31::Consumer Services,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLF,XLF,Financials,0.020038710743,0.463450292398,0.463450292398,2019-02-28,2017-12-31->2018-12-31::Financials,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLV,XLV,Health Care,0.001642174067,0.133040935673,0.133040935673,2019-02-28,2017-12-31->2018-12-31::Health Care,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLI,XLI,Industrials,0.000647309925,0.043859649123,0.043859649123,2019-02-28,2017-12-31->2018-12-31::Industrials,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLE,XLE,Oil & Gas,0.002758261905,0.048245614035,0.048245614035,2019-02-28,2017-12-31->2018-12-31::Oil & Gas,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLK,XLK,Technology,0.003050004678,0.095029239766,0.095029239766,2019-02-28,2017-12-31->2018-12-31::Technology,n5::2019-02-28
2019-02-28,n5,N5 Industry Accumulation Tilt,sector::XLC,XLC,Telecommunications,0.001023767160,0.043859649123,0.043859649123,2019-02-28,2017-12-31->2018-12-31::Telecommunications,n5::2019-02-28
2019-03-29,n5,N5 Industry Accumulation Tilt,sector::XLP,XLP,Consumer Goods,0.001627580999,0.075891269996,0.075726601943,2019-02-28,2017-12-31->2018-12-31::Consumer Goods,n5::2019-02-28
2019-03-29,n5,N5 Industry Accumulation Tilt,sector::XLY,XLY,Consumer Services,0.002052995628,0.103397872487,0.103173520907,2019-02-28,2017-12-31->2018-12-31::Consumer Services,n5::2019-02-28
2019-03-29,n5,N5 Industry Accumulation Tilt,sector::XLF,XLF,Financials,0.020038710743,0.451571144282,0.450591330119,2019-02-28,2017-12-31->2018-12-31::Financials,n5::2019-02-28
2019-03-29,n5,N5 Industry Accumulation Tilt,sector::XLV,XLV,Health Care,0.001642174067,0.133680079672,0.133390022088,2019-02-28,2017-12-31->2018-12-31::Health Care,n5::2019-02-28
2019-03-29,n5,N5 Industry Accumulation Tilt,sector::XLI,XLI,Industrials,0.000647309925,0.043353905878,0.043259837044,2019-02-28,2017-12-31->2018-12-31::Industrials,n5::2019-02-28
