rebalance_id,trade_date,signal_date,as_of_date,instrument_key,symbol,display_name,action,price,shares_before,shares_after,delta_shares,target_weight,notional,rationale_text
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLP,XLP,Consumer Goods,buy,44.9129200000,0.000000000000,0.001627580999,0.001627580999,0.073099415205,0.073099415205,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLY,XLY,Consumer Services,buy,48.4244600000,0.000000000000,0.002052995628,0.002052995628,0.099415204678,0.099415204678,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLF,XLF,Financials,buy,23.1277500000,0.000000000000,0.020038710743,0.020038710743,0.463450292398,0.463450292398,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLV,XLV,Health Care,buy,81.0151240000,0.000000000000,0.001642174067,0.001642174067,0.133040935673,0.133040935673,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLI,XLI,Industrials,buy,67.7568000000,0.000000000000,0.000647309925,0.000647309925,0.043859649123,0.043859649123,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLE,XLE,Oil & Gas,buy,17.4913100000,0.000000000000,0.002758261905,0.002758261905,0.048245614035,0.048245614035,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLK,XLK,Technology,buy,31.1570800000,0.000000000000,0.003050004678,0.003050004678,0.095029239766,0.095029239766,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLC,XLC,Telecommunications,buy,42.8414300000,0.000000000000,0.001023767160,0.001023767160,0.043859649123,0.043859649123,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLB,XLB,Basic Materials,buy,21.9962600000,0.000000000000,0.001891452985,0.001891452985,0.037313432836,0.041604891643,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLP,XLP,Consumer Goods,sell,52.3612700000,0.001627580999,0.000900516938,-0.000727064061,0.042288557214,0.038069997611,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLY,XLY,Consumer Services,buy,54.8293400000,0.002052995628,0.002208971736,0.000155976107,0.108623548922,0.008552067020,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLF,XLF,Financials,sell,25.4075900000,0.020038710743,0.014737486900,-0.005301223844,0.335820895522,0.134691321916,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLV,XLV,Health Care,sell,87.8148100000,0.001642174067,0.001189713964,-0.000452460103,0.093698175788,0.039732698006,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLI,XLI,Industrials,buy,70.0198770000,0.000647309925,0.003974449961,0.003327140036,0.249585406302,0.232965936105,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLE,XLE,Oil & Gas,sell,14.5694800000,0.002758261905,0.000380749271,-0.002377512634,0.004975124378,0.034639122769,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLK,XLK,Technology,sell,41.8386000000,0.003050004678,0.001834141469,-0.001215863210,0.068822553897,0.050870014487,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLC,XLC,Telecommunications,sell,49.5845300000,0.001023767160,0.000689902001,-0.000333865159,0.030679933665,0.016554546998,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLU,XLU,Utilities,buy,23.2577900000,0.000000000000,0.001351581858,0.001351581858,0.028192371476,0.031434807019,Own only industries with positive accumulation-minus-reduction transition scores.
n5::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLB,XLB,Basic Materials,sell,30.2104500000,0.001891452985,0.000000000000,-0.001891452985,0.000000000000,0.057141645840,Remove positions no longer selected by the strategy at this disclosure step.
n5::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLP,XLP,Consumer Goods,sell,55.2467700000,0.000900516938,0.000000000000,-0.000900516938,0.000000000000,0.049750652153,Remove positions no longer selected by the strategy at this disclosure step.
n5::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLY,XLY,Consumer Services,sell,74.3588900000,0.002208971736,0.000000000000,-0.002208971736,0.000000000000,0.164256686295,Remove positions no longer selected by the strategy at this disclosure step.
n5::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLF,XLF,Financials,sell,29.4957300000,0.014737486900,0.000000000000,-0.014737486900,0.000000000000,0.434692934478,Remove positions no longer selected by the strategy at this disclosure step.
n5::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLV,XLV,Health Care,sell,103.5750000000,0.001189713964,0.000000000000,-0.001189713964,0.000000000000,0.123224623794,Remove positions no longer selected by the strategy at this disclosure step.
