date,strategy_key,strategy_name,instrument_key,symbol,display_name,shares,market_value,portfolio_weight,entry_date,source_signal_id,source_rebalance_id
2018-02-28,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.333333333333,0.333333333333,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-02-28,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.333333333333,0.333333333333,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-02-28,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.333333333333,0.333333333333,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.319476345763,0.327954165577,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.324366440170,0.332974026522,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.330306590095,0.339071807900,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.318085515789,0.334813346058,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.315328079739,0.331910898935,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.316624745339,0.333275755008,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.314956823506,0.330960300538,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.325021140318,0.341536001929,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.311667363409,0.327503697533,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.309454268025,0.325969218662,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.314007684481,0.330765641777,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.325873905939,0.343265139561,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.325282723326,0.324874772060,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.337198063287,0.336775168472,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.338774931902,0.338350059468,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.329705022517,0.327154769670,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.337987201862,0.335372886747,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.340103024486,0.337472343583,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013503203635,0.322399789350,0.318830649005,2018-02-28,2017-12-31::sector::XLF::top3_leader,n6::2018-02-28
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.004997711048,0.345334836645,0.341511792900,2018-02-28,2017-12-31::sector::XLI::top3_leader,n6::2018-02-28
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007784833432,0.343459844661,0.339657558094,2018-02-28,2017-12-31::sector::XLP::top3_leader,n6::2018-02-28
