rebalance_id,trade_date,signal_date,as_of_date,instrument_key,symbol,display_name,action,price,shares_before,shares_after,delta_shares,target_weight,notional,rationale_text
n6::2018-02-28,2018-02-28,2018-02-27,2017-12-31,sector::XLF,XLF,XLF,buy,24.7163700000,0.000000000000,0.013486338541,0.013486338541,0.333333333333,0.333333333333,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2018-02-28,2018-02-28,2018-02-27,2017-12-31,sector::XLI,XLI,XLI,buy,66.7573500000,0.000000000000,0.004993207989,0.004993207989,0.333333333333,0.333333333333,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2018-02-28,2018-02-28,2018-02-27,2017-12-31,sector::XLP,XLP,XLP,buy,42.8723100000,0.000000000000,0.007775026196,0.007775026196,0.333333333333,0.333333333333,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLF,XLF,XLF,buy,23.1277500000,0.013486338541,0.014404508160,0.000918169619,0.333333333333,0.021235197399,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLI,XLI,XLI,sell,67.7568000000,0.004993207989,0.004916759109,-0.000076448880,0.333333333333,0.005179931459,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLK,XLK,XLK,buy,31.1570800000,0.000000000000,0.010692396836,0.010692396836,0.333333333333,0.333143863599,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLP,XLP,XLP,sell,44.9129200000,0.007775026196,0.000000000000,-0.007775026196,0.000000000000,0.349199129539,Remove positions no longer selected by the strategy at this disclosure step.
n6::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLF,XLF,XLF,buy,25.4075900000,0.014404508160,0.015187189075,0.000782680915,0.333333333333,0.019886035778,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLK,XLK,XLK,sell,41.8386000000,0.010692396836,0.009222819914,-0.001469576921,0.333333333333,0.061485040986,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLI,XLI,XLI,buy,70.0198770000,0.004916759109,0.005510861912,0.000594102803,0.333333333333,0.041599005208,"Own the three largest disclosed NBIM industry exposures, equally weighted."
n6::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLF,XLF,XLF,buy,29.4957300000,0.015187189075,0.016579478223,0.001392289149,0.333333333333,0.041066584809,"Own the three largest disclosed NBIM industry exposures, equally weighted."
