rebalance_id,strategy_key,strategy_name,signal_date,trade_date,as_of_date,included_count,order_count,turnover_notional,nav_pre_rebalance,cash_end,gross_exposure_end,included_signal_ids
n6::2018-02-28,n6,N6 Top-3 Industry Leaders,2018-02-27,2018-02-28,2017-12-31,3,3,1.000000000000,1.000000000000,0.000000000000,1.000000000000,2017-12-31::sector::XLF::top3_leader|2017-12-31::sector::XLI::top3_leader|2017-12-31::sector::XLP::top3_leader
n6::2019-02-28,n6,N6 Top-3 Industry Leaders,2019-02-27,2019-02-28,2018-12-31,3,4,0.708881847769,0.999632461965,0.000000000000,1.000000000000,2018-12-31::sector::XLF::top3_leader|2018-12-31::sector::XLI::top3_leader|2018-12-31::sector::XLK::top3_leader
n6::2020-02-28,n6,N6 Top-3 Industry Leaders,2020-02-25,2020-02-28,2019-12-31,3,3,0.117043638639,1.087550646705,0.000000000000,1.000000000000,2019-12-31::sector::XLF::top3_leader|2019-12-31::sector::XLK::top3_leader|2019-12-31::sector::XLI::top3_leader
n6::2021-02-26,n6,N6 Top-3 Industry Leaders,2021-02-25,2021-02-26,2020-12-31,3,3,0.116407561034,1.453943917807,0.000000000000,1.000000000000,2020-12-31::sector::XLF::top3_leader|2020-12-31::sector::XLK::top3_leader|2020-12-31::sector::XLI::top3_leader
n6::2022-03-31,n6,N6 Top-3 Industry Leaders,2022-03-03,2022-03-31,2021-12-31,3,4,1.161531653997,1.742297480995,0.000000000000,1.000000000000,2021-12-31::sector::XLK::top3_leader|2021-12-31::sector::XLY::top3_leader|2021-12-31::sector::XLF::top3_leader
n6::2023-03-31,n6,N6 Top-3 Industry Leaders,2023-03-07,2023-03-31,2022-12-31,3,3,0.095165237740,1.529495346587,0.000000000000,1.000000000000,2022-12-31::sector::XLK::top3_leader|2022-12-31::sector::XLF::top3_leader|2022-12-31::sector::XLY::top3_leader
n6::2024-02-29,n6,N6 Top-3 Industry Leaders,2024-02-27,2024-02-29,2023-12-31,3,3,0.083815132217,1.984177413756,0.000000000000,1.000000000000,2023-12-31::sector::XLK::top3_leader|2023-12-31::sector::XLF::top3_leader|2023-12-31::sector::XLY::top3_leader
n6::2024-08-30,n6,N6 Top-3 Industry Leaders,2024-08-14,2024-08-30,2024-06-30,3,3,0.087234073828,2.136165765037,0.000000000000,1.000000000000,2024-06-30::sector::XLK::top3_leader|2024-06-30::sector::XLF::top3_leader|2024-06-30::sector::XLY::top3_leader
n6::2025-02-28,n6,N6 Top-3 Industry Leaders,2025-02-25,2025-02-28,2024-12-31,3,3,0.120709314453,2.375121597692,0.000000000000,1.000000000000,2024-12-31::sector::XLK::top3_leader|2024-12-31::sector::XLF::top3_leader|2024-12-31::sector::XLY::top3_leader
n6::2025-08-29,n6,N6 Top-3 Industry Leaders,2025-08-12,2025-08-29,2025-06-30,3,3,0.113572435218,2.602869184690,0.000000000000,1.000000000000,2025-06-30::sector::XLK::top3_leader|2025-06-30::sector::XLF::top3_leader|2025-06-30::sector::XLY::top3_leader
n6::2026-03-31,n6,N6 Top-3 Industry Leaders,2026-02-27,2026-03-31,2025-12-31,3,3,0.093947948508,2.505721428599,0.000000000000,1.000000000000,2025-12-31::sector::XLK::top3_leader|2025-12-31::sector::XLF::top3_leader|2025-12-31::sector::XLY::top3_leader
