rebalance_id,signal_date,trade_date,as_of_date,signal_id,instrument_key,symbol,display_name,target_weight,signal_value,include_flag,rationale_text
n6::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.243498,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::sector::XLI::top3_leader,sector::XLI,XLI,XLI,0.333333333333,0.142563,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2018-02-28,2018-02-27,2018-02-28,2017-12-31,2017-12-31::sector::XLP::top3_leader,sector::XLP,XLP,XLP,0.333333333333,0.134712,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.237117,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::sector::XLI::top3_leader,sector::XLI,XLI,XLI,0.333333333333,0.129366,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2019-02-28,2019-02-27,2019-02-28,2018-12-31,2018-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.125912,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2020-02-26,2020-02-25,2020-02-26,2019-12-31,2019-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.235992,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2020-02-26,2020-02-25,2020-02-26,2019-12-31,2019-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.145411,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2020-02-26,2020-02-25,2020-02-26,2019-12-31,2019-12-31::sector::XLI::top3_leader,sector::XLI,XLI,XLI,0.333333333333,0.133792,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.202833,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.184824,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2021-02-26,2021-02-25,2021-02-26,2020-12-31,2020-12-31::sector::XLI::top3_leader,sector::XLI,XLI,XLI,0.333333333333,0.13757,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2022-03-04,2022-03-03,2022-03-04,2021-12-31,2021-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.204829,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2022-03-04,2022-03-03,2022-03-04,2021-12-31,2021-12-31::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.145247,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2022-03-04,2022-03-03,2022-03-04,2021-12-31,2021-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.143352,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2023-03-08,2023-03-07,2023-03-08,2022-12-31,2022-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.176621,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2023-03-08,2023-03-07,2023-03-08,2022-12-31,2022-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.159584,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2023-03-08,2023-03-07,2023-03-08,2022-12-31,2022-12-31::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.134007,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-02-28,2024-02-27,2024-02-28,2023-12-31,2023-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.222695,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-02-28,2024-02-27,2024-02-28,2023-12-31,2023-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.149509,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-02-28,2024-02-27,2024-02-28,2023-12-31,2023-12-31::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.141092,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-08-15,2024-08-14,2024-08-15,2024-06-30,2024-06-30::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.255452,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-08-15,2024-08-14,2024-08-15,2024-06-30,2024-06-30::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.148745,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2024-08-15,2024-08-14,2024-08-15,2024-06-30,2024-06-30::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.135328,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-02-26,2025-02-25,2025-02-26,2024-12-31,2024-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.270045,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-02-26,2025-02-25,2025-02-26,2024-12-31,2024-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.153741,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-02-26,2025-02-25,2025-02-26,2024-12-31,2024-12-31::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.14263,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-08-13,2025-08-12,2025-08-13,2025-06-30,2025-06-30::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.270975,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-08-13,2025-08-12,2025-08-13,2025-06-30,2025-06-30::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.167198,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2025-08-13,2025-08-12,2025-08-13,2025-06-30,2025-06-30::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.136281,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2026-03-02,2026-02-27,2026-03-02,2025-12-31,2025-12-31::sector::XLK::top3_leader,sector::XLK,XLK,XLK,0.333333333333,0.284331,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2026-03-02,2026-02-27,2026-03-02,2025-12-31,2025-12-31::sector::XLF::top3_leader,sector::XLF,XLF,XLF,0.333333333333,0.168474,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
n6::2026-03-02,2026-02-27,2026-03-02,2025-12-31,2025-12-31::sector::XLY::top3_leader,sector::XLY,XLY,XLY,0.333333333333,0.132154,1,Own the three largest disclosed NBIM industries rather than the full industry basket.
