as_of_date,report_type,public_date,source_note
2017-12-31,annual,2018-02-27,Annual report 2017 published by NBIM
2018-12-31,annual,2019-02-27,Annual report 2018 published by NBIM
2019-12-31,annual,2020-02-25,Annual report 2019 published by NBIM
2020-12-31,annual,2021-02-25,Annual report 2020 published by NBIM
2021-12-31,annual,2022-03-03,Annual report 2021 published by NBIM
2022-12-31,annual,2023-03-07,Annual report 2022 published by NBIM
2023-12-31,annual,2024-02-27,Annual report 2023 published by NBIM
2024-06-30,half_year,2024-08-14,Half-year report 2024 published by NBIM
2024-12-31,annual,2025-02-25,Annual report 2024 published by NBIM
2025-06-30,half_year,2025-08-12,Half-year report 2025 published by NBIM
2025-12-31,annual,2026-02-27,Annual report 2025 published by NBIM
