as_of_date,region,holding_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2017-12-31,Africa,200,5685745104.000000,0.008187,1.478199,1.445489
2017-12-31,Asia,4054,142428531519.000000,0.205082,1.026449,1.023759
2017-12-31,Europe,1882,252720605817.000000,0.363891,1.598632,1.542520
2017-12-31,Latin America,280,9903364421.000000,0.014260,0.899111,0.810678
2017-12-31,Middle East,169,2619133755.000000,0.003771,0.859193,0.549739
2017-12-31,North America,2167,265307690582.000000,0.382015,1.045618,1.008892
2017-12-31,Oceania,354,15831217282.000000,0.022795,1.263362,1.262856
2018-12-31,Africa,213,4992873966.000000,0.007891,1.515869,1.411221
2018-12-31,Asia,4117,126373606650.000000,0.199733,0.993357,0.989092
2018-12-31,Europe,1903,215369943561.000000,0.340392,1.654404,1.607735
2018-12-31,Latin America,258,9750508629.000000,0.015411,0.952481,0.852791
2018-12-31,Middle East,164,2892135180.000000,0.004571,0.959268,0.959817
2018-12-31,North America,2140,259048132620.000000,0.409425,1.041304,1.004907
2018-12-31,Oceania,362,14284900364.000000,0.022577,1.430939,1.431105
2019-12-31,Africa,207,5738293545.000000,0.007049,1.553333,1.521739
2019-12-31,Asia,4316,162714488689.000000,0.199892,0.978464,0.975542
2019-12-31,Europe,1846,272032651761.000000,0.334188,1.757876,1.696528
2019-12-31,Latin America,249,11338793115.000000,0.013930,1.024378,0.931044
2019-12-31,Middle East,163,3331259593.000000,0.004092,1.038528,1.038896
2019-12-31,North America,2072,341201077493.000000,0.419161,1.057881,1.020825
2019-12-31,Oceania,349,17653527178.000000,0.021687,1.452149,1.451117
2020-12-31,Africa,187,5849869381.000000,0.006282,1.647540,1.608128
2020-12-31,Asia,4245,198422015218.000000,0.213095,0.936283,0.932415
2020-12-31,Europe,1814,286911895336.000000,0.308129,1.721141,1.657933
2020-12-31,Latin America,266,9050585604.000000,0.009720,1.018985,0.937068
2020-12-31,Middle East,152,3227644882.000000,0.003466,0.835658,0.835855
2020-12-31,North America,2101,407723521331.000000,0.437875,0.992651,0.953760
2020-12-31,Oceania,358,19955751796.000000,0.021431,1.317849,1.317849
2021-12-31,Africa,144,4523721505.000000,0.004483,1.432500,1.407083
2021-12-31,Asia,4295,187353412840.000000,0.185678,0.799998,0.798398
2021-12-31,Europe,1866,313522720985.000000,0.310720,1.474882,1.403248
2021-12-31,Latin America,281,8076627827.000000,0.008004,0.929253,0.894484
2021-12-31,Middle East,127,4257224877.000000,0.004219,0.829764,0.829764
2021-12-31,North America,2236,470936824044.000000,0.466726,0.816476,0.788734
2021-12-31,Oceania,389,20350524575.000000,0.020169,1.174267,1.163342
2022-12-31,Africa,117,3908324346.000000,0.004487,1.318291,1.294615
2022-12-31,Asia,4419,167374875093.000000,0.192173,0.852039,0.849998
2022-12-31,Europe,1743,261415029114.000000,0.300145,1.649604,1.562978
2022-12-31,Latin America,235,8589664937.000000,0.009862,1.097489,1.048383
2022-12-31,Middle East,132,5119095473.000000,0.005878,0.865606,0.857576
2022-12-31,North America,2163,403389300044.000000,0.463154,0.869528,0.837998
2022-12-31,Oceania,419,21164981688.000000,0.024301,1.338878,1.326348
2023-12-31,Africa,125,3952815478.000000,0.003592,1.420080,1.387200
2023-12-31,Asia,4404,198660003330.000000,0.180519,0.867178,0.862132
2023-12-31,Europe,1614,301055029129.000000,0.273563,1.643216,1.561084
2023-12-31,Latin America,227,11494240550.000000,0.010445,1.071454,1.020837
2023-12-31,Middle East,143,5612325196.000000,0.005100,0.861538,0.831678
2023-12-31,North America,1965,556446771155.000000,0.505633,0.917338,0.883934
2023-12-31,Oceania,381,23273231420.000000,0.021148,1.418031,1.417480
2024-06-30,Africa,125,4471185009.000000,0.003692,1.430880,1.404320
2024-06-30,Asia,4347,217577153713.000000,0.179649,0.872625,0.866416
2024-06-30,Europe,1588,299854198223.000000,0.247583,1.546348,1.468829
2024-06-30,Latin America,228,9721804969.000000,0.008027,1.088640,1.029605
2024-06-30,Middle East,152,5618261133.000000,0.004639,0.880197,0.877303
2024-06-30,North America,1965,650774407849.000000,0.537331,0.895303,0.861445
2024-06-30,Oceania,358,23107920110.000000,0.019080,1.436508,1.436313
2024-12-31,Africa,123,4965746624.000000,0.003862,1.602520,1.580813
2024-12-31,Asia,4391,223736623399.000000,0.174000,0.888663,0.883188
2024-12-31,Europe,1546,275852730957.000000,0.214531,1.489528,1.408221
2024-12-31,Latin America,210,8369222381.000000,0.006509,1.212476,1.148810
2024-12-31,Middle East,136,6846130166.000000,0.005324,0.930588,0.928750
2024-12-31,North America,1901,744101313922.000000,0.578688,0.928143,0.889148
2024-12-31,Oceania,352,21971272634.000000,0.017087,1.414744,1.412472
2025-06-30,Africa,119,6397744846.000000,0.004610,1.657899,1.630504
2025-06-30,Asia,4300,243266453094.000000,0.175274,0.849760,0.843328
2025-06-30,Europe,1501,307728566950.000000,0.221719,1.439047,1.369181
2025-06-30,Latin America,188,10190684701.000000,0.007342,1.380691,1.277340
2025-06-30,Middle East,129,7440117913.000000,0.005361,0.900155,0.898372
2025-06-30,North America,1786,789728590384.000000,0.569000,0.925627,0.889782
2025-06-30,Oceania,351,23172466533.000000,0.016696,1.421311,1.419630
2025-12-31,Africa,97,8834296295.000000,0.005869,1.593918,1.569691
2025-12-31,Asia,3750,273249348724.000000,0.181533,0.908309,0.899733
2025-12-31,Europe,1301,320504201701.000000,0.212927,1.476334,1.402929
2025-12-31,Latin America,181,10779359393.000000,0.007161,1.419890,1.343425
2025-12-31,Middle East,105,7509860501.000000,0.004989,0.814857,0.814857
2025-12-31,North America,1448,859615204258.000000,0.571086,1.160953,1.112887
2025-12-31,Oceania,319,24736769885.000000,0.016434,1.464671,1.464107
