as_of_date,public_date,trade_date,report_type,common_sector,holding_count,raw_industry_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2017-12-31,2018-02-27,2018-02-28,annual,Communication Services,138,1,19644390960.000000,0.02828600,1.00353900,0.98361700
2017-12-31,2018-02-27,2018-02-28,annual,Consumer Discretionary,1207,1,69943522920.000000,0.10071100,1.12281100,1.07301300
2017-12-31,2018-02-27,2018-02-28,annual,Consumer Staples,1221,1,93557029288.000000,0.13471200,1.12299700,1.09483200
2017-12-31,2018-02-27,2018-02-28,annual,Energy,346,1,38691368150.000000,0.05571100,1.11703700,1.10874100
2017-12-31,2018-02-27,2018-02-28,annual,Financials,1828,1,169108581398.000000,0.24349800,1.12118700,1.09569600
2017-12-31,2018-02-27,2018-02-28,annual,Health Care,684,1,67753297631.000000,0.09755700,1.07431800,1.02965300
2017-12-31,2018-02-27,2018-02-28,annual,Industrials,1986,1,99009693841.000000,0.14256300,1.27022200,1.24183900
2017-12-31,2018-02-27,2018-02-28,annual,Materials,664,1,41403620678.000000,0.05961700,1.24075000,1.20815300
2017-12-31,2018-02-27,2018-02-28,annual,Technology,777,1,77337337221.000000,0.11135700,1.20877100,1.19221700
2017-12-31,2018-02-27,2018-02-28,annual,Utilities,255,1,18047446393.000000,0.02598600,0.99622000,0.95020400
2018-12-31,2019-02-27,2019-02-28,annual,Communication Services,130,1,18863695500.000000,0.02981400,0.99046200,0.96592300
2018-12-31,2019-02-27,2019-02-28,annual,Consumer Discretionary,1204,1,68102355456.000000,0.10763600,1.15796500,1.11848800
2018-12-31,2019-02-27,2019-02-28,annual,Consumer Staples,1215,1,75499787228.000000,0.11932700,1.11753100,1.09652700
2018-12-31,2019-02-27,2019-02-28,annual,Energy,341,1,37042385236.000000,0.05854500,1.06228700,1.04953100
2018-12-31,2019-02-27,2019-02-28,annual,Financials,1859,1,150026579257.000000,0.23711700,1.16164100,1.13972600
2018-12-31,2019-02-27,2019-02-28,annual,Health Care,723,1,72391320733.000000,0.11441400,1.10080200,1.07247600
2018-12-31,2019-02-27,2019-02-28,annual,Industrials,1966,1,81851272687.000000,0.12936600,1.26092100,1.23590500
2018-12-31,2019-02-27,2019-02-28,annual,Materials,658,1,31330264062.000000,0.04951700,1.24094200,1.22497000
