as_of_date,holding_count,total_market_value_usd,top_10_market_value_usd,top_10_share,hhi_market_value_usd,unique_regions,unique_industries
2017-12-31,9106,694496288480.000000,53304635454.000000,0.076753,0.00160164,7,10
2018-12-31,9157,632712100970.000000,56208916745.000000,0.088838,0.00184589,7,10
2019-12-31,9202,814010091374.000000,78531717517.000000,0.096475,0.00205999,7,10
2020-12-31,9123,931141283548.000000,109406412843.000000,0.117497,0.00268109,7,10
2021-12-31,9338,1009021056653.000000,128725673691.000000,0.127575,0.00308162,7,11
2022-12-31,9228,870961270695.000000,99490690902.000000,0.114231,0.00292607,7,11
2023-12-31,8859,1100494416258.000000,165124871648.000000,0.150046,0.00420588,7,11
2024-06-30,8763,1211124931006.000000,222276185341.000000,0.183529,0.00546897,7,11
2024-12-31,8659,1285843040083.000000,264719460538.000000,0.205872,0.00632925,7,11
2025-06-30,8374,1387924624421.000000,273930780716.000000,0.197367,0.00598186,7,11
2025-12-31,7201,1505229040757.000000,317119138958.000000,0.210678,0.00654257,7,11
