period,prev_as_of_date,curr_as_of_date,industry,transition_count,entry_observed,exit_observed,likely_accumulation,likely_reduction,continued_holding,voting_up,voting_down,total_delta_market_value_usd,total_abs_delta_market_value_usd
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Basic Materials,730,63,72,223,266,105,1,0,-7682337323.000000,14283363303.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Consumer Goods,1342,123,127,475,425,187,5,0,-12467371214.000000,22946141958.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Consumer Services,1366,157,162,490,422,132,2,1,-55195107.000000,20250646861.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Financials,2070,240,211,850,533,228,6,2,-17817856774.000000,40888099630.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Health Care,809,114,86,310,219,78,2,0,2623263170.000000,14451654280.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Industrials,2162,189,196,738,708,327,4,0,-16326661646.000000,27894747210.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Oil & Gas,388,39,47,153,120,28,1,0,-1945279341.000000,8059221345.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Technology,887,114,78,312,247,134,2,0,-1717601373.000000,19465687323.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Telecommunications,153,16,23,67,37,10,0,0,-600833506.000000,4158546886.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Utilities,278,24,26,92,96,40,0,0,117700294.000000,3681508272.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Basic Materials,761,104,96,251,206,103,1,0,3235433802.000000,12636303730.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Consumer Goods,1342,132,141,442,391,234,2,0,18172713333.000000,24441875105.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Consumer Services,1343,138,150,508,377,168,1,1,19353084765.000000,25718532655.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Financials,2077,216,195,924,519,220,1,2,39955020189.000000,51820399303.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Health Care,845,121,96,330,217,81,0,0,20016368261.000000,23810403197.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Industrials,2177,208,234,828,527,375,4,1,26045905647.000000,32251794095.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Oil & Gas,360,22,49,128,122,38,0,1,3870707085.000000,6706357811.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Technology,951,143,89,328,245,145,1,0,35580738241.000000,38556770989.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Telecommunications,152,21,14,72,35,10,0,0,3051902453.000000,4441078577.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Utilities,289,35,31,111,77,33,1,1,5121201886.000000,6465293562.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Basic Materials,741,75,107,183,305,68,1,2,7254478365.000000,15129438753.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Consumer Goods,1293,106,142,368,509,167,0,1,19087711949.000000,32309149597.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Consumer Services,1314,124,156,352,557,123,0,2,17757733502.000000,34040793612.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Financials,2087,203,193,720,781,190,0,0,-3138580273.000000,52497343827.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Health Care,944,187,88,268,344,55,1,1,14054050836.000000,25993744644.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Industrials,2138,193,223,611,864,244,0,3,19494907045.000000,36849229155.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Oil & Gas,342,30,117,63,115,17,0,0,-9016473632.000000,14688928816.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Technology,1013,153,104,274,389,92,1,0,51620153068.000000,59761539800.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Telecommunications,158,17,22,48,62,9,0,0,719026097.000000,8142249223.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Utilities,288,28,43,85,104,28,0,0,1132126047.000000,7944685829.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Basic Materials,753,104,74,157,362,56,0,0,3728872365.000000,14591350309.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Consumer Discretionary,1636,220,0,318,958,134,4,2,-2009885448.000000,39945825300.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Consumer Goods,127,0,127,0,0,0,0,0,0.000000,0.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Consumer Services,133,0,133,0,0,0,0,0,0.000000,0.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Consumer Staples,595,63,0,123,344,60,3,2,-1276757181.000000,13910815159.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Energy,208,29,0,52,112,15,0,0,8475925837.000000,12878418033.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Financials,1389,148,223,275,666,73,1,3,11979987816.000000,39451533900.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Health Care,1066,196,123,211,470,65,1,0,4169972625.000000,26388649069.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Industrials,2006,235,240,332,1064,129,5,1,6652487737.000000,32351358513.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Oil & Gas,47,0,47,0,0,0,0,0,0.000000,0.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Real Estate,693,53,0,181,407,51,1,0,14673840336.000000,25578679782.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Technology,1227,226,120,210,607,62,0,2,26781104720.000000,50728299242.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Telecommunications,284,44,24,49,149,18,0,0,-2322006686.000000,8017225456.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Utilities,310,33,25,65,164,22,0,1,-2501753715.000000,6895706287.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Basic Materials,792,119,70,288,224,89,2,0,-2079184083.000000,15696984637.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Consumer Discretionary,1806,172,181,663,556,231,1,2,-29719567498.000000,45301070736.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Consumer Staples,654,56,68,227,222,80,0,1,-2708297073.000000,13033226847.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Energy,246,33,33,86,72,21,0,1,1310954497.000000,8541054859.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Financials,1255,92,145,522,389,104,3,0,-4870929818.000000,34831977974.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Health Care,1052,107,154,461,251,79,0,0,-1634307761.000000,27689189117.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Industrials,1928,157,182,789,609,188,0,3,-18467745787.000000,38542194627.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Real Estate,767,71,85,285,246,80,0,0,-13788898125.000000,18709057993.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Technology,1245,139,124,511,364,103,2,2,-49439940221.000000,58198961209.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Telecommunications,273,17,27,99,92,38,0,0,-4388928881.000000,7647416565.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Utilities,314,31,35,132,75,41,0,0,-283081501.000000,5129915193.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Basic Materials,780,71,123,208,275,103,0,0,5825299288.000000,14451786184.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Consumer Discretionary,1773,144,234,571,655,167,0,2,37802801296.000000,52984858622.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Consumer Staples,662,60,84,223,225,66,2,2,1702715773.000000,10566873969.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Energy,247,29,27,87,80,21,3,0,2208035152.000000,7277091112.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Financials,1193,79,119,454,438,101,1,1,26715565187.000000,44118476429.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Health Care,996,100,155,310,355,72,1,3,10506098654.000000,26849506138.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Industrials,1936,199,216,591,744,182,3,1,27153700952.000000,42034392206.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Real Estate,733,50,88,231,275,89,0,0,12441104790.000000,18933682632.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Technology,1218,110,135,419,455,98,0,1,96276165134.000000,104173520578.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Telecommunications,264,21,37,78,102,26,0,0,6285600808.000000,10313069320.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Utilities,318,29,43,114,93,39,0,0,2242736881.000000,5922548245.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Basic Materials,704,47,57,209,259,131,1,0,-1105596754.000000,9940106626.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Consumer Discretionary,1621,85,103,473,686,272,1,1,7950363291.000000,34996641799.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Consumer Staples,603,24,31,196,245,104,3,0,-271305962.000000,12370068578.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Energy,237,18,21,84,85,29,0,0,2571450739.000000,8096237073.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Financials,1130,52,58,385,485,147,2,1,15323347735.000000,34420741433.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Health Care,919,79,92,249,374,125,0,0,11140739969.000000,25963516561.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Industrials,1852,129,113,567,759,279,1,4,7480191126.000000,32171750682.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Real Estate,675,31,38,205,267,133,1,0,-237026051.000000,9722227971.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Technology,1142,59,92,360,461,168,2,0,64641366234.000000,85216871830.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Telecommunications,233,8,19,58,103,45,0,0,175771127.000000,6224582003.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Utilities,288,13,17,95,93,69,1,0,2120015805.000000,6103015129.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Basic Materials,683,39,55,214,253,120,1,1,-3058120664.000000,9548084558.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Consumer Discretionary,1606,92,134,504,632,239,2,3,19536033824.000000,44989134600.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Consumer Staples,617,43,45,179,239,108,1,2,-2079628630.000000,10461674024.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Energy,227,14,16,75,86,35,0,1,-3098998933.000000,9606459623.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Financials,1113,38,51,421,471,128,2,2,17084687644.000000,32985164594.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Health Care,890,61,78,274,336,140,0,1,-6774705822.000000,25882099650.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Industrials,1873,134,138,622,732,245,2,0,11266486700.000000,33335548728.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Real Estate,670,33,36,219,272,110,0,0,1825831814.000000,10219355998.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Technology,1135,81,80,353,489,129,0,3,36884465223.000000,76101096961.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Telecommunications,227,17,17,55,102,36,0,0,55834003.000000,13347194453.000000
2024-06-30->2024-12-31,2024-06-30,2024-12-31,Utilities,286,12,18,110,92,54,0,0,1638422160.000000,4428426468.000000
2024-12-31->2025-06-30,2024-12-31,2025-06-30,Basic Materials,654,30,41,173,288,122,0,0,2955751690.000000,12714133202.000000
2024-12-31->2025-06-30,2024-12-31,2025-06-30,Consumer Discretionary,1553,79,124,449,644,255,1,1,7775618589.000000,36510642299.000000
2024-12-31->2025-06-30,2024-12-31,2025-06-30,Consumer Staples,601,27,42,168,276,88,0,0,1530319472.000000,11636450332.000000
2024-12-31->2025-06-30,2024-12-31,2025-06-30,Energy,226,17,28,59,85,37,0,0,-366009885.000000,8523866983.000000
2024-12-31->2025-06-30,2024-12-31,2025-06-30,Financials,1115,54,49,405,453,153,1,0,35036551206.000000,47737067214.000000
