period,prev_as_of_date,curr_as_of_date,region,transition_count,entry_observed,exit_observed,likely_accumulation,likely_reduction,continued_holding,voting_up,voting_down,total_delta_market_value_usd,total_abs_delta_market_value_usd
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Africa,244,44,31,75,70,24,0,0,-722522595.000000,1673752561.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Asia,4518,464,401,1479,1362,809,3,0,-16618645166.000000,42686515396.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Europe,2112,230,209,778,622,253,18,2,-31946313717.000000,61607927485.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Latin America,309,29,51,93,97,39,0,0,174661829.000000,3605427567.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Middle East,193,24,29,66,62,11,1,0,170050426.000000,1203880870.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,North America,2411,244,271,1057,740,97,1,1,-5424717117.000000,61111951037.000000
2017-12-31->2018-12-31,2017-12-31,2018-12-31,Oceania,398,44,36,162,120,36,0,0,-1504686480.000000,4190162152.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Africa,243,30,36,73,70,34,0,0,648576221.000000,1771584835.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Asia,4758,641,442,1684,1162,821,5,3,33776241700.000000,48520376670.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Europe,2084,181,238,752,563,345,3,2,53303360035.000000,71791377795.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Latin America,296,38,47,107,80,23,1,0,1374521442.000000,4666696430.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Middle East,202,38,39,59,45,21,0,0,129492505.000000,1616993899.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,North America,2308,168,236,1102,668,131,2,1,82014604479.000000,93596426283.000000
2018-12-31->2019-12-31,2018-12-31,2019-12-31,Oceania,406,44,57,145,128,32,0,0,3156279280.000000,4885353112.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Africa,227,20,40,75,74,18,0,0,215700253.000000,2157241823.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Asia,4788,472,543,1231,1899,640,0,3,33467282476.000000,66103718356.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Europe,2029,183,215,621,799,207,2,2,17914817202.000000,82278231922.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Latin America,300,51,34,83,106,26,0,0,-1794986637.000000,4843870127.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Middle East,196,33,44,26,84,9,0,0,30503566.000000,1724076484.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,North America,2361,289,260,843,894,70,1,4,66747857150.000000,123575627800.000000
2019-12-31->2020-12-31,2019-12-31,2020-12-31,Oceania,417,68,59,93,174,23,0,0,2383958994.000000,6674336744.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Africa,208,21,64,45,70,8,0,0,-1270282564.000000,2328367876.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Asia,4800,555,505,919,2378,437,5,1,-13506709040.000000,58740732648.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Europe,2076,262,210,388,1050,153,5,8,22853135039.000000,82000210291.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Latin America,316,50,35,83,119,24,4,1,-629317129.000000,4024957655.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Middle East,177,25,50,35,59,8,0,0,1137698893.000000,1982367021.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,North America,2473,372,237,401,1416,45,1,1,59604295740.000000,116104351492.000000
2020-12-31->2021-12-31,2020-12-31,2021-12-31,Oceania,424,66,35,102,211,10,0,0,162967467.000000,5556874067.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Africa,159,15,42,37,43,21,1,0,-397428890.000000,1493185546.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Asia,4758,463,339,1707,1538,707,3,1,-20720523196.000000,56846048212.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Europe,2007,141,264,869,557,169,0,7,-46465301677.000000,78208673307.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Latin America,304,23,69,89,88,35,0,0,798328821.000000,3235416531.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Middle East,151,24,19,51,41,16,0,0,473639466.000000,1950409926.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,North America,2491,255,328,1095,727,81,4,1,-60945372289.000000,124593785933.000000
2021-12-31->2022-12-31,2021-12-31,2022-12-31,Oceania,462,73,43,215,106,25,0,0,1186731514.000000,6993530302.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Africa,150,33,25,36,32,23,0,1,37784008.000000,1349591522.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Asia,4853,434,449,1506,1833,629,1,1,29742863836.000000,63174717314.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Europe,1913,170,299,481,775,173,8,7,38333364065.000000,71222897401.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Latin America,272,37,45,60,84,45,1,0,2579679635.000000,4265314491.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Middle East,155,23,12,52,52,16,0,0,401096043.000000,1905570039.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,North America,2319,156,354,998,761,50,0,0,155735672416.000000,190295373976.000000
2022-12-31->2023-12-31,2022-12-31,2023-12-31,Oceania,458,39,77,153,160,28,0,1,2329363912.000000,5412340692.000000
2023-12-31->2024-06-30,2023-12-31,2024-06-30,Africa,136,11,11,52,30,32,0,0,489543223.000000,1000189681.000000
