period,prev_as_of_date,curr_as_of_date,transition_count,entry_observed,exit_observed,likely_accumulation,likely_reduction,continued_holding,voting_up,voting_down
2017-12-31->2018-12-31,2017-12-31,2018-12-31,10185,1079,1028,3710,3073,1269,23,3
2018-12-31->2019-12-31,2018-12-31,2019-12-31,10297,1140,1095,3922,2716,1407,11,6
2019-12-31->2020-12-31,2019-12-31,2020-12-31,10318,1116,1195,2972,4030,993,3,9
2020-12-31->2021-12-31,2020-12-31,2021-12-31,10474,1351,1136,1973,5303,685,15,11
2021-12-31->2022-12-31,2021-12-31,2022-12-31,10332,994,1104,4063,3100,1054,8,9
2022-12-31->2023-12-31,2022-12-31,2023-12-31,10120,892,1261,3286,3697,964,10,10
2023-12-31->2024-06-30,2023-12-31,2024-06-30,9404,545,641,2881,3817,1502,12,6
2024-06-30->2024-12-31,2024-06-30,2024-12-31,9327,564,668,3026,3704,1344,8,13
2024-12-31->2025-06-30,2024-12-31,2025-06-30,9128,469,754,2593,3897,1408,2,5
2025-06-30->2025-12-31,2025-06-30,2025-12-31,8865,491,1664,2438,3208,1048,10,6
