instrument_key,instrument_type,display_name,requested_symbol,resolved_symbol,start_date,end_date,row_count,first_price_date,last_price_date,coverage_status,api_error
benchmark_vt,benchmark,Vanguard Total World Stock ETF,VT,VT,2018-02-27,2026-05-31,2740,2018-02-27,2026-05-29,ok,
mirror::AAPL,mirror_equity,Apple Inc,AAPL,AAPL,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::AMZN,mirror_equity,Amazon.com Inc,AMZN,AMZN,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::BRK.B,mirror_equity,Berkshire Hathaway Inc,BRK.B,BRK.B,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::GOOGL,mirror_equity,Alphabet Inc,GOOGL,GOOGL,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::JPM,mirror_equity,JPMorgan Chase & Co,JPM,JPM,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::META,mirror_equity,Meta Platforms Inc,META,META,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::MSFT,mirror_equity,Microsoft Corp,MSFT,MSFT,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::NVDA,mirror_equity,NVIDIA Corp,NVDA,NVDA,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::TSLA,mirror_equity,Tesla Inc,TSLA,TSLA,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
mirror::XOM,mirror_equity,Exxon Mobil Corp,XOM,XOM,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLB,industry_etf,Materials Select Sector SPDR Fund,XLB,XLB,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLC,industry_etf,Communication Services Select Sector SPDR Fund,XLC,XLC,2018-02-27,2026-05-31,1997,2018-06-19,2026-05-29,ok,
sector::XLE,industry_etf,Energy Select Sector SPDR Fund,XLE,XLE,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLF,industry_etf,Financial Select Sector SPDR Fund,XLF,XLF,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLI,industry_etf,Industrial Select Sector SPDR Fund,XLI,XLI,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLK,industry_etf,Technology Select Sector SPDR Fund,XLK,XLK,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLP,industry_etf,Consumer Staples Select Sector SPDR Fund,XLP,XLP,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLRE,industry_etf,Real Estate Select Sector SPDR Fund,XLRE,XLRE,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLU,industry_etf,Utilities Select Sector SPDR Fund,XLU,XLU,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLV,industry_etf,Health Care Select Sector SPDR Fund,XLV,XLV,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
sector::XLY,industry_etf,Consumer Discretionary Select Sector SPDR Fund,XLY,XLY,2018-02-27,2026-05-31,2075,2018-02-27,2026-05-29,ok,
