trade_date,issuer_name,symbol,evaluation_end_date,forward_return
2019-08-07,UBER TECHNOLOGIES INC,UBER,2020-05-15,-0.182115869018
2020-05-18,AUTOMATIC DATA PROCESSING IN,ADP,2020-08-14,0.031231075023
2020-05-18,BERKSHIRE HATHAWAY INC DEL,BRK.B,2020-08-14,0.202325304780
2020-05-18,BK OF AMERICA CORP,BAC,2020-08-14,0.162377737028
2020-05-18,BOEING CO,BA,2020-08-14,0.314825767868
2020-05-18,BOOKING HLDGS INC,BKNG,2020-08-14,0.142182972883
2020-05-18,BP PLC,BP,2020-08-14,-0.009421169740
2020-05-18,BROADCOM INC,AVGO,2020-08-14,0.210700304080
2020-05-18,CANADIAN NAT RES LTD,CNQ,2020-08-14,0.121406327093
2020-05-18,CARNIVAL CORP,CCL,2020-08-14,0.050951254882
2020-05-18,CISCO SYS INC,CSCO,2020-08-14,-0.049441240196
2020-05-18,CITIGROUP INC,C,2020-08-14,0.170585834351
2020-05-18,DISNEY WALT CO,DIS,2020-08-14,0.117073148669
2020-05-18,FACEBOOK INC,META,2020-08-14,0.225385745176
2020-05-18,INTERNATIONAL BUSINESS MACHS,IBM,2020-08-14,0.043838554069
2020-05-18,LIVE NATION ENTERTAINMENT IN,LYV,2020-08-14,0.115492957746
2020-05-18,MARRIOTT INTL INC NEW,MAR,2020-08-14,0.025528786763
2020-05-18,PFIZER INC,PFE,2020-08-14,0.009413696097
2020-05-18,QUALCOMM INC,QCOM,2020-08-14,0.433744861484
2020-05-18,ROYAL DUTCH SHELL PLC,SHEL,2020-08-14,-0.042874377043
2020-05-18,STARBUCKS CORP,SBUX,2020-08-14,0.033635215185
2020-05-18,SUNCOR ENERGY INC NEW,SU,2020-08-14,0.003065701691
2020-05-18,TOTAL S.A.,TTE,2020-08-14,0.128422809327
2020-05-18,UNION PAC CORP,UNP,2020-08-14,0.212863819931
2020-08-17,BOOKING HOLDINGS INC,BKNG,2020-11-16,0.203483351173
2020-08-17,SELECT SECTOR SPDR TR,XLRE,2020-11-16,0.049636261760
2020-08-17,SELECT SECTOR SPDR TR,XLRE,2020-11-16,0.049636261760
2020-08-17,SELECT SECTOR SPDR TR,XLU,2020-11-16,0.125996326956
2020-11-17,NOVAGOLD RES INC,NG,2021-05-17,-0.060329067642
2021-05-18,AUTOMATIC DATA PROCESSING IN,ADP,2022-10-11,0.208060103791
2021-05-18,CARNIVAL CORP,CCL,2022-10-11,-0.762857310966
2021-05-18,COMPUTE HEALTH ACQUISITIN CO,POAI,2022-10-11,-0.685981308411
2021-05-18,COUPANG INC,CPNG,2022-10-11,-0.504966442953
2021-05-18,ELECTRONIC ARTS INC,EA,2022-10-11,-0.129409432226
2021-05-18,LIVE NATION ENTERTAINMENT IN,LYV,2022-10-11,-0.107245337340
2021-05-18,MULTIPLAN CORPORATION,MPLN,2022-10-11,-0.651728541989
2021-05-18,NOVAGOLD RES INC,NG,2022-10-11,-0.554679802956
2021-05-18,SELECT SECTOR SPDR TR,XLU,2022-10-11,0.063261622029
2021-05-18,TAKE-TWO INTERACTIVE SOFTWAR,TTWO,2022-10-11,-0.313674065239
2021-05-18,UBER TECHNOLOGIES INC,UBER,2022-10-11,-0.498474679683
2022-10-12,LINDE PLC,LIN,2022-11-14,0.222725418034
2022-11-15,SEA LTD,SE,2022-12-22,-0.193869362863
2022-12-23,AIR PRODS & CHEMS INC,APD,2023-02-14,-0.093211346283
2022-12-23,ALIBABA GROUP HLDG LTD,BABA,2023-02-14,0.216812607827
2022-12-23,AUTOMATIC DATA PROCESSING IN,ADP,2023-02-14,-0.067859265355
2022-12-23,AVERY DENNISON CORP,AVY,2023-02-14,0.017282348742
2022-12-23,BABYLON HLDGS LTD,BBLNF,2023-02-14,0.702064896755
2022-12-23,BALLARD PWR SYS INC NEW,BLDP,2023-02-14,0.290187891441
2022-12-23,CARNIVAL CORP,CCL,2023-02-14,0.521126049702
2022-12-23,COMPUTE HEALTH ACQUISITIN CO,POAI,2023-02-14,0.164705882353
2022-12-23,COUPANG INC,CPNG,2023-02-14,0.027098479841
2022-12-23,CUMMINS INC,CMI,2023-02-14,0.029636088079
2022-12-23,ELECTRONIC ARTS INC,EA,2023-02-14,-0.076207753820
2022-12-23,FARFETCH LTD,FTCHQ,2023-02-14,0.459595959596
2022-12-23,FEDEX CORP,FDX,2023-02-14,0.208833120856
2022-12-23,JUST EAT TAKEAWAY COM N V,JTKWY,2023-02-14,0.102439024390
2022-12-23,LIVE NATION ENTERTAINMENT IN,LYV,2023-02-14,0.104540981751
2022-12-23,LUCID GROUP INC,LCID,2023-02-14,0.541791044776
2022-12-23,META PLATFORMS INC,META,2023-02-14,0.520501426771
2022-12-23,MULTIPLAN CORPORATION,MPLN,2023-02-14,-0.067226890756
2022-12-23,NOVAGOLD RES INC,NG,2023-02-14,-0.019480519481
2022-12-23,PAYPAL HLDGS INC,PYPL,2023-02-14,0.119223677657
2022-12-23,PINDUODUO INC,PDD,2023-02-14,0.141140082603
2022-12-23,PINTEREST INC,PINS,2023-02-14,0.006114961272
2022-12-23,PLUG POWER INC,PLUG,2023-02-14,0.281199351702
2022-12-23,PROLOGIS INC.,PLD,2023-02-14,0.124185871341
2022-12-23,SEA LTD,SE,2023-02-14,0.286658653846
2022-12-23,SELECT SECTOR SPDR TR,XLU,2023-02-14,-0.043435516240
2022-12-23,SHOPIFY INC,SHOP,2023-02-14,0.486502521507
2022-12-23,SIGNA SPORTS UNITED NV,SSUNF,2023-02-14,0.286472148541
2022-12-23,TAKE-TWO INTERACTIVE SOFTWAR,TTWO,2023-02-14,0.122808734849
2022-12-23,UBER TECHNOLOGIES INC,UBER,2023-02-14,0.429788961039
2022-12-23,VISA INC,V,2023-02-14,0.116641990680
2022-12-23,WALMART INC,WMT,2023-02-14,0.011963554926
2022-12-23,ADOBE SYSTEMS INCORPORATED,ADBE,2023-02-14,0.116560729308
2022-12-23,ADVANCED MICRO DEVICES INC,AMD,2023-02-14,0.332145071296
2022-12-23,ALPHABET INC,GOOGL,2023-02-14,0.061078060233
2022-12-23,AMAZON COM INC,AMZN,2023-02-14,0.169501466276
2022-12-23,AMERICAN TOWER CORP NEW,AMT,2023-02-14,0.020145074008
2022-12-23,BLACKROCK INC,BLK,2023-02-14,0.035812736954
2022-12-23,BOOKING HOLDINGS INC,BKNG,2023-02-14,0.253373218480
2022-12-23,COSTCO WHSL CORP NEW,COST,2023-02-14,0.089580641545
2022-12-23,DATADOG INC,DDOG,2023-02-14,0.180336923502
2022-12-23,FREEPORT-MCMORAN INC,FCX,2023-02-14,0.129950923828
2022-12-23,HOME DEPOT INC,HD,2023-02-14,-0.000941304235
2022-12-23,JPMORGAN CHASE & CO,JPM,2023-02-14,0.098796444399
2022-12-23,MICROSOFT CORP,MSFT,2023-02-14,0.140074650131
2022-12-23,NEXTERA ENERGY INC,NEE,2023-02-14,-0.096709070374
2022-12-23,SALESFORCE INC,CRM,2023-02-14,0.313040858149
2022-12-23,STARBUCKS CORP,SBUX,2023-02-14,0.104288001672
2022-12-23,ZOOM VIDEO COMMUNICATIONS IN,ZM,2023-02-14,0.182273486113
2023-02-15,BABYLON HLDGS LTD,BBLNF,2023-05-15,-0.918544776119
2023-05-16,BLOOM ENERGY CORP,BE,2023-11-14,-0.058689024390
2023-05-16,LINDE PLC,LIN,2023-11-14,0.111097320648
2023-05-16,PDD HOLDINGS INC,PDD,2023-11-14,0.681563348536
