rebalance_id,trade_date,next_rebalance_trade_date,signal_dates,report_periods,included_signal_ids,raw_entry_signal_count,eligible_entry_signal_count,excluded_entry_signal_count,positions_sold_count,positions_bought_count,pre_trade_nav,post_trade_nav,target_weight_per_new_name,same_day_bundle_flag
P1-R001,2019-08-07,2020-05-18,2019-08-06,2019-06-30,transition:000156761919015831:2,1,1,0,0,1,1.000000000000,1.000000000000,1.000000000000,0
P1-R002,2020-05-18,2020-08-17,2020-05-15,2020-03-31,transition:000156761920010560:1|transition:000156761920010560:3|transition:000156761920010560:2|transition:000156761920010560:4|transition:000156761920010560:5|transition:000156761920010560:6|transition:000156761920010560:7|transition:000156761920010560:8|transition:000156761920010560:9|transition:000156761920010560:10|transition:000156761920010560:11|transition:000156761920010560:12|transition:000156761920010560:13|transition:000156761920010560:14|transition:000156761920010560:15|transition:000156761920010560:16|transition:000156761920010560:17|transition:000156761920010560:18|transition:000156761920010560:19|transition:000156761920010560:20|transition:000156761920010560:21|transition:000156761920010560:22|transition:000156761920010560:24,23,23,0,1,23,0.846851385390,0.846851385390,0.043478260870,0
P1-R003,2020-08-17,2020-11-17,2020-08-14,2020-06-30,transition:000156761920015371:3|transition:000156761920015371:10|transition:000156761920015371:8|transition:000156761920015371:9,4,4,0,23,4,0.935463670883,0.935463670883,0.250000000000,0
P1-R004,2020-11-17,2021-05-18,2020-11-16,2020-09-30,transition:000156761920019808:4,1,1,0,4,1,1.027043368149,1.027043368149,1.000000000000,0
P1-R005,2021-05-18,2022-10-12,2021-05-17,2021-03-31,transition:000156761921010356:2|transition:000156761921010356:3|transition:000156761921010356:4|transition:000156761921010356:5|transition:000156761921010356:6|transition:000156761921010356:7|transition:000156761921010356:8|transition:000156761921010356:10|transition:000156761921010356:11|transition:000156761921010356:12|transition:000156761921010356:13,13,11,2,1,11,0.952878444855,0.952878444855,0.090909090909,0
P1-R006,2022-10-12,2022-11-15,2022-10-11,2021-09-30,transition:000156761922018388:1,1,1,0,11,1,0.610036869592,0.610036869592,1.000000000000,0
P1-R007,2022-11-15,2022-12-23,2022-11-14,2022-09-30,transition:000156761922019765:44,1,1,0,1,1,0.746985764750,0.746985764750,1.000000000000,0
P1-R008,2022-12-23,2023-02-15,2022-12-22,2022-03-31|2022-06-30,transition:000156761922021940:2|transition:000156761922021940:3|transition:000156761922021939:2|transition:000156761922021939:3|transition:000156761922021940:6|transition:000156761922021940:7|transition:000156761922021940:8|transition:000156761922021939:4|transition:000156761922021939:5|transition:000156761922021939:6|transition:000156761922021939:7|transition:000156761922021940:14|transition:000156761922021940:15|transition:000156761922021939:9|transition:000156761922021939:11|transition:000156761922021940:19|transition:000156761922021939:12|transition:000156761922021939:13|transition:000156761922021940:22|transition:000156761922021939:14|transition:000156761922021939:15|transition:000156761922021939:16|transition:000156761922021940:26|transition:000156761922021940:27|transition:000156761922021940:29|transition:000156761922021939:18|transition:000156761922021939:20|transition:000156761922021939:21|transition:000156761922021939:22|transition:000156761922021940:34|transition:000156761922021939:23|transition:000156761922021940:37|transition:000156761922021939:25|transition:000156761922021939:26|transition:000156761922021939:27|transition:000156761922021939:28|transition:000156761922021939:29|transition:000156761922021939:30|transition:000156761922021940:44|transition:000156761922021939:31|transition:000156761922021939:32|transition:000156761922021939:33|transition:000156761922021939:34|transition:000156761922021940:49|transition:000156761922021939:35|transition:000156761922021939:36|transition:000156761922021939:37|transition:000156761922021939:38|transition:000156761922021940:54,53,49,4,1,49,0.598451763382,0.598451763382,0.020408163265,0
P1-R009,2023-02-15,2023-05-16,2023-02-14,2022-12-31,transition:000131586323000305:11,2,1,1,49,1,0.706360404321,0.706360404321,1.000000000000,0
P1-R010,2023-05-16,2023-11-15,2023-05-15,2023-03-31,transition:000108514623002379:15|transition:000108514623002379:28|transition:000108514623002379:38,3,3,0,1,3,0.057984809310,0.057984809310,0.333333333333,0
