signal_id,security_key,issuer_name,cusip,report_period,signal_date,trade_date,staleness_days,same_day_multi_period_flag,selected_symbol,selected_exchange,include_flag,exclusion_reason,trade_date_close,trade_date_mark_close,strategy_id,rationale_label,rationale_text
transition:000156761919015831:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-06-30,2019-08-06,2019-08-07,37,0,UBER,NYSE,1,,39.70000,39.70000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-03-31,2020-05-15,2020-05-18,45,0,ADP,US,1,,136.39999,118.32577,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:3,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,2020-03-31,2020-05-15,2020-05-18,45,0,BRK.B,NYSE,1,,175.46001,175.46001,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:2,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,2020-03-31,2020-05-15,2020-05-18,45,0,BAC,US,1,,22.93000,19.82305,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:4,097023105|COM||SH|BOEING CO,BOEING CO,097023105,2020-03-31,2020-05-15,2020-05-18,45,0,BA,NYSE,1,,135.44000,135.44000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:5,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,09857L108,2020-03-31,2020-05-15,2020-05-18,45,0,BKNG,NASDAQ,1,,1557.42998,39.70173,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:6,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,2020-03-31,2020-05-15,2020-05-18,45,0,BP,NYSE,1,,23.51000,17.35241,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:7,11135F101|COM||SH|BROADCOM INC,BROADCOM INC,11135F101,2020-03-31,2020-05-15,2020-05-18,45,0,AVGO,NASDAQ,1,,273.53001,23.88848,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:8,136385101|COM||SH|CANADIAN NAT RES LTD,CANADIAN NAT RES LTD,136385101,2020-03-31,2020-05-15,2020-05-18,45,0,CNQ,US,1,,9.37000,5.65473,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:9,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2020-03-31,2020-05-15,2020-05-18,45,0,CCL,NYSE,1,,14.72000,14.56392,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:10,17275R102|COM||SH|CISCO SYS INC,CISCO SYS INC,17275R102,2020-03-31,2020-05-15,2020-05-18,45,0,CSCO,NASDAQ,1,,45.060001,37.85079,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:11,172967424|COM NEW||SH|CITIGROUP INC,CITIGROUP INC,172967424,2020-03-31,2020-05-15,2020-05-18,45,0,C,NYSE,1,,45.67000,37.058974,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:12,254687106|COM DISNEY||SH|DISNEY WALT CO,DISNEY WALT CO,254687106,2020-03-31,2020-05-15,2020-05-18,45,0,DIS,US,1,,116.85000,114.085904,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:13,30303M102|CL A||SH|FACEBOOK INC,FACEBOOK INC,30303M102,2020-03-31,2020-05-15,2020-05-18,45,0,META,US,1,,213.19000,211.53667,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:14,459200101|COM||SH|INTERNATIONAL BUSINESS MACHS,INTERNATIONAL BUSINESS MACHS,459200101,2020-03-31,2020-05-15,2020-05-18,45,0,IBM,US,1,,121.56000,90.98749,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:15,538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,2020-03-31,2020-05-15,2020-05-18,45,0,LYV,US,1,,46.15000,46.15000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:16,571903202|CL A||SH|MARRIOTT INTL INC NEW,MARRIOTT INTL INC NEW,571903202,2020-03-31,2020-05-15,2020-05-18,45,0,MAR,US,1,,93.62000,89.95923,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:17,717081103|COM||SH|PFIZER INC,PFIZER INC,717081103,2020-03-31,2020-05-15,2020-05-18,45,0,PFE,NYSE,1,,38.070000,26.94797,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:18,747525103|COM||SH|QUALCOMM INC,QUALCOMM INC,747525103,2020-03-31,2020-05-15,2020-05-18,45,0,QCOM,NASDAQ,1,,79.94000,70.11509,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:19,780259206|SPONS ADR A||SH|ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL PLC,780259206,2020-03-31,2020-05-15,2020-05-18,45,0,SHEL,NYSE,1,,32.82000,26.25181,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:20,855244109|COM||SH|STARBUCKS CORP,STARBUCKS CORP,855244109,2020-03-31,2020-05-15,2020-05-18,45,0,SBUX,NASDAQ,1,,76.23000,66.54811,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:21,867224107|COM||SH|SUNCOR ENERGY INC NEW,SUNCOR ENERGY INC NEW,867224107,2020-03-31,2020-05-15,2020-05-18,45,0,SU,NYSE,1,,17.23000,13.60863,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:22,89151E109|SPONSORED ADS||SH|TOTAL S.A.,TOTAL S.A.,89151E109,2020-03-31,2020-05-15,2020-05-18,45,0,TTE,NYSE,1,,35.69000,24.78337,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920010560:24,907818108|COM||SH|UNION PAC CORP,UNION PAC CORP,907818108,2020-03-31,2020-05-15,2020-05-18,45,0,UNP,NYSE,1,,159.12000,139.48796,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920015371:3,09857L108|COM||SH|BOOKING HOLDINGS INC,BOOKING HOLDINGS INC,09857L108,2020-06-30,2020-08-14,2020-08-17,45,0,BKNG,NASDAQ,1,,1752.91996,44.68513,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920015371:8,81369Y860|RL EST SEL SEC||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,2020-06-30,2020-08-14,2020-08-17,45,0,XLRE,US,1,,36.18000,29.85801,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920015371:10,81369Y860|SBI MATERIALS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,2020-06-30,2020-08-14,2020-08-17,45,0,XLRE,US,1,,36.18000,29.85801,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920015371:9,81369Y886|SBI INT-UTILS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y886,2020-06-30,2020-08-14,2020-08-17,45,0,XLU,US,1,,60.30000,21.58428,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761920019808:4,66987E206|COM NEW||SH|NOVAGOLD RES INC,NOVAGOLD RES INC,66987E206,2020-09-30,2020-11-16,2020-11-17,47,0,NG,NYSE,1,,10.94000,10.94000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010353:1,62548M118|*W EXP 02/13/202||SH|MULTIPLAN CORPORATION,MULTIPLAN CORPORATION,62548M118,2020-12-31,2021-05-17,2021-05-18,137,1,,,0,unapproved_or_missing_symbol_mapping,,,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:1,00507V109|COM||SH|ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD INC,00507V109,2021-03-31,2021-05-17,2021-05-18,47,1,,,0,unapproved_or_missing_symbol_mapping,,,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:2,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2021-03-31,2021-05-17,2021-05-18,47,1,ADP,US,1,,192.53999,173.16179,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:3,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2021-03-31,2021-05-17,2021-05-18,47,1,CCL,NYSE,1,,28,27.70311,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:4,204833206|UNIT 99/99/9999||SH|COMPUTE HEALTH ACQUISITIN CO,COMPUTE HEALTH ACQUISITIN CO,204833206,2021-03-31,2021-05-17,2021-05-18,47,1,POAI,NASDAQ,1,,1.07,321,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:5,22266T109|CL A||SH|COUPANG INC,COUPANG INC,22266T109,2021-03-31,2021-05-17,2021-05-18,47,1,CPNG,NYSE,1,,37.25,37.25,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:6,285512109|COM||SH|ELECTRONIC ARTS INC,ELECTRONIC ARTS INC,285512109,2021-03-31,2021-05-17,2021-05-18,47,1,EA,NASDAQ,1,,138.059998,134.31803,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:7,538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,2021-03-31,2021-05-17,2021-05-18,47,1,LYV,US,1,,87.089996,87.089996,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:8,62548M100|COM||SH|MULTIPLAN CORPORATION,MULTIPLAN CORPORATION,62548M100,2021-03-31,2021-05-17,2021-05-18,47,1,MPLN,NYSE,1,,7.81000,312.39999,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:10,66987E206|COM NEW||SH|NOVAGOLD RES INC,NOVAGOLD RES INC,66987E206,2021-03-31,2021-05-17,2021-05-18,47,1,NG,NYSE,1,,10.15000,10.15000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:11,81369Y886|SBI INT-UTILS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y886,2021-03-31,2021-05-17,2021-05-18,47,1,XLU,US,1,,65.36000,24.55122,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:12,874054109|COM||SH|TAKE-TWO INTERACTIVE SOFTWAR,TAKE-TWO INTERACTIVE SOFTWAR,874054109,2021-03-31,2021-05-17,2021-05-18,47,1,TTWO,US,1,,167.69000,167.69000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761921010356:13,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2021-03-31,2021-05-17,2021-05-18,47,1,UBER,NYSE,1,,49.17000,49.17000,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
transition:000156761922018388:1,G5494J103|SHS||SH|LINDE PLC,LINDE PLC,G5494J103,2021-09-30,2022-10-11,2022-10-12,376,1,LIN,NASDAQ,1,,271.59000,260.37136,P1,entry_observed,Buy at the next NYSE close after a newly disclosed PIF entry becomes public.
