rebalance_id,execution_date,side,security_key,issuer_name,symbol,shares,execution_price,execution_price_raw,execution_price_basis,execution_value,source_signal_id,source_signal_date,source_report_period,holding_entry_trade_date,execution_weight,disclosed_portfolio_weight,rationale_text
P2EW-R001,2019-02-14,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.049379472854,20.25133000,303.77000000,split_adjusted_close,1.000000000000,holding:000156761919003482:1,2019-02-13,2018-12-31,2019-02-14,1.000000000000,1.00000000,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R002,2019-05-14,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.049379472854,15.48733000,232.31000000,split_adjusted_close,0.764756191322,holding:000156761919003482:1,2019-02-13,2018-12-31,2019-02-14,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R002,2019-05-14,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.049379472854,15.48733000,232.31000000,split_adjusted_close,0.764756191322,holding:000156761919010477:1,2019-05-13,2019-03-31,2019-05-14,1.000000000000,1.00000000,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R003,2019-08-07,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.049379472854,15.56133000,233.41999000,split_adjusted_close,0.768410272313,holding:000156761919010477:1,2019-05-13,2019-03-31,2019-05-14,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R003,2019-08-07,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.024689736427,15.56133000,233.41999000,split_adjusted_close,0.384205136156,holding:000156761919015831:1,2019-08-06,2019-06-30,2019-08-07,0.500000000000,0.35379059,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R003,2019-08-07,BUY,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.009677711238,39.70000000,39.70000000,split_adjusted_close,0.384205136156,holding:000156761919015831:2,2019-08-06,2019-06-30,2019-08-07,0.500000000000,0.64620941,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R004,2019-10-22,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.024689736427,17.03866800,255.58002000,split_adjusted_close,0.420680221990,holding:000156761919015831:1,2019-08-06,2019-06-30,2019-08-07,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R004,2019-10-22,SELL,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.009677711238,32.53000000,32.53000000,split_adjusted_close,0.314815946579,holding:000156761919015831:2,2019-08-06,2019-06-30,2019-08-07,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R004,2019-10-22,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.021583147479,17.03866800,255.58002000,split_adjusted_close,0.367748084284,holding:000156761919019798:1,2019-10-21,2019-09-30,2019-10-22,0.500000000000,0.47320877,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R004,2019-10-22,BUY,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.011304890387,32.53000000,32.53000000,split_adjusted_close,0.367748084284,holding:000156761919019798:2,2019-10-21,2019-09-30,2019-10-22,0.500000000000,0.52679123,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R005,2020-02-05,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.021583147479,48.98000000,734.69999000,split_adjusted_close,1.057142563506,holding:000156761919019798:1,2019-10-21,2019-09-30,2019-10-22,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R005,2020-02-05,SELL,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.011304890387,36.81000000,36.81000000,split_adjusted_close,0.416133015140,holding:000156761919019798:2,2019-10-21,2019-09-30,2019-10-22,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R005,2020-02-05,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.015039562869,48.98000000,734.69999000,split_adjusted_close,0.736637789323,holding:000156761920002012:1,2020-02-04,2019-12-31,2020-02-05,0.500000000000,0.00750370,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R005,2020-02-05,BUY,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.020011893217,36.81000000,36.81000000,split_adjusted_close,0.736637789323,holding:000156761920002012:2,2020-02-04,2019-12-31,2020-02-05,0.500000000000,0.99249630,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
P2EW-R006,2020-05-18,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.015039562869,54.24200000,813.63001000,split_adjusted_close,0.815775969140,holding:000156761920002012:1,2020-02-04,2019-12-31,2020-02-05,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R006,2020-05-18,SELL,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,UBER,0.020011893217,33.62000000,33.62000000,split_adjusted_close,0.672799849961,holding:000156761920002012:2,2020-02-04,2019-12-31,2020-02-05,,,Exit previous P2 equal-weight sleeve at the next rebalance close.
P2EW-R006,2020-05-18,BUY,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,ADP,0.000524179918,118.32577000,136.39999000,split_adjusted_close,0.062023992463,holding:000156761920010560:1,2020-05-15,2020-03-31,2020-05-18,0.041666666667,0.00802418,Buy disclosed PIF sleeve constituent at the first tradable NYSE close after publication.
