signal_id,security_key,issuer_name,cusip,report_period,signal_date,trade_date,staleness_days,same_day_multi_period_flag,selected_symbol,selected_exchange,disclosed_market_value_usd,disclosed_portfolio_weight,transition_signal_type,tilt_bucket,tilt_score,include_flag,exclusion_reason,trade_date_close,trade_date_mark_close,strategy_id,rationale_label,rationale_text
holding:000156761919003482:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2018-12-31,2019-02-13,2019-02-14,44,0,TSLA,NASDAQ,2754612000,1.00000000,continued_holding,neutral,1.0,1,,303.77000,20.25133,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761919010477:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-03-31,2019-05-13,2019-05-14,43,0,TSLA,NASDAQ,2316424000,1.00000000,continued_holding,neutral,1.0,1,,232.31000,15.48733,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761919015831:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-06-30,2019-08-06,2019-08-07,37,0,TSLA,NASDAQ,1849596000,0.35379059,continued_holding,neutral,1.0,1,,233.41999,15.56133,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761919015831:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-06-30,2019-08-06,2019-08-07,37,0,UBER,NYSE,3378344000,0.64620941,entry_observed,accumulation_like,2.0,1,,39.70000,39.70000,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761919019798:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-09-30,2019-10-21,2019-10-22,21,0,TSLA,NASDAQ,1993700000,0.47320877,continued_holding,neutral,1.0,1,,255.58002,17.038668,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761919019798:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-09-30,2019-10-21,2019-10-22,21,0,UBER,NYSE,2219451000,0.52679123,continued_holding,neutral,1.0,1,,32.53000,32.53000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920002012:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-12-31,2020-02-04,2020-02-05,35,0,TSLA,NASDAQ,16378000,0.00750370,likely_reduction,reduction_like,0.0,0,reduction_overlay_exclusion,,,P3_ACCUMULATION_TILT,reduction_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920002012:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-12-31,2020-02-04,2020-02-05,35,0,UBER,NYSE,2166278000,0.99249630,continued_holding,neutral,1.0,1,,36.81000,36.81000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-03-31,2020-05-15,2020-05-18,45,0,ADP,US,78454000,0.00802418,entry_observed,accumulation_like,2.0,1,,136.39999,118.32577,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:3,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,2020-03-31,2020-05-15,2020-05-18,45,0,BRK.B,NYSE,78434000,0.00802213,entry_observed,accumulation_like,2.0,1,,175.46001,175.46001,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:2,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,2020-03-31,2020-05-15,2020-05-18,45,0,BAC,US,487569000,0.04986796,entry_observed,accumulation_like,2.0,1,,22.93000,19.82305,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:4,097023105|COM||SH|BOEING CO,BOEING CO,097023105,2020-03-31,2020-05-15,2020-05-18,45,0,BA,NYSE,713677000,0.07299401,entry_observed,accumulation_like,2.0,1,,135.44000,135.44000,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:5,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,09857L108,2020-03-31,2020-05-15,2020-05-18,45,0,BKNG,NASDAQ,78029000,0.00798071,entry_observed,accumulation_like,2.0,1,,1557.42998,39.70173,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:6,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,2020-03-31,2020-05-15,2020-05-18,45,0,BP,NYSE,827751000,0.08466136,entry_observed,accumulation_like,2.0,1,,23.51000,17.35241,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:7,11135F101|COM||SH|BROADCOM INC,BROADCOM INC,11135F101,2020-03-31,2020-05-15,2020-05-18,45,0,AVGO,NASDAQ,76583000,0.00783282,entry_observed,accumulation_like,2.0,1,,273.53001,23.88848,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:8,136385101|COM||SH|CANADIAN NAT RES LTD,CANADIAN NAT RES LTD,136385101,2020-03-31,2020-05-15,2020-05-18,45,0,CNQ,US,408129000,0.04174294,entry_observed,accumulation_like,2.0,1,,9.37000,5.65473,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:9,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2020-03-31,2020-05-15,2020-05-18,45,0,CCL,NYSE,456856000,0.04672667,entry_observed,accumulation_like,2.0,1,,14.72000,14.56392,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:10,17275R102|COM||SH|CISCO SYS INC,CISCO SYS INC,17275R102,2020-03-31,2020-05-15,2020-05-18,45,0,CSCO,NASDAQ,490881000,0.05020671,entry_observed,accumulation_like,2.0,1,,45.060001,37.85079,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:11,172967424|COM NEW||SH|CITIGROUP INC,CITIGROUP INC,172967424,2020-03-31,2020-05-15,2020-05-18,45,0,C,NYSE,521979000,0.05338738,entry_observed,accumulation_like,2.0,1,,45.67000,37.058974,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:12,254687106|COM DISNEY||SH|DISNEY WALT CO,DISNEY WALT CO,254687106,2020-03-31,2020-05-15,2020-05-18,45,0,DIS,US,495802000,0.05071002,entry_observed,accumulation_like,2.0,1,,116.85000,114.085904,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:13,30303M102|CL A||SH|FACEBOOK INC,FACEBOOK INC,30303M102,2020-03-31,2020-05-15,2020-05-18,45,0,META,US,521859000,0.05337510,entry_observed,accumulation_like,2.0,1,,213.19000,211.53667,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:14,459200101|COM||SH|INTERNATIONAL BUSINESS MACHS,INTERNATIONAL BUSINESS MACHS,459200101,2020-03-31,2020-05-15,2020-05-18,45,0,IBM,US,77651000,0.00794205,entry_observed,accumulation_like,2.0,1,,121.56000,90.98749,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:15,538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,2020-03-31,2020-05-15,2020-05-18,45,0,LYV,US,416119000,0.04256014,entry_observed,accumulation_like,2.0,1,,46.15000,46.15000,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:16,571903202|CL A||SH|MARRIOTT INTL INC NEW,MARRIOTT INTL INC NEW,571903202,2020-03-31,2020-05-15,2020-05-18,45,0,MAR,US,513931000,0.05256424,entry_observed,accumulation_like,2.0,1,,93.62000,89.95923,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:17,717081103|COM||SH|PFIZER INC,PFIZER INC,717081103,2020-03-31,2020-05-15,2020-05-18,45,0,PFE,NYSE,78524000,0.00803134,entry_observed,accumulation_like,2.0,1,,38.070000,26.94797,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:18,747525103|COM||SH|QUALCOMM INC,QUALCOMM INC,747525103,2020-03-31,2020-05-15,2020-05-18,45,0,QCOM,NASDAQ,77798000,0.00795708,entry_observed,accumulation_like,2.0,1,,79.94000,70.11509,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:19,780259206|SPONS ADR A||SH|ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL PLC,780259206,2020-03-31,2020-05-15,2020-05-18,45,0,SHEL,NYSE,483643000,0.04946642,entry_observed,accumulation_like,2.0,1,,32.82000,26.25181,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:20,855244109|COM||SH|STARBUCKS CORP,STARBUCKS CORP,855244109,2020-03-31,2020-05-15,2020-05-18,45,0,SBUX,NASDAQ,77573000,0.00793407,entry_observed,accumulation_like,2.0,1,,76.23000,66.54811,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:21,867224107|COM||SH|SUNCOR ENERGY INC NEW,SUNCOR ENERGY INC NEW,867224107,2020-03-31,2020-05-15,2020-05-18,45,0,SU,NYSE,481072000,0.04920346,entry_observed,accumulation_like,2.0,1,,17.23000,13.60863,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:22,89151E109|SPONSORED ADS||SH|TOTAL S.A.,TOTAL S.A.,89151E109,2020-03-31,2020-05-15,2020-05-18,45,0,TTE,NYSE,222336000,0.02274026,entry_observed,accumulation_like,2.0,1,,35.69000,24.78337,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:23,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2020-03-31,2020-05-15,2020-05-18,45,0,UBER,NYSE,2033708000,0.20800518,continued_holding,neutral,1.0,1,,33.62000,33.62000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920010560:24,907818108|COM||SH|UNION PAC CORP,UNION PAC CORP,907818108,2020-03-31,2020-05-15,2020-05-18,45,0,UNP,NYSE,78841000,0.00806376,entry_observed,accumulation_like,2.0,1,,159.12000,139.48796,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-06-30,2020-08-14,2020-08-17,45,0,ADP,US,220631000,0.02179322,likely_accumulation,accumulation_like,2.0,1,,139.66000,122.63588,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:2,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,2020-06-30,2020-08-14,2020-08-17,45,0,BRK.B,NYSE,39054000,0.00385763,likely_reduction,reduction_like,0.0,0,reduction_overlay_exclusion,,,P3_ACCUMULATION_TILT,reduction_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:3,09857L108|COM||SH|BOOKING HOLDINGS INC,BOOKING HOLDINGS INC,09857L108,2020-06-30,2020-08-14,2020-08-17,45,0,BKNG,NASDAQ,34278000,0.00338587,entry_observed,accumulation_like,2.0,1,,1752.91996,44.68513,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:4,136385101|COM||SH|CANADIAN NAT RES LTD,CANADIAN NAT RES LTD,136385101,2020-06-30,2020-08-14,2020-08-17,45,0,CNQ,US,298652000,0.02949988,likely_reduction,reduction_like,0.0,0,reduction_overlay_exclusion,,,P3_ACCUMULATION_TILT,reduction_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:5,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2020-06-30,2020-08-14,2020-08-17,45,0,CCL,NYSE,834644000,0.08244343,likely_accumulation,accumulation_like,2.0,1,,14.68000,14.52434,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:6,17275R102|COM||SH|CISCO SYS INC,CISCO SYS INC,17275R102,2020-06-30,2020-08-14,2020-08-17,45,0,CSCO,NASDAQ,270754000,0.02674420,likely_reduction,reduction_like,0.0,0,reduction_overlay_exclusion,,,P3_ACCUMULATION_TILT,reduction_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:7,538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,2020-06-30,2020-08-14,2020-08-17,45,0,LYV,US,557014000,0.05502004,likely_accumulation,accumulation_like,2.0,1,,50.89000,50.89000,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:8,81369Y860|RL EST SEL SEC||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,2020-06-30,2020-08-14,2020-08-17,45,0,XLRE,US,1596339000,0.15768119,entry_observed,accumulation_like,2.0,1,,36.18000,29.85801,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:10,81369Y860|SBI MATERIALS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y860,2020-06-30,2020-08-14,2020-08-17,45,0,XLRE,US,1195874000,0.11812456,entry_observed,accumulation_like,2.0,1,,36.18000,29.85801,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:9,81369Y886|SBI INT-UTILS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y886,2020-06-30,2020-08-14,2020-08-17,45,0,XLU,US,1861428000,0.18386582,entry_observed,accumulation_like,2.0,1,,60.30000,21.58428,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:11,867224107|COM||SH|SUNCOR ENERGY INC NEW,SUNCOR ENERGY INC NEW,867224107,2020-06-30,2020-08-14,2020-08-17,45,0,SU,NYSE,859444000,0.08489309,likely_accumulation,accumulation_like,2.0,1,,16.97000,13.62627,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:12,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2020-06-30,2020-08-14,2020-08-17,45,0,UBER,NYSE,2263884000,0.22361912,continued_holding,neutral,1.0,1,,29.48000,29.48000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920015371:13,907818108|COM||SH|UNION PAC CORP,UNION PAC CORP,907818108,2020-06-30,2020-08-14,2020-08-17,45,0,UNP,NYSE,91843000,0.00907195,likely_reduction,reduction_like,0.0,0,reduction_overlay_exclusion,,,P3_ACCUMULATION_TILT,reduction_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-09-30,2020-11-16,2020-11-17,47,0,ADP,US,206701000,0.02932224,continued_holding,neutral,1.0,1,,176.14999,156.77755,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:2,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2020-09-30,2020-11-16,2020-11-17,47,0,CCL,NYSE,771613000,0.10945965,continued_holding,neutral,1.0,1,,18.049999,17.85861,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:3,538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,2020-09-30,2020-11-16,2020-11-17,47,0,LYV,US,677011000,0.09603957,continued_holding,neutral,1.0,1,,68.78000,68.78000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:4,66987E206|COM NEW||SH|NOVAGOLD RES INC,NOVAGOLD RES INC,66987E206,2020-09-30,2020-11-16,2020-11-17,47,0,NG,NYSE,154577000,0.02192802,entry_observed,accumulation_like,2.0,1,,10.94000,10.94000,P3_ACCUMULATION_TILT,accumulation_like,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:5,81369Y886|SBI INT-UTILS||SH|SELECT SECTOR SPDR TR,SELECT SECTOR SPDR TR,81369Y886,2020-09-30,2020-11-16,2020-11-17,47,0,XLU,US,1958739000,0.27786322,continued_holding,neutral,1.0,1,,65.45000,23.82692,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:6,867224107|COM||SH|SUNCOR ENERGY INC NEW,SUNCOR ENERGY INC NEW,867224107,2020-09-30,2020-11-16,2020-11-17,47,0,SU,NYSE,623428000,0.08843839,continued_holding,neutral,1.0,1,,15.25,12.36878,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
holding:000156761920019808:7,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2020-09-30,2020-11-16,2020-11-17,47,0,UBER,NYSE,2657223000,0.37694892,continued_holding,neutral,1.0,1,,48.89000,48.89000,P3_ACCUMULATION_TILT,neutral,Tilt the disclosed PIF sleeve toward new or accumulating names and exclude likely reductions.
