rebalance_id,trade_date,next_rebalance_trade_date,report_periods,signal_dates,raw_signal_count,positions_bought_count,positions_sold_count,cash_before_rebalance,cash_after_rebalance,buy_fill_ratio,buy_value_requested,buy_value_filled,sell_value_filled,position_count_end
P5CAC-R001,2019-02-14,2019-08-07,2018-12-31,2019-02-13,1,1,0,1.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,0.000000000000,1
P5CAC-R002,2019-08-07,2020-02-05,2019-06-30,2019-08-06,1,0,0,0.000000000000,0.000000000000,0.000000000000,17.251742453280,0.000000000000,0.000000000000,1
P5CAC-R003,2020-02-05,2020-05-18,2019-12-31,2020-02-04,1,0,1,0.000000000000,2.407166451010,1.000000000000,0.000000000000,0.000000000000,2.407166451010,1
P5CAC-R004,2020-05-18,2020-08-17,2020-03-31,2020-05-15,24,23,1,2.407166451010,0.000000000000,0.057676511051,41.955304989218,2.419835611867,0.012669160857,23
P5CAC-R005,2020-08-17,2020-11-17,2020-06-30,2020-08-14,27,8,19,0.000000000000,0.000000000000,0.120068843209,16.477225282578,1.978401378965,1.978401378965,12
P5CAC-R006,2020-11-17,2021-05-18,2020-09-30,2020-11-16,8,1,7,0.000000000000,0.822527784644,1.000000000000,0.848497138911,0.848497138911,1.671024923555,6
P5CAC-R007,2021-05-18,2022-10-12,2020-12-31|2021-03-31,2021-05-17,18,11,6,0.822527784644,0.000000000000,0.509023169185,171.177875548060,3.089133863756,2.266606079112,11
P5CAC-R008,2022-10-12,2022-11-15,2021-09-30,2022-10-11,12,1,11,0.000000000000,0.000000000000,0.748958196644,1.877032477641,1.405818859496,1.405818859496,1
P5CAC-R009,2022-11-15,2022-12-23,2022-09-30,2022-11-14,4,0,0,0.000000000000,0.000000000000,0.000000000000,0.089007287366,0.000000000000,0.000000000000,1
P5CAC-R010,2022-12-23,2023-02-15,2022-03-31|2022-06-30,2022-12-22,56,0,0,0.000000000000,0.000000000000,0.000000000000,519.116163489652,0.000000000000,0.000000000000,1
P5CAC-R011,2023-02-15,2023-05-16,2022-12-31,2023-02-14,5,0,0,0.000000000000,0.000000000000,0.000000000000,0.193829459302,0.000000000000,0.000000000000,1
P5CAC-R012,2023-05-16,2023-08-15,2023-03-31,2023-05-15,12,3,1,0.000000000000,0.000000000000,0.616584818158,3.083212203418,1.901061835788,1.901061835788,3
P5CAC-R013,2023-08-15,2023-11-15,2023-06-30,2023-08-14,5,0,0,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,3
P5CAC-R014,2023-11-15,2024-02-15,2023-09-30,2023-11-14,8,0,0,0.000000000000,0.000000000000,0.000000000000,4.447939818684,0.000000000000,0.000000000000,3
P5CAC-R015,2024-02-15,2024-05-16,2023-12-31,2024-02-14,5,0,0,0.000000000000,0.000000000000,0.000000000000,4.566489499020,0.000000000000,0.000000000000,3
P5CAC-R016,2024-05-16,2024-10-01,2024-03-31,2024-05-15,34,0,0,0.000000000000,0.000000000000,0.000000000000,0.180732205252,0.000000000000,0.000000000000,3
P5CAC-R017,2024-10-01,2024-11-15,2024-06-30,2024-09-30,26,1,3,0.000000000000,2.361782127747,1.000000000000,0.376795299570,0.376795299570,2.738577427317,1
P5CAC-R018,2024-11-15,2025-02-18,2024-09-30,2024-11-14,25,25,0,2.361782127747,0.000000000000,0.009290623358,254.211373858926,2.361782127747,0.000000000000,26
P5CAC-R019,2025-02-18,2025-05-16,2024-12-31,2025-02-14,7,5,2,0.000000000000,-0.000000000000,0.006656499268,2.003982516850,0.013339508156,0.013339508156,26
P5CAC-R020,2025-05-16,2025-08-15,2025-03-31,2025-05-15,11,6,5,-0.000000000000,-0.000000000000,0.017206912897,0.458866983424,0.007895684215,0.007895684215,25
P5CAC-R021,2025-08-15,2025-11-17,2025-06-30,2025-08-14,21,1,20,-0.000000000000,0.213650709433,1.000000000000,0.435537407732,0.435537407732,0.649188117165,14
P5CAC-R022,2025-11-17,2026-02-18,2025-09-30,2025-11-14,11,1,10,0.213650709433,0.000000000000,0.129185138152,13.639134062958,1.761973418193,1.548322708761,5
P5CAC-R023,2026-02-18,,2025-12-31,2026-02-17,1,0,1,0.000000000000,0.125983765687,1.000000000000,0.000000000000,0.000000000000,0.125983765687,4
