period_of_report,filing_date,accession_number,submission_type,is_amendment,filer_cik,filer_name,row_count,table_entry_total,table_value_total_thousands,source_url,keep_flag
2018-12-31,2019-02-13,000156761919003482,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,1,1,2754612,https://www.sec.gov/Archives/edgar/data/1767640/000156761919003482/,1
2019-03-31,2019-05-13,000156761919010477,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,1,1,2316424,https://www.sec.gov/Archives/edgar/data/1767640/000156761919010477/,1
2019-06-30,2019-08-06,000156761919015831,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,2,2,5227940,https://www.sec.gov/Archives/edgar/data/1767640/000156761919015831/,1
2019-09-30,2019-10-21,000156761919019798,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,2,2,4213151,https://www.sec.gov/Archives/edgar/data/1767640/000156761919019798/,1
2019-12-31,2020-02-04,000156761920002012,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,2,2,2182656,https://www.sec.gov/Archives/edgar/data/1767640/000156761920002012/,1
2020-03-31,2020-05-15,000156761920010560,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,24,24,9777199,https://www.sec.gov/Archives/edgar/data/1767640/000156761920010560/,1
2020-06-30,2020-08-14,000156761920015371,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,13,13,10123839,https://www.sec.gov/Archives/edgar/data/1767640/000156761920015371/,1
2020-09-30,2020-11-16,000156761920019808,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,7,7,7049292,https://www.sec.gov/Archives/edgar/data/1767640/000156761920019808/,1
2020-12-31,2021-05-17,000156761921010353,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,1,1,3750,https://www.sec.gov/Archives/edgar/data/1767640/000156761921010353/,1
2021-03-31,2021-05-17,000156761921010356,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,13,13,15449536,https://www.sec.gov/Archives/edgar/data/1767640/000156761921010356/,1
2021-06-30,2021-08-16,000156761921015669,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,13,13,15943792,https://www.sec.gov/Archives/edgar/data/1767640/000156761921015669/,1
2021-09-30,2022-10-11,000156761922018388,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,1,1,354519,https://www.sec.gov/Archives/edgar/data/1767640/000156761922018388/,1
2021-12-31,2022-10-11,000156761922018390,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,1,1,418625,https://www.sec.gov/Archives/edgar/data/1767640/000156761922018390/,1
2022-03-31,2022-12-22,000156761922021939,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,38,38,43959679,https://www.sec.gov/Archives/edgar/data/1767640/000156761922021939/,1
2022-06-30,2022-12-22,000156761922021940,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,54,54,41164287,https://www.sec.gov/Archives/edgar/data/1767640/000156761922021940/,1
2022-09-30,2022-11-14,000156761922019765,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,53,53,36816002,https://www.sec.gov/Archives/edgar/data/1767640/000156761922019765/,1
2022-12-31,2023-02-14,000131586323000305,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,53,53,30938670069,https://www.sec.gov/Archives/edgar/data/1767640/000131586323000305/,1
2023-03-31,2023-05-15,000108514623002379,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,52,52,35516858501,https://www.sec.gov/Archives/edgar/data/1767640/000108514623002379/,1
2023-06-30,2023-08-14,000101143823000529,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,51,51,38928479760,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,1
2023-09-30,2023-11-14,000101143823000626,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,52,52,36476308819,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000626/,1
2023-12-31,2024-02-14,000101143824000215,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,50,50,35240699493,https://www.sec.gov/Archives/edgar/data/1767640/000101143824000215/,1
2024-03-31,2024-05-15,000101143824000359,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,38,38,20550468415,https://www.sec.gov/Archives/edgar/data/1767640/000101143824000359/,1
2024-06-30,2024-09-30,000108514624004609,13F-HR/A,1,0001767640,PUBLIC INVESTMENT FUND,1,1,65929363,https://www.sec.gov/Archives/edgar/data/1767640/000108514624004609/,1
2024-09-30,2024-11-14,000101143824000649,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,54,54,26746671276,https://www.sec.gov/Archives/edgar/data/1767640/000101143824000649/,1
2024-12-31,2025-02-14,000101143825000153,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,62,62,26770303199,https://www.sec.gov/Archives/edgar/data/1767640/000101143825000153/,1
2025-03-31,2025-05-15,000101143825000303,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,64,64,25550498792,https://www.sec.gov/Archives/edgar/data/1767640/000101143825000303/,1
2025-06-30,2025-08-14,000101143825000442,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,57,57,23813131505,https://www.sec.gov/Archives/edgar/data/1767640/000101143825000442/,1
2025-09-30,2025-11-14,000101143825000549,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,6,6,19370028315,https://www.sec.gov/Archives/edgar/data/1767640/000101143825000549/,1
2025-12-31,2026-02-17,000101143826000130,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,5,5,12947425684,https://www.sec.gov/Archives/edgar/data/1767640/000101143826000130/,1
2026-03-31,2026-05-15,000101143826000338,13F-HR,0,0001767640,PUBLIC INVESTMENT FUND,4,4,12005605739,https://www.sec.gov/Archives/edgar/data/1767640/000101143826000338/,1
