fund,issuer_name,security_name,ticker,isin,cusip,sedol,asset_type,listing_country,issuer_country,exchange,region,sector,industry,theme,position_type,shares,market_value_local,market_value_nok,market_value_usd,portfolio_weight,ownership_pct,voting_pct,as_of_date,public_date,filing_date,effective_date,staleness_days,disclosure_channel,source_name,source_url,jurisdiction,visibility_class,observability,confidence_level,event_type,entry_signal,exit_signal,event_notes,source_row_id,accession_number,submission_type,filer_cik,filer_name,title_of_class,value_thousands_usd,value_scale_factor,share_type,put_call,investment_discretion,other_manager,voting_authority_sole,voting_authority_shared,voting_authority_none
PIF,ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD INC,,,00507V109,,public_equity_13f,,,,,,,,long_equity_13f,37909164,,,3195742525,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:1,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,3195742525,1,SH,,SOLE,,37909164,0,0
PIF,ADOBE SYSTEMS INCORPORATED,ADOBE SYSTEMS INCORPORATED,,,00724F101,,public_equity_13f,,,,,,,,long_equity_13f,1147300,,,561018227,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:2,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,561018227,1,SH,,SOLE,,1147300,0,0
PIF,ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,,,007903107,,public_equity_13f,,,,,,,,long_equity_13f,4702060,,,535611655,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:3,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,535611655,1,SH,,SOLE,,4702060,0,0
PIF,AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,,,009158106,,public_equity_13f,,,,,,,,long_equity_13f,2748347,,,823212377,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:4,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,823212377,1,SH,,SOLE,,2748347,0,0
PIF,ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,,,01609W102,,public_equity_13f,,,,,,,,long_equity_13f,1457101,,,121449368,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:5,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,SPONSORED ADS,121449368,1,SH,,SOLE,,1457101,0,0
PIF,ALPHABET INC,ALPHABET INC,,,02079K305,,public_equity_13f,,,,,,,,long_equity_13f,4260000,,,509922000,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:6,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,CAP STK CL A,509922000,1,SH,,SOLE,,4260000,0,0
PIF,AMAZON COM INC,AMAZON COM INC,,,023135106,,public_equity_13f,,,,,,,,long_equity_13f,4067652,,,530259115,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:7,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,530259115,1,SH,,SOLE,,4067652,0,0
PIF,AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,,,03027X100,,public_equity_13f,,,,,,,,long_equity_13f,1892998,,,367128032,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:8,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,367128032,1,SH,,SOLE,,1892998,0,0
PIF,AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,,,053015103,,public_equity_13f,,,,,,,,long_equity_13f,1481837,,,325692954,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:9,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,325692954,1,SH,,SOLE,,1481837,0,0
PIF,AVERY DENNISON CORP,AVERY DENNISON CORP,,,053611109,,public_equity_13f,,,,,,,,long_equity_13f,655056,,,112538621,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:10,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,112538621,1,SH,,SOLE,,655056,0,0
PIF,BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,,,058586108,,public_equity_13f,,,,,,,,long_equity_13f,7046900,,,30724484,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:11,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,30724484,1,SH,,SOLE,,7046900,0,0
PIF,BEIGENE LTD,BEIGENE LTD,,,07725L102,,public_equity_13f,,,,,,,,long_equity_13f,317685,,,56643236,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:12,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,SPONSORED ADR,56643236,1,SH,,SOLE,,317685,0,0
PIF,BLACKROCK INC,BLACKROCK INC,,,09247X101,,public_equity_13f,,,,,,,,long_equity_13f,741693,,,512613700,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:13,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,512613700,1,SH,,SOLE,,741693,0,0
PIF,BLOOM ENERGY CORP,BLOOM ENERGY CORP,,,093712107,,public_equity_13f,,,,,,,,long_equity_13f,1067688,,,17456699,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:14,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM CL A,17456699,1,SH,,SOLE,,1067688,0,0
PIF,BOOKING HOLDINGS INC,BOOKING HOLDINGS INC,,,09857L108,,public_equity_13f,,,,,,,,long_equity_13f,213478,,,576461048,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:15,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,576461048,1,SH,,SOLE,,213478,0,0
PIF,CARNIVAL CORP,CARNIVAL CORP,,,143658300,,public_equity_13f,,,,,,,,long_equity_13f,50830926,,,957146337,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:16,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COMMON STOCK,957146337,1,SH,,SOLE,,50830926,0,0
PIF,COMPUTE HEALTH ACQUISITIN CO,COMPUTE HEALTH ACQUISITIN CO,,,204833115,,public_equity_13f,,,,,,,,long_equity_13f,1874999,,,937500,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:17,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,*W EXP 01/25/202,937500,1,SH,,SOLE,,1874999,0,0
PIF,COSTCO WHSL CORP NEW,COSTCO WHSL CORP NEW,,,22160K105,,public_equity_13f,,,,,,,,long_equity_13f,1036576,,,558071787,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:18,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,558071787,1,SH,,SOLE,,1036576,0,0
PIF,COUPANG INC,COUPANG INC,,,22266T109,,public_equity_13f,,,,,,,,long_equity_13f,2857142,,,49714271,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:19,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,CL A,49714271,1,SH,,SOLE,,2857142,0,0
PIF,CUMMINS INC,CUMMINS INC,,,231021106,,public_equity_13f,,,,,,,,long_equity_13f,1800301,,,441361793,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:20,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,441361793,1,SH,,SOLE,,1800301,0,0
PIF,DATADOG INC,DATADOG INC,,,23804L103,,public_equity_13f,,,,,,,,long_equity_13f,4498845,,,442596371,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:21,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,CL A COM,442596371,1,SH,,SOLE,,4498845,0,0
PIF,ELECTRONIC ARTS INC,ELECTRONIC ARTS INC,,,285512109,,public_equity_13f,,,,,,,,long_equity_13f,24807932,,,3217588780,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:22,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,3217588780,1,SH,,SOLE,,24807932,0,0
PIF,FEDEX CORP,FEDEX CORP,,,31428X106,,public_equity_13f,,,,,,,,long_equity_13f,1127426,,,279488905,,,,2023-06-30,2023-08-14,2023-08-14,2023-06-30,,SEC_13F,SEC Form 13F Information Table,https://www.sec.gov/Archives/edgar/data/1767640/000101143823000529/,United States,partial,observed,high,snapshot,,,PIF US-reportable 13F holding.,000101143823000529:23,000101143823000529,13F-HR,0001767640,PUBLIC INVESTMENT FUND,COM,279488905,1,SH,,SOLE,,1127426,0,0
