as_of_date,public_date,holding_count,total_market_value_usd,total_shares,option_row_count,common_row_count,largest_holding
2018-12-31,2019-02-13,1,2754612000,8277080,0,1,TESLA INC
2019-03-31,2019-05-13,1,2316424000,8277080,0,1,TESLA INC
2019-06-30,2019-08-06,2,5227940000,81117621,0,2,UBER TECHNOLOGIES INC
2019-09-30,2019-10-21,2,4213151000,81117621,0,2,UBER TECHNOLOGIES INC
2019-12-31,2020-02-04,2,2182656000,72879692,0,2,UBER TECHNOLOGIES INC
2020-03-31,2020-05-15,24,9777199000,306162632,0,24,UBER TECHNOLOGIES INC
2020-06-30,2020-08-14,13,10123839000,312484247,0,13,UBER TECHNOLOGIES INC
2020-09-30,2020-11-16,7,7049292000,234680901,0,7,UBER TECHNOLOGIES INC
2020-12-31,2021-05-17,1,3750000,2500000,0,1,MULTIPLAN CORPORATION
2021-03-31,2021-05-17,13,15449536000,304235202,0,13,UBER TECHNOLOGIES INC
2021-06-30,2021-08-16,13,15943792000,308669811,0,13,UBER TECHNOLOGIES INC
2021-09-30,2022-10-11,1,354519000,1208396,0,1,LINDE PLC
2021-12-31,2022-10-11,1,418625000,1208396,0,1,LINDE PLC
2022-03-31,2022-12-22,38,43959679000,1454221100,0,38,LUCID GROUP INC
2022-06-30,2022-12-22,54,41164287000,1526224782,0,54,LUCID GROUP INC
2022-09-30,2022-11-14,53,36816002000,1522559655,0,53,LUCID GROUP INC
2022-12-31,2023-02-14,53,30938670069,1577138059,0,53,LUCID GROUP INC
2023-03-31,2023-05-15,52,35516858501,1542770200,0,52,LUCID GROUP INC
2023-06-30,2023-08-14,51,38928479760,1805706482,0,51,LUCID GROUP INC
2023-09-30,2023-11-14,52,36476308819,1808445727,0,52,LUCID GROUP INC
2023-12-31,2024-02-14,50,35240699493,1764845878,0,50,LUCID GROUP INC
2024-03-31,2024-05-15,38,20550468415,1587492107,12,26,UBER TECHNOLOGIES INC
2024-06-30,2024-09-30,1,65929363,341161,0,1,AMAZON COM INC
2024-09-30,2024-11-14,54,26746671276,1571726604,27,27,UBER TECHNOLOGIES INC
2024-12-31,2025-02-14,62,26770303199,1974880881,35,27,LUCID GROUP INC
2025-03-31,2025-05-15,64,25550498792,1963192444,38,26,UBER TECHNOLOGIES INC
2025-06-30,2025-08-14,57,23813131505,1918259334,42,15,UBER TECHNOLOGIES INC
2025-09-30,2025-11-14,6,19370028315,288581706,0,6,UBER TECHNOLOGIES INC
2025-12-31,2026-02-17,5,12947425684,277167026,0,5,UBER TECHNOLOGIES INC
2026-03-31,2026-05-15,4,12005605739,276018590,0,4,UBER TECHNOLOGIES INC
