period,prev_as_of_date,curr_as_of_date,transition_count,entry_observed,exit_observed,likely_accumulation,likely_reduction,continued_holding,net_share_delta,net_market_value_delta_usd
2018-12-31->2019-03-31,2018-12-31,2019-03-31,1,0,0,0,0,1,0,-438188000
2019-03-31->2019-06-30,2019-03-31,2019-06-30,2,1,0,0,0,1,0,-466828000
2019-06-30->2019-09-30,2019-06-30,2019-09-30,2,0,0,0,0,2,0,-1014789000
2019-09-30->2019-12-31,2019-09-30,2019-12-31,2,0,0,0,1,1,-8237929,-2030495000
2019-12-31->2020-03-31,2019-12-31,2020-03-31,25,23,1,0,0,1,0,-132570000
2020-03-31->2020-06-30,2020-03-31,2020-06-30,28,4,15,4,4,1,21094882,913426000
2020-06-30->2020-09-30,2020-06-30,2020-09-30,14,1,7,0,0,6,0,297670000
2020-09-30->2020-12-31,2020-09-30,2020-12-31,8,1,7,0,0,0,0,0
2020-12-31->2021-03-31,2020-12-31,2021-03-31,13,12,0,0,0,1,0,-1350000
2021-03-31->2021-06-30,2021-03-31,2021-06-30,13,0,0,1,0,12,4434609,494256000
2021-06-30->2021-09-30,2021-06-30,2021-09-30,14,1,13,0,0,0,0,0
2021-09-30->2021-12-31,2021-09-30,2021-12-31,1,0,0,0,0,1,0,64106000
2021-12-31->2022-03-31,2021-12-31,2022-03-31,38,37,0,0,0,1,0,-32627000
2022-03-31->2022-06-30,2022-03-31,2022-06-30,55,17,1,5,1,31,13226865,-10360807000
2022-06-30->2022-09-30,2022-06-30,2022-09-30,55,1,2,2,0,50,4368350,-4322079000
2022-09-30->2022-12-31,2022-09-30,2022-12-31,55,2,2,2,1,48,92583404,-5807324413
2022-12-31->2023-03-31,2022-12-31,2023-03-31,56,3,4,4,2,43,7036639,4608445716
2023-03-31->2023-06-30,2023-03-31,2023-06-30,52,0,1,3,1,47,265967071,3427047975
2023-06-30->2023-09-30,2023-06-30,2023-09-30,54,3,2,4,1,44,1303441,-2506368710
2023-09-30->2023-12-31,2023-09-30,2023-12-31,54,2,4,1,1,46,-19768,2112447886
2023-12-31->2024-03-31,2023-12-31,2024-03-31,63,13,25,5,4,16,-5359261,-2519596789
2024-03-31->2024-06-30,2024-03-31,2024-06-30,39,1,38,0,0,0,0,0
2024-06-30->2024-09-30,2024-06-30,2024-09-30,54,53,0,0,0,1,0,-2360834
2024-09-30->2024-12-31,2024-09-30,2024-12-31,72,18,10,9,9,26,401417988,-233137858
2024-12-31->2025-03-31,2024-12-31,2025-03-31,77,15,13,12,18,19,-9933237,-2009172526
2025-03-31->2025-06-30,2025-03-31,2025-06-30,82,18,25,9,20,10,-16936040,-227335653
2025-06-30->2025-09-30,2025-06-30,2025-09-30,58,1,52,0,0,5,0,1569321042
2025-09-30->2025-12-31,2025-09-30,2025-12-31,6,0,1,0,0,5,0,-3473505906
2025-12-31->2026-03-31,2025-12-31,2026-03-31,5,0,1,0,0,4,0,-941802374
