signal_date,report_period_count_published,published_report_periods,signal_row_count,holdings_row_count,transition_row_count,entry_observed_count,exit_observed_count,likely_accumulation_count,likely_reduction_count,same_day_multi_period_flag,min_staleness_days,max_staleness_days
2019-02-13,1,2018-12-31,1,1,0,0,0,0,0,0,44,44
2019-05-13,1,2019-03-31,2,1,1,0,0,0,0,0,43,43
2019-08-06,1,2019-06-30,4,2,2,1,0,0,0,0,37,37
2019-10-21,1,2019-09-30,4,2,2,0,0,0,0,0,21,21
2020-02-04,1,2019-12-31,4,2,2,0,0,0,1,0,35,35
2020-05-15,1,2020-03-31,49,24,25,23,1,0,0,0,45,45
2020-08-14,1,2020-06-30,41,13,28,4,15,4,4,0,45,45
2020-11-16,1,2020-09-30,21,7,14,1,7,0,0,0,47,47
2021-05-17,2,2020-12-31|2021-03-31,35,14,21,13,7,0,0,1,47,137
2021-08-16,1,2021-06-30,26,13,13,0,0,1,0,0,47,47
2022-10-11,2,2021-09-30|2021-12-31,17,2,15,1,13,0,0,1,284,376
2022-11-14,1,2022-09-30,108,53,55,1,2,2,0,0,45,45
2022-12-22,2,2022-03-31|2022-06-30,185,92,93,54,1,5,1,1,175,266
2023-02-14,1,2022-12-31,108,53,55,2,2,2,1,0,45,45
2023-05-15,1,2023-03-31,108,52,56,3,4,4,2,0,45,45
2023-08-14,1,2023-06-30,103,51,52,0,1,3,1,0,45,45
2023-11-14,1,2023-09-30,106,52,54,3,2,4,1,0,45,45
2024-02-14,1,2023-12-31,104,50,54,2,4,1,1,0,45,45
2024-05-15,1,2024-03-31,101,38,63,13,25,5,4,0,45,45
2024-09-30,1,2024-06-30,40,1,39,1,38,0,0,0,92,92
2024-11-14,1,2024-09-30,108,54,54,53,0,0,0,0,45,45
2025-02-14,1,2024-12-31,134,62,72,18,10,9,9,0,45,45
2025-05-15,1,2025-03-31,141,64,77,15,13,12,18,0,45,45
2025-08-14,1,2025-06-30,139,57,82,18,25,9,20,0,45,45
2025-11-14,1,2025-09-30,64,6,58,1,52,0,0,0,45,45
2026-02-17,1,2025-12-31,11,5,6,0,1,0,0,0,48,48
2026-05-15,1,2026-03-31,9,4,5,0,1,0,0,0,45,45
