fund,signal_id,signal_source,signal_type,strategy_ids,recommended_action,signal_date,report_period,next_public_date,staleness_days,public_batch_size,same_day_multi_period_flag,security_key,issuer_name,cusip,title_of_class,put_call,share_type,is_option_row,common_equity_baseline_flag,market_value_usd,portfolio_weight_in_filing,prev_shares,curr_shares,delta_shares,prev_market_value_usd,curr_market_value_usd,delta_market_value_usd,accession_number,source_row_id
PIF,holding:000156761919003482:1,holdings,full_sleeve_holding,P2,hold_or_buy,2019-02-13,2018-12-31,2019-05-13,44,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,2754612000,1.00000000,,8277080,,,2754612000,,000156761919003482,000156761919003482:1
PIF,holding:000156761919010477:1,holdings,full_sleeve_holding,P2,hold_or_buy,2019-05-13,2019-03-31,2019-08-06,43,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,2316424000,1.00000000,,8277080,,,2316424000,,000156761919010477,000156761919010477:1
PIF,transition:000156761919010477:1,transition,continued_holding,diagnostic,hold,2019-05-13,2019-03-31,2019-08-06,43,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,2316424000,,8277080,8277080,0.000000,2754612000,2316424000,-438188000.000000,000156761919010477,000156761919010477:1
PIF,holding:000156761919015831:1,holdings,full_sleeve_holding,P2,hold_or_buy,2019-08-06,2019-06-30,2019-10-21,37,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,1849596000,0.35379059,,8277080,,,1849596000,,000156761919015831,000156761919015831:1
PIF,holding:000156761919015831:2,holdings,full_sleeve_holding,P2,hold_or_buy,2019-08-06,2019-06-30,2019-10-21,37,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,3378344000,0.64620941,,72840541,,,3378344000,,000156761919015831,000156761919015831:2
PIF,transition:000156761919015831:1,transition,continued_holding,diagnostic,hold,2019-08-06,2019-06-30,2019-10-21,37,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,1849596000,,8277080,8277080,0.000000,2316424000,1849596000,-466828000.000000,000156761919015831,000156761919015831:1
PIF,transition:000156761919015831:2,transition,entry_observed,P1,buy_new,2019-08-06,2019-06-30,2019-10-21,37,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,3378344000,,0,72840541,72840541.000000,0,3378344000,3378344000.000000,000156761919015831,000156761919015831:2
PIF,holding:000156761919019798:1,holdings,full_sleeve_holding,P2,hold_or_buy,2019-10-21,2019-09-30,2020-02-04,21,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,1993700000,0.47320877,,8277080,,,1993700000,,000156761919019798,000156761919019798:1
PIF,holding:000156761919019798:2,holdings,full_sleeve_holding,P2,hold_or_buy,2019-10-21,2019-09-30,2020-02-04,21,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,2219451000,0.52679123,,72840541,,,2219451000,,000156761919019798,000156761919019798:2
PIF,transition:000156761919019798:1,transition,continued_holding,diagnostic,hold,2019-10-21,2019-09-30,2020-02-04,21,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,1993700000,,8277080,8277080,0.000000,1849596000,1993700000,144104000.000000,000156761919019798,000156761919019798:1
PIF,transition:000156761919019798:2,transition,continued_holding,diagnostic,hold,2019-10-21,2019-09-30,2020-02-04,21,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,2219451000,,72840541,72840541,0.000000,3378344000,2219451000,-1158893000.000000,000156761919019798,000156761919019798:2
PIF,holding:000156761920002012:1,holdings,full_sleeve_holding,P2,hold_or_buy,2020-02-04,2019-12-31,2020-05-15,35,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,16378000,0.00750370,,39151,,,16378000,,000156761920002012,000156761920002012:1
PIF,holding:000156761920002012:2,holdings,full_sleeve_holding,P2,hold_or_buy,2020-02-04,2019-12-31,2020-05-15,35,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,2166278000,0.99249630,,72840541,,,2166278000,,000156761920002012,000156761920002012:2
PIF,transition:000156761920002012:2,transition,continued_holding,diagnostic,hold,2020-02-04,2019-12-31,2020-05-15,35,1,0,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,COM,,SH,0,1,2166278000,,72840541,72840541,0.000000,2219451000,2166278000,-53173000.000000,000156761920002012,000156761920002012:2
PIF,transition:000156761920002012:1,transition,likely_reduction,"P3,P4",underweight_or_exclude,2020-02-04,2019-12-31,2020-05-15,35,1,0,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,COM,,SH,0,1,16378000,,8277080,39151,-8237929.000000,1993700000,16378000,-1977322000.000000,000156761920002012,000156761920002012:1
PIF,holding:000156761920010560:1,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,,SH,0,1,78454000,0.00802418,,574000,,,78454000,,000156761920010560,000156761920010560:1
PIF,holding:000156761920010560:3,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,CL B NEW,,SH,0,1,78434000,0.00802213,,429000,,,78434000,,000156761920010560,000156761920010560:3
PIF,holding:000156761920010560:2,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,COM,,SH,0,1,487569000,0.04986796,,22966034,,,487569000,,000156761920010560,000156761920010560:2
PIF,holding:000156761920010560:4,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,097023105|COM||SH|BOEING CO,BOEING CO,097023105,COM,,SH,0,1,713677000,0.07299401,,4785281,,,713677000,,000156761920010560,000156761920010560:4
PIF,holding:000156761920010560:5,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,09857L108,COM,,SH,0,1,78029000,0.00798071,,58000,,,78029000,,000156761920010560,000156761920010560:5
PIF,holding:000156761920010560:6,holdings,full_sleeve_holding,P2,hold_or_buy,2020-05-15,2020-03-31,2020-08-14,45,1,0,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,,SH,0,1,827751000,0.08466136,,33938127,,,827751000,,000156761920010560,000156761920010560:6
