period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2018-12-31->2019-03-31,2018-12-31,2019-03-31,2019-05-13,2019-05-14,Consumer Discretionary,1.00000000,1.00000000,0.00000000,0,0,0,0,1
2019-03-31->2019-06-30,2019-03-31,2019-06-30,2019-08-06,2019-08-07,Consumer Discretionary,1.00000000,0.35379059,-0.64620941,0,0,0,0,1
2019-03-31->2019-06-30,2019-03-31,2019-06-30,2019-08-06,2019-08-07,Technology,0.00000000,0.64620941,0.64620941,1,0,0,0,1
2019-06-30->2019-09-30,2019-06-30,2019-09-30,2019-10-21,2019-10-22,Consumer Discretionary,0.35379059,0.47320877,0.11941818,0,0,0,0,1
2019-06-30->2019-09-30,2019-06-30,2019-09-30,2019-10-21,2019-10-22,Technology,0.64620941,0.52679123,-0.11941818,0,0,0,0,1
2019-09-30->2019-12-31,2019-09-30,2019-12-31,2020-02-04,2020-02-05,Consumer Discretionary,0.47320877,0.00750370,-0.46570507,0,0,0,1,1
2019-09-30->2019-12-31,2019-09-30,2019-12-31,2020-02-04,2020-02-05,Technology,0.52679123,0.99249630,0.46570507,0,0,0,0,1
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Communication Services,0.00000000,0.14664527,0.14664527,3,0,0,0,2
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Consumer Discretionary,0.00750370,0.11520570,0.10770200,4,1,0,0,4
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Energy,0.00000000,0.24781443,0.24781443,5,0,0,0,2
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Financials,0.00000000,0.11127747,0.11127747,3,0,0,0,2
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Health Care,0.00000000,0.00803134,0.00803134,1,0,0,0,1
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Industrials,0.00000000,0.08105777,0.08105777,2,0,0,0,2
2019-12-31->2020-03-31,2019-12-31,2020-03-31,2020-05-15,2020-05-18,Technology,0.99249630,0.28996802,-0.70252828,5,0,0,0,4
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Communication Services,0.14664527,0.05502004,-0.09162523,0,2,1,0,2
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Consumer Discretionary,0.11520570,0.08582930,-0.02937640,1,3,1,0,3
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Energy,0.24781443,0.11439297,-0.13342146,0,3,1,1,2
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Financials,0.11127747,0.00385763,-0.10741984,0,2,0,1,2
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Health Care,0.00803134,0.00000000,-0.00803134,0,1,0,0,1
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Industrials,0.08105777,0.00907195,-0.07198582,0,1,0,1,2
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Real Estate,0.00000000,0.27580575,0.27580575,2,0,0,0,1
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Technology,0.28996802,0.27215654,-0.01781148,0,3,1,1,4
2020-03-31->2020-06-30,2020-03-31,2020-06-30,2020-08-14,2020-08-17,Utilities,0.00000000,0.18386582,0.18386582,1,0,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Communication Services,0.05502004,0.09603957,0.04101953,0,0,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Consumer Discretionary,0.08582930,0.10945965,0.02363035,0,1,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Energy,0.11439297,0.08843839,-0.02595458,0,1,0,0,2
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Financials,0.00385763,0.00000000,-0.00385763,0,1,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Industrials,0.00907195,0.00000000,-0.00907195,0,1,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Materials,0.00000000,0.02192802,0.02192802,1,0,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Real Estate,0.27580575,0.00000000,-0.27580575,0,2,0,0,1
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Technology,0.27215654,0.40627115,0.13411461,0,1,0,0,2
2020-06-30->2020-09-30,2020-06-30,2020-09-30,2020-11-16,2020-11-17,Utilities,0.18386582,0.27786322,0.09399740,0,0,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Communication Services,0.09603957,0.00000000,-0.09603957,0,1,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Consumer Discretionary,0.10945965,0.00000000,-0.10945965,0,1,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Energy,0.08843839,0.00000000,-0.08843839,0,1,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Materials,0.02192802,0.00000000,-0.02192802,0,1,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Technology,0.40627115,0.00000000,-0.40627115,0,2,0,0,1
2020-09-30->2020-12-31,2020-09-30,2020-12-31,2021-05-17,2021-05-18,Utilities,0.27786322,0.00000000,-0.27786322,0,1,0,0,1
2020-12-31->2021-03-31,2020-12-31,2021-03-31,2021-05-17,2021-05-18,Communication Services,0.00000000,0.45920020,0.45920020,4,0,0,0,2
