as_of_date,public_date,trade_date,common_sector,holding_count,mapped_holding_count,raw_sector_count,total_market_value_usd,portfolio_weight_after
2018-12-31,2019-02-13,2019-02-14,Consumer Discretionary,1,1,1,2754612000.000000,1.00000000
2019-03-31,2019-05-13,2019-05-14,Consumer Discretionary,1,1,1,2316424000.000000,1.00000000
2019-06-30,2019-08-06,2019-08-07,Consumer Discretionary,1,1,1,1849596000.000000,0.35379059
2019-06-30,2019-08-06,2019-08-07,Technology,1,1,1,3378344000.000000,0.64620941
2019-09-30,2019-10-21,2019-10-22,Consumer Discretionary,1,1,1,1993700000.000000,0.47320877
2019-09-30,2019-10-21,2019-10-22,Technology,1,1,1,2219451000.000000,0.52679123
2019-12-31,2020-02-04,2020-02-05,Consumer Discretionary,1,1,1,16378000.000000,0.00750370
2019-12-31,2020-02-04,2020-02-05,Technology,1,1,1,2166278000.000000,0.99249630
2020-03-31,2020-05-15,2020-05-18,Communication Services,3,3,2,1433780000.000000,0.14664527
2020-03-31,2020-05-15,2020-05-18,Consumer Discretionary,4,4,3,1126389000.000000,0.11520570
2020-03-31,2020-05-15,2020-05-18,Energy,5,5,2,2422931000.000000,0.24781443
2020-03-31,2020-05-15,2020-05-18,Financials,3,3,2,1087982000.000000,0.11127747
2020-03-31,2020-05-15,2020-05-18,Health Care,1,1,1,78524000.000000,0.00803134
2020-03-31,2020-05-15,2020-05-18,Industrials,2,2,2,792518000.000000,0.08105777
2020-03-31,2020-05-15,2020-05-18,Technology,6,6,4,2835075000.000000,0.28996802
2020-06-30,2020-08-14,2020-08-17,Communication Services,1,1,1,557014000.000000,0.05502004
2020-06-30,2020-08-14,2020-08-17,Consumer Discretionary,2,2,1,868922000.000000,0.08582930
2020-06-30,2020-08-14,2020-08-17,Energy,2,2,2,1158096000.000000,0.11439297
2020-06-30,2020-08-14,2020-08-17,Financials,1,1,1,39054000.000000,0.00385763
2020-06-30,2020-08-14,2020-08-17,Industrials,1,1,1,91843000.000000,0.00907195
2020-06-30,2020-08-14,2020-08-17,Real Estate,2,2,1,2792213000.000000,0.27580575
2020-06-30,2020-08-14,2020-08-17,Technology,3,3,2,2755269000.000000,0.27215654
2020-06-30,2020-08-14,2020-08-17,Utilities,1,1,1,1861428000.000000,0.18386582
2020-09-30,2020-11-16,2020-11-17,Communication Services,1,1,1,677011000.000000,0.09603957
