as_of_date,public_date,trade_date,holding_rows,mapped_rows,no_sector_eligible_rows_flag,row_coverage,total_market_value_usd,mapped_market_value_usd,value_coverage,unmapped_cusips
2018-12-31,2019-02-13,2019-02-14,1,1,0,1.00000000,2754612000.000000,2754612000.000000,1.00000000,
2019-03-31,2019-05-13,2019-05-14,1,1,0,1.00000000,2316424000.000000,2316424000.000000,1.00000000,
2019-06-30,2019-08-06,2019-08-07,2,2,0,1.00000000,5227940000.000000,5227940000.000000,1.00000000,
2019-09-30,2019-10-21,2019-10-22,2,2,0,1.00000000,4213151000.000000,4213151000.000000,1.00000000,
2019-12-31,2020-02-04,2020-02-05,2,2,0,1.00000000,2182656000.000000,2182656000.000000,1.00000000,
2020-03-31,2020-05-15,2020-05-18,24,24,0,1.00000000,9777199000.000000,9777199000.000000,1.00000000,
2020-06-30,2020-08-14,2020-08-17,13,13,0,1.00000000,10123839000.000000,10123839000.000000,1.00000000,
2020-09-30,2020-11-16,2020-11-17,7,7,0,1.00000000,7049292000.000000,7049292000.000000,1.00000000,
2020-12-31,2021-05-17,2021-05-18,0,0,1,1.00000000,0.000000,0.000000,1.00000000,
2021-03-31,2021-05-17,2021-05-18,12,12,0,1.00000000,15447136000.000000,15447136000.000000,1.00000000,
2021-06-30,2021-08-16,2021-08-17,12,12,0,1.00000000,15938142000.000000,15938142000.000000,1.00000000,
2021-09-30,2022-10-11,2022-10-12,1,1,0,1.00000000,354519000.000000,354519000.000000,1.00000000,
2021-12-31,2022-10-11,2022-10-12,1,1,0,1.00000000,418625000.000000,418625000.000000,1.00000000,
2022-03-31,2022-12-22,2022-12-23,36,36,0,1.00000000,43873204000.000000,43873204000.000000,1.00000000,
2022-06-30,2022-12-22,2022-12-23,52,52,0,1.00000000,41116757000.000000,41116757000.000000,1.00000000,
2022-09-30,2022-11-14,2022-11-15,51,51,0,1.00000000,36775142000.000000,36775142000.000000,1.00000000,
2022-12-31,2023-02-14,2023-02-15,50,50,0,1.00000000,30898009413.000000,30898009413.000000,1.00000000,
2023-03-31,2023-05-15,2023-05-16,50,50,0,1.00000000,35515883501.000000,35515883501.000000,1.00000000,
2023-06-30,2023-08-14,2023-08-15,49,49,0,1.00000000,38927308010.000000,38927308010.000000,1.00000000,
2023-09-30,2023-11-14,2023-11-15,50,50,0,1.00000000,36475118690.000000,36475118690.000000,1.00000000,
2023-12-31,2024-02-14,2024-02-15,48,48,0,1.00000000,35240157697.000000,35240157697.000000,1.00000000,
2024-03-31,2024-05-15,2024-05-16,25,25,0,1.00000000,17991230401.000000,17991230401.000000,1.00000000,
2024-06-30,2024-09-30,2024-10-01,1,1,0,1.00000000,65929363.000000,65929363.000000,1.00000000,
2024-09-30,2024-11-14,2024-11-15,26,26,0,1.00000000,19457506563.000000,19457506563.000000,1.00000000,
2024-12-31,2025-02-14,2025-02-18,26,26,0,1.00000000,19245407222.000000,19245407222.000000,1.00000000,
2025-03-31,2025-05-15,2025-05-16,25,25,0,1.00000000,19487156543.000000,19487156543.000000,1.00000000,
2025-06-30,2025-08-14,2025-08-15,14,14,0,1.00000000,18119969290.000000,18119969290.000000,1.00000000,
2025-09-30,2025-11-14,2025-11-17,5,5,0,1.00000000,19369997307.000000,19369997307.000000,1.00000000,
2025-12-31,2026-02-17,2026-02-18,4,4,0,1.00000000,12947408113.000000,12947408113.000000,1.00000000,
2026-03-31,2026-05-15,2026-05-18,4,4,0,1.00000000,12005605739.000000,12005605739.000000,1.00000000,
