signal_date,trade_date,days_to_trade,report_period_count_published,published_report_periods,same_day_multi_period_flag,staleness_bucket,min_staleness_days,max_staleness_days,signal_row_count,holdings_row_count,transition_row_count,entry_observed_count,exit_observed_count,likely_accumulation_count,likely_reduction_count
2019-02-13,2019-02-14,1,1,2018-12-31,0,normal_staleness,44,44,1,1,0,0,0,0,0
2019-05-13,2019-05-14,1,1,2019-03-31,0,normal_staleness,43,43,2,1,1,0,0,0,0
2019-08-06,2019-08-07,1,1,2019-06-30,0,normal_staleness,37,37,4,2,2,1,0,0,0
2019-10-21,2019-10-22,1,1,2019-09-30,0,normal_staleness,21,21,4,2,2,0,0,0,0
2020-02-04,2020-02-05,1,1,2019-12-31,0,normal_staleness,35,35,4,2,2,0,0,0,1
2020-05-15,2020-05-18,3,1,2020-03-31,0,normal_staleness,45,45,49,24,25,23,1,0,0
2020-08-14,2020-08-17,3,1,2020-06-30,0,normal_staleness,45,45,41,13,28,4,15,4,4
2020-11-16,2020-11-17,1,1,2020-09-30,0,normal_staleness,47,47,21,7,14,1,7,0,0
2021-05-17,2021-05-18,1,2,2020-12-31|2021-03-31,1,stale_bundle,47,137,35,14,21,13,7,0,0
2021-08-16,2021-08-17,1,1,2021-06-30,0,normal_staleness,47,47,26,13,13,0,0,1,0
2022-10-11,2022-10-12,1,2,2021-09-30|2021-12-31,1,very_stale_bundle,284,376,17,2,15,1,13,0,0
2022-11-14,2022-11-15,1,1,2022-09-30,0,normal_staleness,45,45,108,53,55,1,2,2,0
2022-12-22,2022-12-23,1,2,2022-03-31|2022-06-30,1,very_stale_bundle,175,266,185,92,93,54,1,5,1
2023-02-14,2023-02-15,1,1,2022-12-31,0,normal_staleness,45,45,108,53,55,2,2,2,1
2023-05-15,2023-05-16,1,1,2023-03-31,0,normal_staleness,45,45,108,52,56,3,4,4,2
2023-08-14,2023-08-15,1,1,2023-06-30,0,normal_staleness,45,45,103,51,52,0,1,3,1
2023-11-14,2023-11-15,1,1,2023-09-30,0,normal_staleness,45,45,106,52,54,3,2,4,1
2024-02-14,2024-02-15,1,1,2023-12-31,0,normal_staleness,45,45,104,50,54,2,4,1,1
2024-05-15,2024-05-16,1,1,2024-03-31,0,normal_staleness,45,45,101,38,63,13,25,5,4
2024-09-30,2024-10-01,1,1,2024-06-30,0,stale_bundle,92,92,40,1,39,1,38,0,0
2024-11-14,2024-11-15,1,1,2024-09-30,0,normal_staleness,45,45,108,54,54,53,0,0,0
2025-02-14,2025-02-18,4,1,2024-12-31,0,normal_staleness,45,45,134,62,72,18,10,9,9
2025-05-15,2025-05-16,1,1,2025-03-31,0,normal_staleness,45,45,141,64,77,15,13,12,18
2025-08-14,2025-08-15,1,1,2025-06-30,0,normal_staleness,45,45,139,57,82,18,25,9,20
2025-11-14,2025-11-17,3,1,2025-09-30,0,normal_staleness,45,45,64,6,58,1,52,0,0
2026-02-17,2026-02-18,1,1,2025-12-31,0,normal_staleness,48,48,11,5,6,0,1,0,0
2026-05-15,2026-05-18,3,1,2026-03-31,0,normal_staleness,45,45,9,4,5,0,1,0,0
