signal_date,trade_date,signal_weekday,trade_weekday,signal_is_trading_day,trade_is_trading_day,days_to_trade,same_day_multi_period_flag,staleness_bucket
2019-02-13,2019-02-14,Wednesday,Thursday,1,1,1,0,normal_staleness
2019-05-13,2019-05-14,Monday,Tuesday,1,1,1,0,normal_staleness
2019-08-06,2019-08-07,Tuesday,Wednesday,1,1,1,0,normal_staleness
2019-10-21,2019-10-22,Monday,Tuesday,1,1,1,0,normal_staleness
2020-02-04,2020-02-05,Tuesday,Wednesday,1,1,1,0,normal_staleness
2020-05-15,2020-05-18,Friday,Monday,1,1,3,0,normal_staleness
2020-08-14,2020-08-17,Friday,Monday,1,1,3,0,normal_staleness
2020-11-16,2020-11-17,Monday,Tuesday,1,1,1,0,normal_staleness
2021-05-17,2021-05-18,Monday,Tuesday,1,1,1,1,stale_bundle
2021-08-16,2021-08-17,Monday,Tuesday,1,1,1,0,normal_staleness
2022-10-11,2022-10-12,Tuesday,Wednesday,1,1,1,1,very_stale_bundle
2022-11-14,2022-11-15,Monday,Tuesday,1,1,1,0,normal_staleness
2022-12-22,2022-12-23,Thursday,Friday,1,1,1,1,very_stale_bundle
2023-02-14,2023-02-15,Tuesday,Wednesday,1,1,1,0,normal_staleness
2023-05-15,2023-05-16,Monday,Tuesday,1,1,1,0,normal_staleness
2023-08-14,2023-08-15,Monday,Tuesday,1,1,1,0,normal_staleness
2023-11-14,2023-11-15,Tuesday,Wednesday,1,1,1,0,normal_staleness
2024-02-14,2024-02-15,Wednesday,Thursday,1,1,1,0,normal_staleness
2024-05-15,2024-05-16,Wednesday,Thursday,1,1,1,0,normal_staleness
2024-09-30,2024-10-01,Monday,Tuesday,1,1,1,0,stale_bundle
2024-11-14,2024-11-15,Thursday,Friday,1,1,1,0,normal_staleness
2025-02-14,2025-02-18,Friday,Tuesday,1,1,4,0,normal_staleness
2025-05-15,2025-05-16,Thursday,Friday,1,1,1,0,normal_staleness
2025-08-14,2025-08-15,Thursday,Friday,1,1,1,0,normal_staleness
2025-11-14,2025-11-17,Friday,Monday,1,1,3,0,normal_staleness
2026-02-17,2026-02-18,Tuesday,Wednesday,1,1,1,0,normal_staleness
2026-05-15,2026-05-18,Friday,Monday,1,1,3,0,normal_staleness
