security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,eligibility_note,selected_symbol,selected_exchange,selected_type,selected_country,selected_score,mapping_source,mapping_status,mapping_notes
00507V109|COM||SH|ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD INC,00507V109,COM,1,,ATVIEUR,XS,Common Stock,,6,openfigi_cusip,needs_review,Auto-selected from OpenFIGI CUSIP mapping.
00724F101|COM||SH|ADOBE INC,ADOBE INC,00724F101,COM,1,,ADBE,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
00724F101|COM||SH|ADOBE SYSTEMS INCORPORATED,ADOBE SYSTEMS INCORPORATED,00724F101,COM,1,,ADBE,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
007903107|COM||SH|ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,007903107,COM,1,,AMD,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,,APD,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
01609W102|SPONSORED ADS||SH|ALIBABA GROUP HLDG LTD,ALIBABA GROUP HLDG LTD,01609W102,SPONSORED ADS,1,,BABA,US,ADR,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,,GOOGL,NASDAQ,Common Stock,United States,19,twelvedata_search,auto_approved,
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,,AMZN,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,,AMT,NYSE,REIT,United States,16,twelvedata_search,auto_approved,
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,,ADP,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
