strategy_key,strategy_name,cost_variant,cost_label,cost_bps,start_date,end_date,final_nav,total_return,primary_benchmark_key,primary_benchmark_total_return,excess_total_return,max_drawdown,avg_cash_weight,secondary_benchmark_key,secondary_excess_total_return
p5,P5 Cash-Aware Copy,c0,0 bps,0.0,2019-02-14,2026-05-18,1.489482567877,0.489482567877,SPY,2.000323571068,-1.510841003191,-0.626014977737,0.078459368997,,
n4,N4 Industry Weight-Change Tilt,c0,0 bps,0.0,2018-02-28,2026-05-29,3.219459550904,2.219459550904,VT,1.507418943940,0.712040606964,-0.249414519007,0.111111111111,,
n6,N6 Top-3 Industry Leaders,c0,0 bps,0.0,2018-02-28,2026-05-29,3.151802670247,2.151802670247,VT,1.507418943940,0.644383726307,-0.243000941595,0.000000000000,,
s1,S1 Exposure Regime Overlay,c0,0 bps,0.0,2019-02-14,2026-05-18,2.546536873784,1.546536873784,VT,1.499333093877,0.047203779907,-0.251241341830,0.270477398460,SPY,-0.453786697284
p5,P5 Cash-Aware Copy,c10,10 bps,10.0,2019-02-14,2026-05-18,1.468717156856,0.468717156856,SPY,2.000323571068,-1.531606414212,-0.626271716655,0.078269852716,,
n4,N4 Industry Weight-Change Tilt,c10,10 bps,10.0,2018-02-28,2026-05-29,3.180291543336,2.180291543336,VT,1.507418943940,0.672872599396,-0.250520090490,0.111111111111,,
n6,N6 Top-3 Industry Leaders,c10,10 bps,10.0,2018-02-28,2026-05-29,3.142796151248,2.142796151248,VT,1.507418943940,0.635377207308,-0.243505775912,0.000000000000,,
s1,S1 Exposure Regime Overlay,c10,10 bps,10.0,2019-02-14,2026-05-18,2.507236258214,1.507236258214,VT,1.499333093877,0.007903164337,-0.251602890113,0.270477398460,SPY,-0.493087312854
p5,P5 Cash-Aware Copy,c25,25 bps,25.0,2019-02-14,2026-05-18,1.438082916141,0.438082916141,SPY,2.000323571068,-1.562240654927,-0.626657136193,0.077982766188,,
n4,N4 Industry Weight-Change Tilt,c25,25 bps,25.0,2018-02-28,2026-05-29,3.122435539142,2.122435539142,VT,1.507418943940,0.615016595202,-0.252174808522,0.111111111111,,
n6,N6 Top-3 Industry Leaders,c25,25 bps,25.0,2018-02-28,2026-05-29,3.129335666206,2.129335666206,VT,1.507418943940,0.621916722266,-0.244263658957,0.000000000000,,
s1,S1 Exposure Regime Overlay,c25,25 bps,25.0,2019-02-14,2026-05-18,2.449420332518,1.449420332518,VT,1.499333093877,-0.049912761359,-0.252145375906,0.270477398460,SPY,-0.550903238550
p5,P5 Cash-Aware Copy,c50,50 bps,50.0,2019-02-14,2026-05-18,1.388365098476,0.388365098476,SPY,2.000323571068,-1.611958472592,-0.627300610065,0.077496641564,,
n4,N4 Industry Weight-Change Tilt,c50,50 bps,50.0,2018-02-28,2026-05-29,3.028349025198,2.028349025198,VT,1.507418943940,0.520930081258,-0.254923009901,0.111111111111,,
n6,N6 Top-3 Industry Leaders,c50,50 bps,50.0,2018-02-28,2026-05-29,3.107032207933,2.107032207933,VT,1.507418943940,0.599613263993,-0.245528484361,0.000000000000,,
s1,S1 Exposure Regime Overlay,c50,50 bps,50.0,2019-02-14,2026-05-18,2.356009120253,1.356009120253,VT,1.499333093877,-0.143323973624,-0.253049957793,0.270477398460,SPY,-0.644314450815
