rebalance_id,trade_date,signal_date,as_of_date,instrument_key,symbol,display_name,action,price,shares_before,shares_after,delta_shares,target_weight,notional,rationale_text
n6::2018-03-02,2018-03-02,2018-02-27,2017-12-31,sector::XLF,XLF,XLF,buy,24.3482300000,0.000000000000,0.013690249079,0.013690249079,0.333333333333,0.333333333333,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2018-03-02,2018-03-02,2018-02-27,2017-12-31,sector::XLI,XLI,XLI,buy,65.4335300000,0.000000000000,0.005094228194,0.005094228194,0.333333333333,0.333333333333,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2018-03-02,2018-03-02,2018-02-27,2017-12-31,sector::XLP,XLP,XLP,buy,43.1372000000,0.000000000000,0.007727282562,0.007727282562,0.333333333333,0.333333333333,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2019-03-04,2019-03-04,2019-02-27,2018-12-31,sector::XLF,XLF,XLF,buy,23.1277500000,0.013690249079,0.014505140783,0.000814891704,0.333333333333,0.018846611607,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2019-03-04,2019-03-04,2019-02-27,2018-12-31,sector::XLI,XLI,XLI,sell,67.5171600000,0.005094228194,0.004968681588,-0.000125546606,0.333333333333,0.008476550280,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2019-03-04,2019-03-04,2019-02-27,2018-12-31,sector::XLK,XLK,XLK,buy,31.2494100000,0.000000000000,0.010735283314,0.010735283314,0.333333333333,0.335471269744,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2019-03-04,2019-03-04,2019-02-27,2018-12-31,sector::XLP,XLP,XLP,sell,44.7558800000,0.007727282562,0.000000000000,-0.007727282562,0.000000000000,0.345841331071,Remove positions no longer selected by the strategy at this disclosure step.
n6::2020-02-28,2020-02-28,2020-02-25,2019-12-31,sector::XLF,XLF,XLF,buy,23.6633200000,0.014505140783,0.015499096541,0.000993955758,0.333333333333,0.023520293158,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2020-02-28,2020-02-28,2020-02-25,2019-12-31,sector::XLK,XLK,XLK,sell,39.8843300000,0.010735283314,0.009195593386,-0.001539689928,0.333333333333,0.061409501186,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2020-02-28,2020-02-28,2020-02-25,2019-12-31,sector::XLI,XLI,XLI,buy,66.1887600000,0.004968681588,0.005541123314,0.000572441726,0.333333333333,0.037889208028,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2021-03-02,2021-03-02,2021-02-25,2020-12-31,sector::XLF,XLF,XLF,buy,30.3082100000,0.015499096541,0.016596772464,0.001097675924,0.333333333333,0.033268592413,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2021-03-02,2021-03-02,2021-02-25,2020-12-31,sector::XLK,XLK,XLK,sell,61.4269200000,0.009195593386,0.008188892837,-0.001006700549,0.333333333333,0.061838514096,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2021-03-02,2021-03-02,2021-02-25,2020-12-31,sector::XLI,XLI,XLI,buy,85.6231700000,0.005541123314,0.005874793764,0.000333670450,0.333333333333,0.028569921683,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2022-03-08,2022-03-08,2022-03-03,2021-12-31,sector::XLK,XLK,XLK,sell,67.4406500000,0.008188892837,0.008086940387,-0.000101952450,0.333333333333,0.006875739505,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2022-03-08,2022-03-08,2022-03-03,2021-12-31,sector::XLY,XLY,XLY,buy,76.3756500000,0.000000000000,0.007140869062,0.007140869062,0.333333333333,0.545388516190,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2022-03-08,2022-03-08,2022-03-03,2021-12-31,sector::XLF,XLF,XLF,sell,33.1261900000,0.016596772464,0.016463967519,-0.000132804945,0.333333333333,0.004399321855,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2022-03-08,2022-03-08,2022-03-03,2021-12-31,sector::XLI,XLI,XLI,sell,90.9161200000,0.005874793764,0.000000000000,-0.005874793764,0.000000000000,0.534113454830,Remove positions no longer selected by the strategy at this disclosure step.
n6::2023-03-10,2023-03-10,2023-03-07,2022-12-31,sector::XLK,XLK,XLK,sell,65.0308530000,0.008086940387,0.007734562993,-0.000352377394,0.333333333333,0.022915402487,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2023-03-10,2023-03-10,2023-03-07,2022-12-31,sector::XLF,XLF,XLF,sell,31.2262200000,0.016463967519,0.016107784709,-0.000356182811,0.333333333333,0.011122242802,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2023-03-10,2023-03-10,2023-03-07,2022-12-31,sector::XLY,XLY,XLY,buy,65.6709400000,0.007140869062,0.007659175109,0.000518306047,0.333333333333,0.034037645289,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2024-03-01,2024-03-01,2024-02-27,2023-12-31,sector::XLK,XLK,XLK,sell,102.7009500000,0.007734562993,0.006836852723,-0.000897710270,0.333333333333,0.092195697597,N6 Top-3 Industry Leaders with T+3 execution lag.
n6::2024-03-01,2024-03-01,2024-02-27,2023-12-31,sector::XLF,XLF,XLF,buy,38.9279400000,0.016107784709,0.018037205915,0.001929421206,0.333333333333,0.075108392959,N6 Top-3 Industry Leaders with T+3 execution lag.
