date,strategy_key,strategy_name,instrument_key,symbol,display_name,shares,market_value,portfolio_weight,entry_date,source_signal_id,source_rebalance_id
2018-03-06,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.333333333333,0.333333333333,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-03-06,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.333333333333,0.333333333333,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-03-06,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.333333333333,0.333333333333,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.318480333357,0.328594189482,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.325557517229,0.335896120731,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-03-29,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.325182980309,0.335509689787,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.317094212900,0.335445094754,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.316486224574,0.334801920917,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-04-30,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.311713495449,0.329752984329,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.313975240205,0.331539384601,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.326214847544,0.344463689977,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-05-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.306832362036,0.323996925422,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.308484132752,0.326621872572,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.315153011316,0.333682856827,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-06-29,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.320831547889,0.339695270601,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.324262243773,0.325491741586,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.338427588148,0.339710796377,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-07-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.333532813216,0.334797462037,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.328670805937,0.327775759881,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.339219557817,0.338295785089,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-08-31,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.334840302040,0.333928455030,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.321377473002,0.319426849085,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.346596908387,0.344493213275,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
2018-09-28,n6,N6 Top-3 Industry Leaders,sector::XLP,XLP,XLP,0.007654638627,0.338132255928,0.336079937639,2018-03-06,2017-12-31::sector::XLP::top3_leader,n6::2018-03-06
2018-10-31,n6,N6 Top-3 Industry Leaders,sector::XLF,XLF,XLF,0.013444427325,0.306229098957,0.318967453885,2018-03-06,2017-12-31::sector::XLF::top3_leader,n6::2018-03-06
2018-10-31,n6,N6 Top-3 Industry Leaders,sector::XLI,XLI,XLI,0.005011514707,0.308931015347,0.321781763154,2018-03-06,2017-12-31::sector::XLI::top3_leader,n6::2018-03-06
