rebalance_id,execution_date,side,security_key,issuer_name,symbol,shares,desired_shares,fill_ratio,execution_price,execution_price_raw,execution_price_basis,execution_value,source_signal_id,source_signal_date,source_report_period,holding_entry_trade_date,rationale_text
P5CAC-R001,2019-02-21,BUY,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.051505691636,0.051505691636,1.000000000000,19.41533000,291.22999000,split_adjusted_close,1.000000000000,holding:000156761919003482:1,2019-02-13,2018-12-31,2019-02-21,Seed initial sleeve from first disclosed common-equity filing.
P5CAC-R003,2020-02-11,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.051262067154,0.051262067154,1.000000000000,51.62533000,774.37998000,split_adjusted_close,2.646421133295,transition:000156761920002012:1,2020-02-04,2019-12-31,2019-02-21,Copy disclosed sale or reduction and keep the proceeds in cash.
P5CAC-R004,2020-05-22,SELL,88160R101|COM||SH|TESLA INC,TESLA INC,TSLA,0.000243624483,0.000243624483,1.000000000000,54.45867000,816.88002000,split_adjusted_close,0.013267465307,transition:000156761920002012:1,2020-05-15,2020-03-31,2019-02-21,Copy disclosed sale or reduction and keep the proceeds in cash.
P5CAC-R004,2020-05-22,BUY,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,ADP,0.000216762192,0.003571823276,0.060686706972,116.99851000,134.87000000,split_adjusted_close,0.025360853546,transition:000156761920010560:1,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,BRK.B,0.000162005193,0.002669533424,0.060686706972,174.92999000,174.92999000,split_adjusted_close,0.028339566730,transition:000156761920010560:3,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,BAC,0.008672766346,0.142910478734,0.060686706972,19.58963000,22.66000000,split_adjusted_close,0.169896283797,transition:000156761920010560:2,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,097023105|COM||SH|BOEING CO,BOEING CO,BA,0.001807087110,0.029777313688,0.060686706972,137.53000000,137.53000000,split_adjusted_close,0.248528690264,transition:000156761920010560:4,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,BKNG,0.000021902800,0.000360915941,0.060686706972,41.58481000,1631.29997000,split_adjusted_close,0.000910823774,transition:000156761920010560:5,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,BP,0.012816206999,0.211186397133,0.060686706972,16.96123000,22.98000000,split_adjusted_close,0.217378634642,transition:000156761920010560:6,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,11135F101|COM||SH|BROADCOM INC,BROADCOM INC,AVGO,0.000121975938,0.002009928429,0.060686706972,24.16096000,276.65001000,split_adjusted_close,0.002947055749,transition:000156761920010560:7,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,136385101|COM||SH|CANADIAN NAT RES LTD,CANADIAN NAT RES LTD,CNQ,0.011374440843,0.187428868870,0.060686706972,5.47067000,9.06499900,split_adjusted_close,0.062225812288,transition:000156761920010560:8,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,CCL,0.013099818425,0.215859766973,0.060686706972,14.30668000,14.46000000,split_adjusted_close,0.187414910269,transition:000156761920010560:9,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,17275R102|COM||SH|CISCO SYS INC,CISCO SYS INC,CSCO,0.004715686422,0.077705426062,0.060686706972,37.71639000,44.90000000,split_adjusted_close,0.177858668192,transition:000156761920010560:10,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,172967424|COM NEW||SH|CITIGROUP INC,CITIGROUP INC,C,0.004679898757,0.077115714305,0.060686706972,35.78500000,44.09999800,split_adjusted_close,0.167470177018,transition:000156761920010560:11,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
P5CAC-R004,2020-05-22,BUY,254687106|COM DISNEY||SH|DISNEY WALT CO,DISNEY WALT CO,DIS,0.001938217285,0.031938086312,0.060686706972,115.22823000,118.01999700,split_adjusted_close,0.223337347134,transition:000156761920010560:12,2020-05-15,2020-03-31,2020-05-22,Copy disclosed buy or accumulation only to the extent funded by available cash.
