rebalance_id,trade_date,next_rebalance_trade_date,report_periods,signal_dates,raw_signal_count,positions_bought_count,positions_sold_count,cash_before_rebalance,cash_after_rebalance,buy_fill_ratio,buy_value_requested,buy_value_filled,sell_value_filled,position_count_end
P5CAC-R001,2019-02-21,2019-08-13,2018-12-31,2019-02-13,1,1,0,1.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,0.000000000000,1
P5CAC-R002,2019-08-13,2020-02-11,2019-06-30,2019-08-06,1,0,0,0.000000000000,0.000000000000,0.000000000000,16.521473038940,0.000000000000,0.000000000000,1
P5CAC-R003,2020-02-11,2020-05-22,2019-12-31,2020-02-04,1,0,1,0.000000000000,2.646421133295,1.000000000000,0.000000000000,0.000000000000,2.646421133295,1
P5CAC-R004,2020-05-22,2020-08-21,2020-03-31,2020-05-15,24,23,1,2.646421133295,-0.000000000000,0.060686706972,43.826543427957,2.659688598602,0.013267465307,23
P5CAC-R005,2020-08-21,2020-11-23,2020-06-30,2020-08-14,27,8,19,-0.000000000000,-0.000000000000,0.125017536019,17.033206527459,2.129449510560,2.129449510560,12
P5CAC-R006,2020-11-23,2021-05-24,2020-09-30,2020-11-16,8,1,7,-0.000000000000,0.965168041152,1.000000000000,0.813032480727,0.813032480727,1.778200521879,6
P5CAC-R007,2021-05-24,2022-10-18,2020-12-31|2021-03-31,2021-05-17,18,11,6,0.965168041152,0.000000000000,0.509193892683,186.655167204584,3.432175152098,2.467007110947,11
P5CAC-R008,2022-10-18,2022-11-21,2021-09-30,2022-10-11,12,1,11,0.000000000000,0.000000000000,0.736547943388,2.052075052421,1.511451659539,1.511451659539,1
P5CAC-R009,2022-11-21,2022-12-30,2022-09-30,2022-11-14,4,1,0,0.000000000000,0.000000000000,0.000000000000,0.080592303625,0.000000000000,0.000000000000,2
P5CAC-R010,2022-12-30,2023-02-22,2022-03-31|2022-06-30,2022-12-22,56,0,0,0.000000000000,0.000000000000,0.000000000000,549.227274542827,0.000000000000,0.000000000000,2
P5CAC-R011,2023-02-22,2023-05-22,2022-12-31,2023-02-14,5,0,0,0.000000000000,0.000000000000,0.000000000000,0.181807086361,0.000000000000,0.000000000000,2
P5CAC-R012,2023-05-22,2023-08-21,2023-03-31,2023-05-15,12,4,1,0.000000000000,0.000000000000,0.608519283289,3.208893777457,1.952673741609,1.952673741609,4
P5CAC-R013,2023-08-21,2023-11-21,2023-06-30,2023-08-14,5,0,0,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,4
P5CAC-R014,2023-11-21,2024-02-22,2023-09-30,2023-11-14,8,3,0,0.000000000000,-0.000000000000,0.000000000000,4.746500381936,0.000000000000,0.000000000000,6
P5CAC-R015,2024-02-22,2024-05-22,2023-12-31,2024-02-14,5,0,0,-0.000000000000,-0.000000000000,-0.000000000000,4.759987027991,0.000000000000,0.000000000000,6
P5CAC-R016,2024-05-22,2024-10-07,2024-03-31,2024-05-15,34,3,1,-0.000000000000,-0.000000000000,0.000000000000,0.226647985736,0.000000000000,0.000000000000,6
P5CAC-R017,2024-10-07,2024-11-21,2024-06-30,2024-09-30,26,1,6,-0.000000000000,2.416095693719,1.000000000000,0.383827312796,0.383827312796,2.799923006516,1
P5CAC-R018,2024-11-21,2025-02-24,2024-09-30,2024-11-14,25,25,0,2.416095693719,0.000000000000,0.008957660098,269.723975604274,2.416095693719,0.000000000000,26
P5CAC-R019,2025-02-24,2025-05-22,2024-12-31,2025-02-14,7,5,2,0.000000000000,-0.000000000000,0.006769954977,1.817898541642,0.012307091279,0.012307091279,26
P5CAC-R020,2025-05-22,2025-08-21,2025-03-31,2025-05-15,11,6,5,-0.000000000000,-0.000000000000,0.016196879725,0.490006374145,0.007936574307,0.007936574307,25
P5CAC-R021,2025-08-21,2025-11-21,2025-06-30,2025-08-14,21,1,20,-0.000000000000,0.205189209669,1.000000000000,0.443844235472,0.443844235472,0.649033445141,14
P5CAC-R022,2025-11-21,2026-02-24,2025-09-30,2025-11-14,11,1,10,0.205189209669,-0.000000000000,0.124933864488,13.554217222039,1.693380737660,1.488191527990,5
P5CAC-R023,2026-02-24,,2025-12-31,2026-02-17,1,0,1,-0.000000000000,0.129918458705,1.000000000000,0.000000000000,0.000000000000,0.129918458705,4
