date,instrument_key,issuer_name,symbol,sector,shares_end,close_price,market_value_end,weight_end,rebalance_id
2019-02-14,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.49966000,0.258677005144,0.258677005144,S1_T1-R001
2019-02-14,sector::XLF,XLF,XLF,Financials,0.020716810053,22.56961000,0.467570323346,0.467570323346,S1_T1-R001
2019-02-14,sector::XLI,XLI,XLI,Industrials,0.004129477917,66.29232000,0.273752671509,0.273752671509,S1_T1-R001
2019-02-15,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.92119000,0.261127363596,0.257001893545,
2019-02-15,sector::XLF,XLF,XLF,Financials,0.020716810053,23.04925800,0.477507099855,0.469963113607,
2019-02-15,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.17988000,0.277417830930,0.273034992848,
2019-02-19,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,45.15261000,0.262472610560,0.257829037626,
2019-02-19,sector::XLF,XLF,XLF,Financials,0.020716810053,23.08414100,0.478229764340,0.469769091870,
2019-02-19,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.15326000,0.277307904227,0.272401870505,
2019-02-20,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,45.06995800,0.261992153590,0.256372286813,
2019-02-20,sector::XLF,XLF,XLF,Financials,0.020716810053,23.23240000,0.481301217881,0.470977058600,
2019-02-20,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.47278000,0.278627355011,0.272650654587,
2019-02-21,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,45.20220000,0.262760877767,0.257855511283,
2019-02-21,sector::XLF,XLF,XLF,Financials,0.020716810053,23.11030000,0.478771695374,0.469833718580,
2019-02-21,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.19763000,0.277491129163,0.272310770137,
2019-02-22,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.98731000,0.261511719872,0.256664718799,
2019-02-22,sector::XLF,XLF,XLF,Financials,0.020716810053,23.07542000,0.478049093039,0.469188670005,
2019-02-22,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.64142000,0.279323750167,0.274146611196,
2019-02-25,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.73935000,0.260070325708,0.254838469357,
2019-02-25,sector::XLF,XLF,XLF,Financials,0.020716810053,23.17135000,0.480036456628,0.470379523343,
2019-02-25,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.90769000,0.280423306252,0.274782007300,
2019-02-26,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.76415000,0.260214488377,0.255498209615,
2019-02-26,sector::XLF,XLF,XLF,Financials,0.020716810053,23.10158000,0.478591044790,0.469916782284,
2019-02-26,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.72130000,0.279653612863,0.274585008101,
2019-02-27,sector::XLP,XLP,XLP,Consumer Staples,0.005813010822,44.69803000,0.259830132101,0.254490648823,
2019-02-27,sector::XLF,XLF,XLF,Financials,0.020716810053,23.18879000,0.480397757795,0.470525631826,
2019-02-27,sector::XLI,XLI,XLI,Industrials,0.004129477917,67.98757000,0.280753168948,0.274983719351,
2019-02-28,sector::XLY,XLY,XLY,Consumer Discretionary,0.006515781700,48.42446000,0.315523210304,0.309332628276,S1_T1-R002
2019-02-28,sector::XLV,XLV,XLV,Health Care,0.004139871205,81.01512400,0.335392179046,0.328811766802,S1_T1-R002
2019-02-28,sector::XLK,XLK,XLK,Technology,0.011846338414,31.15708000,0.369097313685,0.361855604922,S1_T1-R002
2019-03-01,sector::XLY,XLY,XLY,Consumer Discretionary,0.006515781700,48.81551000,0.318071206738,0.308861516700,
2019-03-01,sector::XLV,XLV,XLV,Health Care,0.004139871205,82.16427000,0.340149495482,0.330300532879,
2019-03-01,sector::XLK,XLK,XLK,Technology,0.011846338414,31.36813000,0.371597483408,0.360837950421,
2019-03-04,sector::XLY,XLY,XLY,Consumer Discretionary,0.006515781700,48.66173000,0.317069209828,0.310001529386,
2019-03-04,sector::XLV,XLV,XLV,Health Care,0.004139871205,81.05048300,0.335538560752,0.328059186375,
2019-03-04,sector::XLK,XLK,XLK,Technology,0.011846338414,31.24941000,0.370191086111,0.361939284239,
2019-03-05,sector::XLY,XLY,XLY,Consumer Discretionary,0.006515781700,48.78476000,0.317870846451,0.310929733018,
