rebalance_id,execution_date,side,instrument_key,issuer_name,symbol,shares,execution_price,execution_value,sector,rationale_text
S1_T3-R001,2019-02-19,BUY,sector::XLP,XLP,XLP,0.005728949116,45.15261000,0.258677005144,Consumer Staples,"exposure_state=initial; selected=Consumer Staples,Financials,Industrials"
S1_T3-R001,2019-02-19,BUY,sector::XLF,XLF,XLF,0.020255045373,23.08414100,0.467570323346,Financials,"exposure_state=initial; selected=Consumer Staples,Financials,Industrials"
S1_T3-R001,2019-02-19,BUY,sector::XLI,XLI,XLI,0.004076535845,67.15326000,0.273752671509,Industrials,"exposure_state=initial; selected=Consumer Staples,Financials,Industrials"
S1_T3-R002,2019-03-04,SELL,sector::XLP,XLP,XLP,0.005728949116,44.75588000,0.256404159161,Consumer Staples,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R002,2019-03-04,SELL,sector::XLF,XLF,XLF,0.020255045373,23.12775000,0.468453625620,Financials,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R002,2019-03-04,SELL,sector::XLI,XLI,XLI,0.004076535845,67.51716000,0.275236122904,Industrials,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R002,2019-03-04,BUY,sector::XLY,XLY,XLY,0.006357391671,48.66173000,0.309361676986,Consumer Discretionary,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R002,2019-03-04,BUY,sector::XLV,XLV,XLV,0.004057257065,81.05048300,0.328842644754,Health Care,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R002,2019-03-04,BUY,sector::XLK,XLK,XLK,0.011580685394,31.24941000,0.361889585945,Technology,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R003,2019-05-16,SELL,sector::XLY,XLY,XLY,0.001701326638,51.66940000,0.087906526608,Consumer Discretionary,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R003,2019-05-16,SELL,sector::XLV,XLV,XLV,0.000805246535,78.63613000,0.063321471203,Health Care,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R003,2019-05-16,SELL,sector::XLK,XLK,XLK,0.003211999947,33.62829000,0.108014065688,Technology,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R004,2019-08-09,BUY,sector::XLY,XLY,XLY,0.001579740772,52.68802000,0.083233413381,Consumer Discretionary,"exposure_state=expanding; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R004,2019-08-09,BUY,sector::XLV,XLV,XLV,0.001036392229,81.43864000,0.084402373671,Health Care,"exposure_state=expanding; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R004,2019-08-09,BUY,sector::XLK,XLK,XLK,0.002618856834,34.97949000,0.091606276447,Technology,"exposure_state=expanding; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R005,2019-10-24,SELL,sector::XLY,XLY,XLY,0.001559363144,54.34148000,0.084738101113,Consumer Discretionary,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R005,2019-10-24,SELL,sector::XLV,XLV,XLV,0.001005219662,82.27608000,0.082705533290,Health Care,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R005,2019-10-24,SELL,sector::XLK,XLK,XLK,0.002896054706,36.73908000,0.106398385536,Technology,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R006,2020-02-07,BUY,sector::XLY,XLY,XLY,0.000189695010,57.90726000,0.010984718281,Consumer Discretionary,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R006,2020-02-07,SELL,sector::XLV,XLV,XLV,0.000068233872,93.16760000,0.006357186095,Health Care,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R006,2020-02-07,SELL,sector::XLK,XLK,XLK,0.000765301006,44.99342000,0.034433509594,Technology,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T3-R007,2020-02-28,SELL,sector::XLY,XLY,XLY,0.004866137670,52.27494000,0.254377054747,Consumer Discretionary,exposure_state=stable; selected=Technology
S1_T3-R007,2020-02-28,SELL,sector::XLV,XLV,XLV,0.003214949226,83.73691000,0.269209913967,Health Care,exposure_state=stable; selected=Technology
S1_T3-R007,2020-02-28,BUY,sector::XLK,XLK,XLK,0.013724091989,39.88433000,0.547376213857,Technology,exposure_state=stable; selected=Technology
S1_T3-R008,2020-05-20,BUY,sector::XLK,XLK,XLK,0.006294225242,44.46278000,0.279858752204,Technology,exposure_state=expanding; selected=Technology
S1_T3-R009,2020-08-19,SELL,sector::XLK,XLK,XLK,0.013672251900,52.69895000,0.720513319272,Technology,exposure_state=contracting; selected=Technology
S1_T3-R010,2020-11-19,SELL,sector::XLK,XLK,XLK,0.000390633951,55.89281000,0.021833629227,Technology,exposure_state=contracting; selected=Technology
S1_T3-R011,2021-03-02,BUY,sector::XLY,XLY,XLY,0.003955623051,75.22637000,0.297567163240,Consumer Discretionary,"exposure_state=contracting; selected=Consumer Discretionary,Technology"
S1_T3-R011,2021-03-02,SELL,sector::XLK,XLK,XLK,0.005442534488,61.42692000,0.334318130593,Technology,"exposure_state=contracting; selected=Consumer Discretionary,Technology"
S1_T3-R012,2021-05-20,BUY,sector::XLY,XLY,XLY,0.003779508084,78.41367000,0.296365099648,Consumer Discretionary,"exposure_state=expanding; selected=Consumer Discretionary,Technology"
S1_T3-R012,2021-05-20,BUY,sector::XLK,XLK,XLK,0.007586791365,63.62806000,0.482732816204,Technology,"exposure_state=expanding; selected=Consumer Discretionary,Technology"
S1_T3-R013,2021-08-19,SELL,sector::XLY,XLY,XLY,0.001640155566,81.67792000,0.133964495088,Consumer Discretionary,"exposure_state=stable; selected=Consumer Discretionary,Technology"
S1_T3-R013,2021-08-19,SELL,sector::XLK,XLK,XLK,0.004190937775,71.70427000,0.300508133802,Technology,"exposure_state=stable; selected=Consumer Discretionary,Technology"
