strategy_key,strategy_name,subperiod_key,subperiod_label,subperiod_start_date,subperiod_end_date,row_count,benchmark_key,strategy_total_return,benchmark_total_return,excess_total_return,strategy_max_drawdown,benchmark_max_drawdown,avg_cash_weight,avg_gross_exposure,secondary_benchmark_key,secondary_benchmark_total_return,secondary_excess_total_return
p5,P5 Cash-Aware Copy,2019_2021,2019-2021,2019-02-14,2021-12-31,727,SPY,1.269742329965,0.820306923771,0.449435406194,-0.440509009708,-0.337196508085,0.145892916915,0.854107083085,,,
p5,P5 Cash-Aware Copy,2022_2023,2022-2023,2022-01-03,2023-12-29,501,SPY,0.061767651561,0.026362997026,0.035404654535,-0.394483972091,-0.244997213559,0.000000000000,1.000000000000,,,
p5,P5 Cash-Aware Copy,2024_2026,2024-2026,2024-01-02,2026-05-18,599,SPY,-0.393297644970,0.605655878715,-0.998953523685,-0.626014977737,-0.187560358567,0.062238925812,0.937761074188,,,
n4,N4 Industry Weight-Change Tilt,2019_2021,2019-2021,2019-01-31,2021-12-31,37,VT,1.157986330296,0.618579444741,0.539406885555,-0.168530109207,-0.221544014284,0.027027027027,0.972972972973,,,
n4,N4 Industry Weight-Change Tilt,2022_2023,2022-2023,2022-01-31,2023-12-29,26,VT,-0.070775868412,0.048278700670,-0.119054569082,-0.195891045600,-0.219406779616,0.000000000000,1.000000000000,,,
n4,N4 Industry Weight-Change Tilt,2024_2026,2024-2026,2024-01-31,2026-05-29,34,VT,0.689322866046,0.602177794517,0.087145071529,-0.086583598324,-0.062201488626,0.000000000000,1.000000000000,,,
n6,N6 Top-3 Industry Leaders,2019_2021,2019-2021,2019-01-31,2021-12-31,37,VT,0.904853266998,0.618579444741,0.286273822257,-0.237873900984,-0.221544014284,0.000000000000,1.000000000000,,,
n6,N6 Top-3 Industry Leaders,2022_2023,2022-2023,2022-01-31,2023-12-29,26,VT,0.104945383970,0.048278700670,0.056666683300,-0.222780984477,-0.219406779616,0.000000000000,1.000000000000,,,
n6,N6 Top-3 Industry Leaders,2024_2026,2024-2026,2024-01-31,2026-05-29,34,VT,0.606992258140,0.602177794517,0.004814463623,-0.096233730092,-0.062201488626,0.000000000000,1.000000000000,,,
s1,S1 Exposure Regime Overlay,2019_2021,2019-2021,2019-02-14,2021-12-31,727,VT,0.992619958968,0.604281825113,0.388338133855,-0.225975349480,-0.342378183512,0.227075535116,0.772924464884,SPY,0.820306923771,0.172313035197
s1,S1 Exposure Regime Overlay,2022_2023,2022-2023,2022-01-03,2023-12-29,501,VT,-0.088091483320,-0.005469227095,-0.082622256225,-0.251241341828,-0.261674685024,0.235385520082,0.764614479918,SPY,0.026362997026,-0.114454480346
s1,S1 Exposure Regime Overlay,2024_2026,2024-2026,2024-01-02,2026-05-18,596,VT,0.372409392511,0.570775965934,-0.198366573423,-0.182876019891,-0.165152212608,0.352917307383,0.647082692617,SPY,0.605655878715,-0.233246486204
