signal_date,effective_trade_date,fund,signal_family,signal_name,signal_direction,signal_strength,target_level,source_snapshot,source_public_date,staleness_days,sector,industry,security_key,confidence_level,notes
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.02828600,0.02828600,2017-12-31,2018-02-27,58,Communication Services,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.10071100,0.10071100,2017-12-31,2018-02-27,58,Consumer Discretionary,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.13471200,0.13471200,2017-12-31,2018-02-27,58,Consumer Staples,,,high,Sector ranked in current top-3 NBIM weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.05571100,0.05571100,2017-12-31,2018-02-27,58,Energy,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.24349800,0.24349800,2017-12-31,2018-02-27,58,Financials,,,high,Sector ranked in current top-3 NBIM weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.09755700,0.09755700,2017-12-31,2018-02-27,58,Health Care,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.14256300,0.14256300,2017-12-31,2018-02-27,58,Industrials,,,high,Sector ranked in current top-3 NBIM weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.05961700,0.05961700,2017-12-31,2018-02-27,58,Materials,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.00000000,0.00000000,2017-12-31,2018-02-27,58,Real Estate,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.11135700,0.11135700,2017-12-31,2018-02-27,58,Technology,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.02598600,0.02598600,2017-12-31,2018-02-27,58,Utilities,,,low,Sector not in current NBIM top-3 weights.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.02828600,2017-12-31,2018-02-27,58,Communication Services,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.10071100,2017-12-31,2018-02-27,58,Consumer Discretionary,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.13471200,2017-12-31,2018-02-27,58,Consumer Staples,,,medium,No prior-period NBIM weight-change row for this sector.
