event_date,pif_trade_date_active,nbim_trade_date_active,pif_exposure_state,pif_exposure_score,pif_common_equity_holding_count,pif_sector_state__communication_services,pif_sector_score__communication_services,pif_sector_weight__communication_services,nbim_sector_state__communication_services,nbim_sector_score__communication_services,nbim_sector_weight__communication_services,nbim_top3__communication_services,cross_fund_consensus__communication_services,pif_sector_state__consumer_discretionary,pif_sector_score__consumer_discretionary,pif_sector_weight__consumer_discretionary,nbim_sector_state__consumer_discretionary,nbim_sector_score__consumer_discretionary,nbim_sector_weight__consumer_discretionary,nbim_top3__consumer_discretionary,cross_fund_consensus__consumer_discretionary,pif_sector_state__consumer_staples,pif_sector_score__consumer_staples,pif_sector_weight__consumer_staples,nbim_sector_state__consumer_staples,nbim_sector_score__consumer_staples,nbim_sector_weight__consumer_staples,nbim_top3__consumer_staples,cross_fund_consensus__consumer_staples,pif_sector_state__energy,pif_sector_score__energy,pif_sector_weight__energy,nbim_sector_state__energy,nbim_sector_score__energy,nbim_sector_weight__energy,nbim_top3__energy,cross_fund_consensus__energy,pif_sector_state__financials,pif_sector_score__financials,pif_sector_weight__financials,nbim_sector_state__financials,nbim_sector_score__financials,nbim_sector_weight__financials,nbim_top3__financials,cross_fund_consensus__financials,pif_sector_state__health_care,pif_sector_score__health_care,pif_sector_weight__health_care,nbim_sector_state__health_care,nbim_sector_score__health_care,nbim_sector_weight__health_care,nbim_top3__health_care,cross_fund_consensus__health_care,pif_sector_state__industrials,pif_sector_score__industrials,pif_sector_weight__industrials,nbim_sector_state__industrials,nbim_sector_score__industrials,nbim_sector_weight__industrials,nbim_top3__industrials,cross_fund_consensus__industrials,pif_sector_state__materials,pif_sector_score__materials,pif_sector_weight__materials,nbim_sector_state__materials,nbim_sector_score__materials,nbim_sector_weight__materials,nbim_top3__materials,cross_fund_consensus__materials,pif_sector_state__real_estate,pif_sector_score__real_estate,pif_sector_weight__real_estate,nbim_sector_state__real_estate,nbim_sector_score__real_estate,nbim_sector_weight__real_estate,nbim_top3__real_estate,cross_fund_consensus__real_estate,pif_sector_state__technology,pif_sector_score__technology,pif_sector_weight__technology,nbim_sector_state__technology,nbim_sector_score__technology,nbim_sector_weight__technology,nbim_top3__technology,cross_fund_consensus__technology,pif_sector_state__utilities,pif_sector_score__utilities,pif_sector_weight__utilities,nbim_sector_state__utilities,nbim_sector_score__utilities,nbim_sector_weight__utilities,nbim_top3__utilities,cross_fund_consensus__utilities
2018-02-28,,2018-02-28,,,,,0.00000000,0.00000000,neutral,0.00000000,0.02828600,0,,,0.00000000,0.00000000,neutral,0.00000000,0.10071100,0,,,0.00000000,0.00000000,neutral,0.00000000,0.13471200,1,,,0.00000000,0.00000000,neutral,0.00000000,0.05571100,0,,,0.00000000,0.00000000,neutral,0.00000000,0.24349800,1,,,0.00000000,0.00000000,neutral,0.00000000,0.09755700,0,,,0.00000000,0.00000000,neutral,0.00000000,0.14256300,1,,,0.00000000,0.00000000,neutral,0.00000000,0.05961700,0,,,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,,,0.00000000,0.00000000,neutral,0.00000000,0.11135700,0,,,0.00000000,0.00000000,neutral,0.00000000,0.02598600,0,
2019-02-14,2019-02-14,2018-02-28,initial,0.00000000,1,neutral,0.00000000,0.00000000,neutral,0.00000000,0.02828600,0,no,neutral,0.00000000,1.00000000,neutral,0.00000000,0.10071100,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.13471200,1,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.05571100,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.24349800,1,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.09755700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.14256300,1,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.05961700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.11135700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.02598600,0,no
2019-02-28,2019-02-14,2019-02-28,initial,0.00000000,1,neutral,0.00000000,0.00000000,neutral,0.00152800,0.02981400,0,no,neutral,0.00000000,1.00000000,overweight,0.00692500,0.10763600,0,no,neutral,0.00000000,0.00000000,underweight,0.01538500,0.11932700,0,no,neutral,0.00000000,0.00000000,neutral,0.00283400,0.05854500,0,no,neutral,0.00000000,0.00000000,underweight,0.00638100,0.23711700,1,no,neutral,0.00000000,0.00000000,overweight,0.01685700,0.11441400,0,no,neutral,0.00000000,0.00000000,underweight,0.01319700,0.12936600,1,no,neutral,0.00000000,0.00000000,underweight,0.01010000,0.04951700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,neutral,0.00000000,0.00000000,overweight,0.01455500,0.12591200,1,no,neutral,0.00000000,0.00000000,neutral,0.00236600,0.02835200,0,no
2019-05-14,2019-05-14,2019-02-28,stable,0.00000000,1,neutral,0.00000000,0.00000000,neutral,0.00152800,0.02981400,0,no,neutral,0.00000000,1.00000000,overweight,0.00692500,0.10763600,0,no,neutral,0.00000000,0.00000000,underweight,0.01538500,0.11932700,0,no,neutral,0.00000000,0.00000000,neutral,0.00283400,0.05854500,0,no,neutral,0.00000000,0.00000000,underweight,0.00638100,0.23711700,1,no,neutral,0.00000000,0.00000000,overweight,0.01685700,0.11441400,0,no,neutral,0.00000000,0.00000000,underweight,0.01319700,0.12936600,1,no,neutral,0.00000000,0.00000000,underweight,0.01010000,0.04951700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,neutral,0.00000000,0.00000000,overweight,0.01455500,0.12591200,1,no,neutral,0.00000000,0.00000000,neutral,0.00236600,0.02835200,0,no
2019-08-07,2019-08-07,2019-02-28,expanding,1.00000000,2,neutral,0.00000000,0.00000000,neutral,0.00152800,0.02981400,0,no,negative,0.64620941,0.35379059,overweight,0.00692500,0.10763600,0,no,neutral,0.00000000,0.00000000,underweight,0.01538500,0.11932700,0,no,neutral,0.00000000,0.00000000,neutral,0.00283400,0.05854500,0,no,neutral,0.00000000,0.00000000,underweight,0.00638100,0.23711700,1,no,neutral,0.00000000,0.00000000,overweight,0.01685700,0.11441400,0,no,neutral,0.00000000,0.00000000,underweight,0.01319700,0.12936600,1,no,neutral,0.00000000,0.00000000,underweight,0.01010000,0.04951700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,positive,0.74620941,0.64620941,overweight,0.01455500,0.12591200,1,yes,neutral,0.00000000,0.00000000,neutral,0.00236600,0.02835200,0,no
2019-10-22,2019-10-22,2019-02-28,stable,0.00000000,2,neutral,0.00000000,0.00000000,neutral,0.00152800,0.02981400,0,no,positive,0.11941818,0.47320877,overweight,0.00692500,0.10763600,0,yes,neutral,0.00000000,0.00000000,underweight,0.01538500,0.11932700,0,no,neutral,0.00000000,0.00000000,neutral,0.00283400,0.05854500,0,no,neutral,0.00000000,0.00000000,underweight,0.00638100,0.23711700,1,no,neutral,0.00000000,0.00000000,overweight,0.01685700,0.11441400,0,no,neutral,0.00000000,0.00000000,underweight,0.01319700,0.12936600,1,no,neutral,0.00000000,0.00000000,underweight,0.01010000,0.04951700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,negative,0.11941818,0.52679123,overweight,0.01455500,0.12591200,1,no,neutral,0.00000000,0.00000000,neutral,0.00236600,0.02835200,0,no
2020-02-05,2020-02-05,2019-02-28,stable,0.10000000,2,neutral,0.00000000,0.00000000,neutral,0.00152800,0.02981400,0,no,negative,0.56570507,0.00750370,overweight,0.00692500,0.10763600,0,no,neutral,0.00000000,0.00000000,underweight,0.01538500,0.11932700,0,no,neutral,0.00000000,0.00000000,neutral,0.00283400,0.05854500,0,no,neutral,0.00000000,0.00000000,underweight,0.00638100,0.23711700,1,no,neutral,0.00000000,0.00000000,overweight,0.01685700,0.11441400,0,no,neutral,0.00000000,0.00000000,underweight,0.01319700,0.12936600,1,no,neutral,0.00000000,0.00000000,underweight,0.01010000,0.04951700,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,positive,0.46570507,0.99249630,overweight,0.01455500,0.12591200,1,yes,neutral,0.00000000,0.00000000,neutral,0.00236600,0.02835200,0,no
2020-02-26,2020-02-05,2020-02-26,stable,0.10000000,2,neutral,0.00000000,0.00000000,neutral,0.00264000,0.02717400,0,no,negative,0.56570507,0.00750370,neutral,0.00087500,0.10676100,0,no,neutral,0.00000000,0.00000000,neutral,0.00431000,0.11501700,0,no,neutral,0.00000000,0.00000000,underweight,0.00856900,0.04997600,0,no,neutral,0.00000000,0.00000000,neutral,0.00112500,0.23599200,1,no,neutral,0.00000000,0.00000000,neutral,0.00136000,0.11305400,0,no,neutral,0.00000000,0.00000000,neutral,0.00442600,0.13379200,1,no,neutral,0.00000000,0.00000000,underweight,0.00511600,0.04440100,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,positive,0.46570507,0.99249630,overweight,0.01949900,0.14541100,1,yes,neutral,0.00000000,0.00000000,neutral,0.00006900,0.02842100,0,no
2020-05-18,2020-05-18,2020-02-26,expanding,2.20000000,24,positive,0.44664527,0.14664527,neutral,0.00264000,0.02717400,0,no,positive,0.40770200,0.11520570,neutral,0.00087500,0.10676100,0,no,neutral,0.00000000,0.00000000,neutral,0.00431000,0.11501700,0,no,positive,0.74781443,0.24781443,underweight,0.00856900,0.04997600,0,no,positive,0.41127747,0.11127747,neutral,0.00112500,0.23599200,1,yes,positive,0.10803134,0.00803134,neutral,0.00136000,0.11305400,0,no,positive,0.28105777,0.08105777,neutral,0.00442600,0.13379200,1,yes,neutral,0.00000000,0.00000000,underweight,0.00511600,0.04440100,0,no,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0,no,positive,1.20252828,0.28996802,overweight,0.01949900,0.14541100,1,yes,neutral,0.00000000,0.00000000,neutral,0.00006900,0.02842100,0,no
2020-08-17,2020-08-17,2020-02-26,contracting,1.10000000,13,negative,0.19162523,0.05502004,neutral,0.00264000,0.02717400,0,no,negative,0.12937640,0.08582930,neutral,0.00087500,0.10676100,0,no,neutral,0.00000000,0.00000000,neutral,0.00431000,0.11501700,0,no,negative,0.43342146,0.11439297,underweight,0.00856900,0.04997600,0,no,negative,0.40741984,0.00385763,neutral,0.00112500,0.23599200,1,no,negative,0.10803134,0.00000000,neutral,0.00136000,0.11305400,0,no,negative,0.27198582,0.00907195,neutral,0.00442600,0.13379200,1,no,neutral,0.00000000,0.00000000,underweight,0.00511600,0.04440100,0,no,positive,0.47580575,0.27580575,neutral,0.00000000,0.00000000,0,no,negative,0.31781148,0.27215654,overweight,0.01949900,0.14541100,1,no,positive,0.28386582,0.18386582,neutral,0.00006900,0.02842100,0,no
